outer_radius,radial_nodes,quadrature_order,p,diameter_optical_depth,kappa_center,captured_fraction,power_agreement,central_intensity_error,v9_over_v3,log_speed_slope,log_density_slope,v27_over_v9,enclosed_fraction_3,enclosed_fraction_5,enclosed_fraction_9,projected_over_spherical_mass_at_5,projection_quadrature_error
10.0,321,48,1.0,0.1,0.011943233972203409,0.038889084399446244,7.09921615382747e-07,0.0,2.057853895107791,0.6510185974863041,-0.793939834980426,,0.06244073854354675,0.21074755654384278,0.7932651229441724,2.0470476231970376,1.0727846795954372e-16
10.0,321,48,1.0,1.0,0.11943233972203408,0.3142885719440058,6.539172887620737e-07,7.771561172376096e-16,2.212238675314266,0.7178667696371517,-0.6147393873889672,,0.05281845106179879,0.18805269331179977,0.7754804916054301,2.180035895931683,0.0
10.0,321,48,1.0,10.0,1.1943233972203409,0.9183765750735261,4.855594888586445e-05,6.217248937900877e-15,5.646745776160272,1.5795461651596334,1.3671178024944621,,0.006092936127033281,0.04510773048113053,0.582833292443593,5.637199717231132,1.233088270509569e-16
10.0,321,48,2.0,0.1,0.02170044859304981,0.01984115964334132,1.5576735049593893e-06,2.220446049250313e-16,1.451449928042557,0.3280788671044899,-1.6086810472211834,,0.13595849185617237,0.3429976646495991,0.859274076116587,1.5850110444873162,4.171388551703104e-17
10.0,321,48,2.0,1.0,0.21700448593049812,0.17189197795375227,1.402941901429422e-06,2.220446049250313e-15,1.5633571797492798,0.3960493663043081,-1.4554194082246938,,0.11557261027604693,0.3125431827225035,0.8474080823714741,1.6616623575905078,0.0
10.0,321,48,2.0,10.0,2.1700448593049813,0.725810850601926,4.376409178163954e-06,2.042810365310288e-14,3.2455977850270763,1.055235647203163,-0.13492604196846544,,0.02362812461007734,0.13235488101489484,0.7466892586484706,2.7398888910007475,1.0940878097436757e-16
10.0,321,48,3.0,0.1,0.031904816358079305,0.009477304708042566,1.4652724587005395e-06,4.440892098500626e-16,1.0763782556207988,0.05207391684628479,-2.4264205408901325,,0.2639714417318309,0.515907890208586,0.9175041361606984,1.3133194458501878,0.0
10.0,321,48,3.0,1.0,0.319048163580793,0.08461031027514541,1.554913756973697e-06,3.6637359812630166e-15,1.144235352558179,0.10674116085458736,-2.318173669832594,,0.23170267809495473,0.4835222110265817,0.9100872532593788,1.3535429096142266,3.2502696901390577e-17
10.0,321,48,3.0,10.0,3.19048163580793,0.4480900028674715,1.699344802985614e-06,3.6415315207705135e-14,1.919514337010897,0.5608734288328175,-1.511979215973027,,0.07749759671124679,0.2912832597283592,0.8566278899160942,1.7552402126588764,6.2849792941889e-17
10.0,641,96,1.0,0.1,0.011943233972203409,0.03888898800563333,1.7697818877060456e-07,0.0,2.0578746933818697,0.6510332828362737,-0.7939360817554394,,0.062439457229517166,0.21074644651471797,0.7932648792239826,2.0470550673411276,0.0
10.0,641,96,1.0,1.0,0.11943233972203408,0.31428760802830175,6.579928089056608e-07,3.3306690738754696e-16,2.212263330262328,0.7178831442699167,-0.614736572639848,,0.05281729709627384,0.1880517251965134,0.7754808339457051,2.1800478990640397,1.11750520028722e-16
10.0,641,96,1.0,10.0,1.1943233972203409,0.9183669583060303,1.5739507724932267e-05,3.3306690738754696e-15,5.646909716501237,1.5795918200152463,1.3671146286637892,,0.006092744899363661,0.04510822878488463,0.582848842028311,5.637275778901692,1.2331113877994256e-16
10.0,641,96,2.0,0.1,0.02170044859304981,0.019841127949835252,1.632576076548986e-07,0.0,1.4514559876035962,0.3280843722372839,-1.608669527139771,,0.13595734874614937,0.3429971564702237,0.85927402612946,1.58499490937999,4.17143804297224e-17
10.0,641,96,2.0,1.0,0.21700448593049812,0.17189166101948808,7.872878371451009e-08,8.881784197001252e-16,1.56336583268737,0.39605686339440554,-1.4554106515754932,,0.11557133736097586,0.3125425585245783,0.8474081294967212,1.6616515019332398,0.0
10.0,641,96,2.0,10.0,2.1700448593049813,0.7258076820555519,2.0004542260476654e-06,8.770761894538737e-15,3.2456854231130343,1.055274032324018,-0.13493280653479345,,0.02362692478195786,0.1323538185041394,0.7466916649348702,2.739930451874043,2.1881747454313642e-16
10.0,641,96,3.0,0.1,0.031904816358079305,0.009477296276012731,2.4089725003673124e-07,0.0,1.0763783040523685,0.05207327972805848,-2.426397086546166,,0.26397143981680793,0.5159082888367262,0.9175042120705971,1.3132804624069836,3.503693748339689e-17
10.0,641,96,3.0,1.0,0.319048163580793,0.08461022595486209,2.466488703278813e-07,1.3322676295501878e-15,1.14423644232271,0.10674166854039899,-2.318154438867705,,0.2317022596109627,0.4835224796921611,0.9100873430516608,1.3535113136006016,0.0
10.0,641,96,3.0,10.0,3.19048163580793,0.4480891596796225,1.2626002887650145e-07,1.3211653993039363e-14,1.919542951983743,0.5608913914111107,-1.5119860468147772,,0.07749531749224844,0.29128246286306525,0.8566282359603299,1.755245865341752,1.256995637489406e-16
30.0,321,48,1.0,0.1,0.00799386031534532,0.02941462792426904,7.58635783193462e-07,8.43769498715119e-15,2.0513621887822424,0.6480653268762603,-0.8023890640355962,1.8604463660810355,0.006125535932564561,0.02063128972068926,0.07733036124556493,3.5622373956738875,9.250723315313459e-17
30.0,321,48,1.0,1.0,0.07993860315345319,0.24846050198122469,3.1773080477748294e-07,8.393286066166183e-14,2.1399021487186483,0.6873797464209216,-0.7030566182641264,1.9899291251378766,0.004833638960372119,0.016826723709317877,0.06640232605309121,3.949049404972343,0.0
30.0,321,48,1.0,10.0,0.7993860315345319,0.867392098966519,2.6181943314718126e-05,8.402167850363185e-13,3.653972106698269,1.1838106943335158,0.4313011999211293,4.2675886627948865,0.0002932006751376218,0.001579467905336267,0.01174401713520739,19.32018577179638,0.0
30.0,321,48,2.0,0.1,0.019703033928452976,0.008238071623718968,1.2112507397077366e-06,6.816769371198461e-14,1.4500810523614431,0.327200908694151,-1.6111178873864052,1.1882015165603312,0.03299075452182394,0.08316301146718763,0.20811244841007145,1.9663604352731396,7.422318556596348e-17
