pgc,group_pgc,split,sky_tile,ra_deg,dec_deg,sbf_modulus_mag,sbf_modulus_error_mag,catalog_distance_mpc,observed_cmb_cz_kms,observed_cmb_z,time_predicted_z,time_conditional_sigma_z,flrw_predicted_z,time_residual_kms
1037,1037,validation,2,3.8786,17.3284,34.077,0.094,65.37323852287952,5107.0,0.017035118341769625,0.0163520468114641,0.0012224986034766086,0.016341800863238675,-204.77969306011528
3455,3455,train,3,14.4537,30.3539,34.117,0.081,66.58861776861269,4677.0,0.015600792732417572,0.016653590487160176,0.0011751849196732196,0.01664184049123622,315.62082667116647
4224,4224,test,7,17.7456,33.1522,33.888,0.082,59.92389025834776,4984.0,0.0166248345046759,0.014998943177829351,0.00114782943734327,0.014994876611109797,-487.42995731620795
5037,5098,test,7,20.7341,33.4703,34.0,0.081,63.09573444801933,3828.0,0.012768833564185261,0.015786745689975894,0.0011588121938131675,0.015779194870470876,904.7472942187787
5222,5222,validation,6,21.1987,9.5388,32.163,0.09,27.076966023304927,2093.0,0.006981496512497323,0.00680483548502778,0.0010394207558416882,0.006817907608562188,-52.96164365789991
5283,5283,validation,6,21.3807,1.7591,34.261,0.077,71.15411150074344,5212.0,0.017385360641727687,0.01778553489325528,0.0011799539221396115,0.017767728260337123,119.96922249376803
5324,5324,test,5,21.5027,-1.3452,34.342,0.096,73.85841781207968,5221.0,0.01741538141029552,0.018455443193422617,0.0012865558850717709,0.018433747811682114,311.8026784355352
5766,5663,test,5,23.2166,-7.0317,31.714,0.1,22.019122114844762,1578.0,0.00526364142222684,0.00553720908739965,0.0010324982868502221,0.0055497581404181885,82.01352277147794
6415,6415,validation,6,26.2337,10.4231,33.924,0.084,60.9256259749656,4893.0,0.01632129117804558,0.015247812986867577,0.001159370324922519,0.015242679981945258,-321.8206655426475
6962,6962,test,7,28.1939,36.1519,33.896,0.085,60.14506519775487,4587.0,0.015300585046739236,0.015053896739241786,0.001159112775371154,0.015049597414963334,-73.95529406451988
6983,6983,test,5,28.2522,-13.7386,32.204,0.17,27.5930685581751,1387.0,0.0046265340003983696,0.006934094962831739,0.001137567905515161,0.00694717189408964,691.7893729127454
