pgc,name,QSflag,QWflag,e_Ai,logWmxi,e_logWmxi,reconstructed_logW,reconstructed_sigma_logW,residual_mag,distance_ratio,measurement_only_scale_mag
218,NGC7814,5,5,0.05,2.658,0.005,2.6580113966571126,0.004772466834101668,0.6036832743747063,1.3190279549639656,0.12819507844560524
3974,UGC685,5,0,0.05,1.88,0.041,1.8788487257593036,0.041102886962332906,0.5783350059363297,1.304704712522354,0.3190935442425287
6574,IC1727,5,5,0.02,2.109,0.019,2.109308795793507,0.018973809936872754,-0.2529368278517943,0.890223378919351,0.16494436731220985
6699,UGC1281,5,5,0.0,2.034,0.02,2.03342375548695,0.020106226014039434,0.427437688440385,1.217212947248363,0.16075960376536766
6793,NGC0691,4,4,0.02,2.597,0.024,2.597338466123054,0.023858392875842654,-0.45068220727561226,0.8139615007604307,0.21867751665872998
7671,NGC784,5,5,0.05,1.922,0.026,1.920137302522171,0.026183785932621224,-1.1256497305878916,0.595798430635999,0.20946304887193978
12514,UGC02684,4,3,0.11,1.888,0.068,1.8875499353185792,0.06769055809072384,1.753625895611954,2.2376882824334308,0.5403041702081754
19871,UGC3600,4,0,0.04,1.999,0.036,1.996606148627425,0.0356350828681858,1.2064937934695354,1.7398136225469982,0.3624050588182587
21396,NGC2403,4,5,0.03,2.454,0.026,2.4535965590646076,0.02614725623655929,0.6223822524321214,1.331572032306256,0.21136406705665142
22277,UGC4115,3,3,0.02,1.89,0.034,1.8872322660126037,0.034557055145726434,0.34137630836488064,1.1698604002990591,0.2647775464160174
23110,NGC2541,5,5,0.03,2.328,0.03,2.3282229223651916,0.030434996999977346,0.44470156967485863,1.2265054721700062,0.23983997364137516
24111,NGC2608,5,5,0.03,2.395,0.023,2.3952930068471563,0.023007570614763287,-1.2479405416852174,0.5649082034217582,0.23970602285549766
24930,NGC2683,5,5,0.08,2.631,0.014,2.63106537308522,0.014410576935177359,0.3939292719930556,1.1983402912528571,0.4056382484423418
26512,NGC2841,5,5,0.02,2.802,0.012,2.8021699690341157,0.012397237245445603,0.7234677954776174,1.3934903959566456,0.253100205596533
27077,NGC2903,5,5,0.03,2.62,0.022,2.6199128917750296,0.022253458713861266,0.03889776581717186,1.0180335703033112,0.19814594809227262
28357,NGC3021,5,5,0.02,2.454,0.022,2.4535965590646076,0.021813894800405343,-0.6392246557985679,0.7464616236787419,0.2358512597918137
28378,UGC5288,5,0,0.02,2.095,0.06,2.0949976699821593,0.060225684395759385,0.7855013018850983,1.4340733437838462,0.4757024824669114
29230,UGC05427,5,0,0.02,1.955,0.039,1.9547262045795282,0.038684850814206945,1.1945409189860587,1.7310683329632113,0.3061751621149884
30197,NGC3198,5,4,0.04,2.488,0.011,2.4884500740355935,0.01095509573975037,-0.2850124193225092,0.8773601756146242,0.13206231175602826
30895,NGC3254,5,4,0.06,2.606,0.008,2.6056686175520336,0.007621726348257812,-0.02274756387090804,0.9896535936995559,0.12468754561882948
31671,NGC3319,5,5,0.05,2.34,0.036,2.3401537272935067,0.03566627241432229,-0.13418397216070233,0.9402598760898467,0.29569820198483715
32192,NGC3368,5,5,0.01,2.63,0.025,2.629807133250297,0.024553942111599197,0.011988603935801478,1.0055211431139215,0.21575322347967804
32207,NGC3370,5,5,0.03,2.514,0.022,2.514395077352409,0.021964473568042524,0.12167480714108692,1.057233048604601,0.18374661016025734
32643,NGC3432,5,5,0.09,2.38,0.036,2.3800536749306387,0.03636682781736068,0.4885341445084066,1.2515967875447458,0.3479043354962188
34695,NGC3627,4,5,0.01,2.605,0.016,2.605048383586233,0.015958114470462654,-0.5206272600821578,0.7872775005063662,0.165178497782825
37466,NGC3972,5,5,0.07,2.42,0.014,2.419673129494225,0.014173357623331804,-0.19358801052219476,0.9151182424631233,0.1629827862056942
38148,NGC4068,5,4,0.01,1.883,0.059,1.882981218515417,0.059478453921157325,0.32043624728233766,1.1588138579838239,0.4501856460282243
38643,NGC4138,5,5,0.02,2.531,0.021,2.530827393806392,0.021000622152711403,0.7122478914726962,1.3863302983091241,0.30950827831995836
38688,NGC4144,5,5,0.08,2.177,0.032,2.1771504692017785,0.031865899417221906,-0.15644641860417963,0.9305960498980242,0.26312686012485104
