pgc,name,QSflag,QWflag,e_Ai,logWmxi,e_logWmxi,reconstructed_logW,reconstructed_sigma_logW,residual_mag,distance_ratio,measurement_only_scale_mag
39393,NGC4237,5,5,0.01,2.466,0.026,2.467079835752597,0.02623692565237283,0.008351437892475388,1.0038353421514916,0.3070419659309272
39422,NGC4244,5,4,0.11,2.283,0.017,2.2835658697819645,0.015842500444290284,0.20356556139210014,1.098167197550567,0.18993890404949051
39423,NGC4242,5,5,0.02,2.18,0.039,2.180204022673399,0.03929797082323338,-0.5336044258210784,0.7824457769288056,0.3164541513333953
39461,NGC4248,5,5,0.04,2.004,0.069,2.0016749173936774,0.06821371399704214,-0.6514904670197446,0.7411334085296292,0.5447814208825438
39600,NGC4258,5,5,0.05,2.652,0.013,2.651860976538833,0.01264433723647756,-0.015563428339284258,0.9928717624354381,0.12487470604843144
39950,NGC4298,4,5,0.02,2.432,0.027,2.4316738048121658,0.02688330530773244,-0.22584234294361494,0.9015422357263417,0.291058074092782
40033,NGC4307,4,5,0.06,2.493,0.018,2.4938195991729346,0.01818471321104726,0.5218044163848958,1.270272798443582,0.2172196046959537
40095,NGC4312,5,5,0.07,2.333,0.017,2.3329844019588157,0.01687183815995975,-0.9926098535922918,0.6340374204130699,0.2226584543005757
40105,NGC4313,5,5,0.07,2.412,0.016,2.412318774349529,0.015395405239705166,-0.5945391754361644,0.7612568964781148,0.21836651787714784
40306,NGC4351,5,5,0.02,2.076,0.033,2.0765957094601517,0.03308738385892434,-1.733697646787899,0.4510093414544508,0.33728932339627593
40507,NGC4380,5,5,0.02,2.481,0.019,2.4807706596238956,0.019367898546541144,0.2384178616101309,1.115540298745521,0.2147245777921689
40563,UGC07512,4,0,0.02,1.754,0.045,1.7539099891510035,0.045072781741916014,-0.7936528046390023,0.6944678494770096,0.35419236179181635
40644,NGC4402,5,5,0.09,2.403,0.01,2.402923011650764,0.009090676129260684,-0.6586083303275565,0.7391601949405383,0.18956769912276591
40692,NGC4414,5,5,0.01,2.644,0.019,2.6444262046577096,0.01910204927809625,0.072112357177879,1.0336156174666498,0.1606444655381106
40809,NGC4424,5,5,0.05,1.783,0.043,1.7830869780078453,0.04325622022141435,-5.265303820508006,0.08881785347287081,0.3451912847428709
41020,UGC7599,5,4,0.02,1.882,0.041,1.8815733792508569,0.04032448625159051,2.0542281016490147,2.5707647510144165,0.32283229388841916
41024,NGC4450,5,5,0.02,2.563,0.023,2.5637567352948047,0.02293805523992409,-0.6544891374335542,0.740573939801843,0.23609950739719973
41066,NGC4455,5,5,0.03,2.072,0.019,2.074053595229173,0.019333527935967276,0.6068736747996404,1.3217526084306246,0.17946209713481343
41093,KK149,4,0,0.02,1.997,0.088,1.9955624585509333,0.08681252233591573,1.9358004946748881,2.4314931105419726,0.6852656914848206
41314,PGC041314,5,0,0.03,1.795,0.075,1.7951819462548073,0.07402449792452162,0.551002652208302,1.2881038129494113,0.5752782639530604
41618,NGC4517,5,5,0.19,2.47,0.007,2.4698881661689347,0.007365678128982836,-0.09991246068076975,0.9551182084242463,0.23624266581175118
41812,NGC4535,5,5,0.02,2.525,0.025,2.5250717827302838,0.025075576134628838,-0.6949937782166344,0.7268382736835441,0.20309961457834405
42002,NGC4559,5,5,0.05,2.384,0.014,2.38352151047258,0.013644996715373262,-0.5405999146234528,0.7799832168653428,0.15047388012333246
42038,NGC4565,5,5,0.16,2.701,0.004,2.701634135246699,0.004325144757148427,-0.07783756245664719,0.9648888435718674,0.17151602259879956
42407,M104,4,5,0.66,2.866,0.01,2.865699568348378,0.010103599437451594,0.9361351176434454,1.5370837912323525,0.6709962090434637
42408,NGC4605,5,5,0.07,2.175,0.059,2.175370758279171,0.05925278083315489,-1.0734645412516421,0.6102888218212887,0.4554855825268783
42741,NGC4639,5,5,0.02,2.543,0.025,2.5428005496907153,0.02496958861788098,0.09635279171554956,1.0451009792222923,0.21402208634127437
43451,NGC4725,5,5,0.02,2.682,0.024,2.6819826078721807,0.023536771477070093,0.1525688951644959,1.0725516703931288,0.19884379872661137
44182,M64,5,5,0.02,2.544,0.018,2.5439021677358684,0.01824311913956429,0.6394540477425004,1.341935615629933,0.14961402562683215
44536,NGC4861,5,5,0.05,1.88,0.034,1.8772851432619713,0.03597542263973938,-1.7295151088010918,0.45151658454195165,0.2700132387237453
45849,NGC5023,5,5,0.01,2.224,0.013,2.225309281725863,0.01292543100902535,1.1036060514577635,1.660728756830917,0.12607018763642006
46127,UGC8331,5,4,0.02,1.745,0.049,1.7454896413133587,0.04840274740945282,0.4517738243725393,1.2309694540118192,0.3783110629393424
46153,NGC5055,5,5,0.02,2.628,0.018,2.6283171869776676,0.018472743362580448,-0.25405917304095027,0.8898019582555434,0.1479336224942335
47368,NGC5204,5,5,0.01,2.129,0.039,2.129468853354626,0.03874602291114444,0.6873264552055893,1.3717815248135683,0.3839833719005804
47788,NGC5229,4,0,0.08,2.053,0.019,2.0536740371906697,0.019232986607493154,0.30576323017423945,1.150826863878095,0.1897541680913102
49448,UGC8837,4,5,0.03,1.959,0.025,1.9574434301759078,0.024795717491187377,-0.1425102044820079,0.9365834712666243,0.19912170509985067
51344,NGC5584,5,0,0.03,2.405,0.05,2.405385480378515,0.049581090310330804,-0.6262985856157037,0.7504991642310717,0.3866546440526579
52142,UGC09405,4,4,0.02,1.974,0.034,1.971994593638005,0.03380232124335453,1.7083017094173858,2.192445405019871,0.2638316680879804
53641,UGC9660,5,4,0.02,1.927,0.061,1.9274753536016376,0.061098135969957404,-0.3480853801358599,0.8522185240681044,0.4803470682865968
54470,NGC5907,5,5,0.1,2.671,0.007,2.6712389929058546,0.007409189628935175,-0.3707001564435721,0.8436177808457199,0.13345634923016125
68535,NGC7250,4,5,0.06,2.172,0.035,2.1716920287371653,0.03489620623911098,-1.6975225637228526,0.45891615932102725,0.3032984153372202
70795,NGC7541,4,0,0.04,2.634,0.008,2.634149552524044,0.00802325208977319,-0.09976684812621883,0.9554302390441478,0.14809451047370958
1599237,PGC1599237,4,0,0.02,1.641,0.056,1.6413298287886595,0.05593999875571227,0.5772549733316552,1.303719425033374,0.436896117618292
5072711,PISCESB,5,0,0.02,1.577,0.063,1.5769021838770507,0.06323984065868742,0.5431244502576842,1.2833955432594522,0.4926036633412944
