ell,observed,sigma,published_bestfit
47.711224,0.120749831,0.0181129739,0.101921284
76.4716065,0.422330494,0.0269026141,0.412241166
105.917385,0.849488203,0.0391203692,0.850710995
135.605348,1.09213868,0.0478476674,1.11114135
165.405597,0.988070028,0.0515459457,0.991601215
195.26687,0.791516497,0.0555648504,0.733876835
225.164945,1.08925908,0.0692670905,1.06891865
255.086908,2.89993905,0.102145041,2.86961567
285.025248,6.58736559,0.15841036,6.58038247
314.975304,11.8610201,0.23074517,11.7633215
344.934027,16.8843872,0.301720079,17.0663816
374.899344,20.2810142,0.351019765,20.7053715
404.869791,21.1597188,0.364724824,21.292806
434.844309,18.881209,0.344444745,18.5806842
464.822111,13.949377,0.308645762,13.7578205
494.802601,9.79139624,0.277166792,9.09485245
524.78532,6.9390211,0.242666214,7.05200144
554.769905,9.28007364,0.281751162,9.21017734
584.756069,14.9925146,0.359342225,15.5125854
614.743583,24.1163562,0.458891512,24.1656218
644.732258,32.0542905,0.553243862,32.2851523
674.721939,36.4396957,0.616341788,37.0316549
704.712498,37.7719958,0.636278935,36.7847537
734.703827,30.7773358,0.620816992,31.77811
764.695836,24.002645,0.592251834,24.0904837
794.688447,17.6383877,0.57689921,16.8213122
824.681596,12.6772417,0.594049333,12.9096377
854.675226,14.366792,0.651279215,13.9945775
884.669287,20.8271508,0.745225127,19.815434
914.663738,28.275399,0.862455222,28.3282552
944.658541,37.4782495,0.98246402,36.5133697
974.653663,39.8525131,1.08538475,41.5044129
1004.64908,42.4210745,1.28845629,41.6467345
1034.64476,38.9168322,1.40389727,37.0259394
1064.64068,31.6979891,1.45285375,29.3614832
1094.63683,21.5895269,1.51158047,21.3050925
1124.63318,15.342884,1.5958467,15.4502263
1154.62972,11.3115395,1.71407956,13.4210973
1184.62643,14.0279754,1.86659875,15.3809479
1214.62331,20.1239845,2.04677725,20.0895579
1244.62034,27.7045515,2.2438197,25.4609811
1274.61751,29.595995,2.44698205,29.364009
1304.61481,31.9984137,2.64990287,30.3705373
1334.61223,28.6426329,2.85310019,28.1884375
1364.60976,21.2237085,3.0635568,23.6579799
1394.6074,19.0954371,3.2919119,18.3488888
1424.60514,15.1794326,3.54889433,13.9463167
1454.60297,10.8567065,3.84246674,11.656364
1484.60089,14.2546766,4.17641455,11.847824
1514.5989,13.2651859,4.55047098,14.0068314
1544.59698,22.2540954,4.96171139,17.0110648
1574.59513,8.04204237,5.40677777,19.5687528
1604.59335,27.5304437,5.8841369,20.6824209
1634.59164,18.7063858,6.3956101,19.9388595
1664.58999,28.8882162,6.94668339,17.586679
1694.58839,21.5491927,7.5456224,14.369634
1724.58686,5.11297676,8.20191369,11.2241853
1754.58537,32.5872767,8.92470383,8.94553336
1784.58394,-4.81607776,9.72174708,7.94763356
1814.58255,28.8334521,10.5991257,8.17480768
1844.58121,0.356773508,11.5617312,9.19041608
1874.57991,13.2237098,12.6142638,10.3697072
1904.57865,5.05093514,13.7623896,11.1346462
1934.57743,18.857697,15.013672,11.1339716
1964.57625,2.26761602,16.3780206,10.3260737
1988.02414,4.1075914,23.6600316,9.28300962
