k0,radius,q_for_unit_intensity,enclosed_fraction,potential_shape
0.01,0.0,0.06153030425239702,0.0,1.0
0.01,0.015625,0.0615265661850695,2.260878580776973e-08,1.0
0.01,0.03125,0.06151535745595005,1.3563623963783937e-07,0.999991755660598
0.01,0.046875,0.061496694458607414,4.294351889270174e-07,0.9999780170975004
0.01,0.0625,0.0614706044324931,9.942270204261606e-07,0.9999587873109052
0.01,0.078125,0.06143712533902884,1.920036559023765e-06,0.9999340704937834
0.01,0.09375,0.061396305689778524,3.2966276598718624e-06,0.9999038720246203
0.01,0.109375,0.0613482043283221,5.213439742178724e-06,0.9998681984581397
0.01,0.125,0.0612928901678658,7.759525485156917e-06,0.9998270575140624
0.01,0.140625,0.06123044188700706,1.1023489896994832e-05,0.9997804580639523
0.01,0.15625,0.06116094758641969,1.5093430956496686e-05,0.9997284101162114
0.01,0.171875,0.061084504409528305,2.0056882014373046e-05,0.9996709247992959
0.01,0.1875,0.06100121813049901,2.600075612724105e-05,0.9996080143432349
0.01,0.203125,0.06091120271308213,3.3011292482404e-05,0.9995396920595304
0.01,0.21875,0.060814579844001626,4.1174005055626554e-05,0.9994659723195374
0.01,0.234375,0.060711478444693226,5.057363362761188e-05,0.9993868705314138
0.01,0.25,0.06060203416525085,6.129409726792921e-05,0.9993024031157456
0.01,0.265625,0.06048638886444931,7.341845037794061e-05,0.9992125874799455
0.01,0.28125,0.06036469007967375,8.70288413670328e-05,0.9991174419915384
0.01,0.296875,0.06023709049050432,0.00010220647401936417,0.9990169859504362
0.01,0.3125,0.0601037473795839,0.00011903157159156404,0.998911239560313
0.01,0.328125,0.059964822094240436,0.00013758334366553542,0.9988002238991912
0.01,0.34375,0.05982047951214732,0.00015793995576485502,0.9986839608893447
0.01,0.359375,0.05967088751409269,0.00018017850172836818,0.9985624732666304
0.01,0.375,0.05951621646669337,0.00020437497882054277,0.9984357845493489
0.01,0.390625,0.059356638717638945,0.00023060426554507088,0.9983039190067425
0.01,0.40625,0.059192328105788776,0.00025894010211615314,0.998166901627227
0.01,0.421875,0.059023459488176604,0.00028945507353092423,0.9980247580864569
0.01,0.4375,0.058850208285705495,0.0003222205951766068,0.9978775147153129
0.01,0.453125,0.05867275004904603,0.00035730690089723425,0.9977251984679074
0.01,0.46875,0.058491260045986204,0.0003947830334371582,0.9975678368896812
0.01,0.484375,0.058305912871224094,0.00043471683717203995,0.9974054580856845
0.01,0.5,0.05811688207934929,0.0004771749530325903,0.9972380906891027
0.01,0.515625,0.057924339841525244,0.0005222228155219313,0.9970657638301084
0.01,0.53125,0.057728456626167865,0.0005699246517240583,0.996888507105094
0.01,0.546875,0.05752940090371268,0.0006203434821984291,0.9967063505463518
0.01,0.5625,0.05732733887537914,0.000673541123654136,0.9965193245922506
0.01,0.578125,0.05712243422567305,0.0007295781932963624,0.9963274600579588
0.01,0.59375,0.05691484789821912,0.0007885141147378237,0.9961307881067599
0.01,0.609375,0.05670473789438508,0.0008504071253685694,0.9959293402219962
0.01,0.625,0.05649225909404386,0.0009153142850788066,0.9957231481796768
0.01,0.640625,0.05627756309772521,0.0009832914862312407,0.9955122440217806
0.01,0.65625,0.05606079808932656,0.0010543934647817294,0.9952966600302756
0.01,0.671875,0.05584210871848838,0.0011286738124497626,0.9950764287018811
0.01,0.6875,0.05562163600168885,0.001206184989843334,0.9948515827235851
0.01,0.703125,0.05539951724107517,0.0012869783404461297,0.9946221549489317
0.01,0.71875,0.05517588596002378,0.0013711041053785305,0.9943881783750926
0.01,0.734375,0.05495087185440787,0.0014586114388476885,0.99414968612072
0.01,0.75,0.05472460075854684,0.0015495484242058343,0.9939067114045944
0.01,0.765625,0.0544971946248164,0.001643962090539961,0.9936592875250618
0.01,0.78125,0.05426877151591156,0.0017418984297200612,0.9934074478402604
0.01,0.796875,0.05403944560877309,0.0018434024138371515,0.9931512257491312
0.01,0.8125,0.05380932720921334,0.0019485180129663613,0.9928906546732094
0.01,0.828125,0.0535785227763069,0.0020572882131943532,0.9926257680391837
0.01,0.84375,0.05334713495564505,0.002169755034854288,0.9923565992622155
0.01,0.859375,0.053115262620589576,0.002285959550915378,0.9920831817300088
0.01,0.875,0.05288300092070039,0.002405941905477844,0.9918055487876115
0.01,0.890625,0.0526504413365524,0.0025297413323276947,0.9915237337229396
0.01,0.90625,0.05241767174019822,0.0026573961735092684,0.9912377697530065
0.01,0.921875,0.05218477646057675,0.0027889438978768474,0.990947690010841
0.01,0.9375,0.05195183635320888,0.0029244211195898645,0.990653527533076
0.01,0.953125,0.05171892887356527,0.0030638636165193165,0.9903553152481951
0.01,0.96875,0.051486128153531825,0.0032073063485359155,0.9900530859654102
0.01,0.984375,0.05125350508043986,0.003354783475653297,0.9897468723641621
0.01,1.0,0.051021127378167795,0.003506328376002227,0.9894367069842157
0.01,1.015625,0.05078905968985945,0.003661973663614212,0.9891226222163375
0.01,1.03125,0.050557363661841166,0.0038217512059952764,0.9888046502935322
0.01,1.046875,0.05032609802835573,0.00398569214147282,0.9884828232828227
0.01,1.0625,0.05009531869676449,0.00415382689630054,0.9881571730775508
0.01,1.078125,0.04986507883290166,0.004326185201508286,0.9878277313901824
0.01,1.09375,0.04963542894629497,0.004502796109485516,0.9874945297455978
0.01,1.109375,0.04940641697499576,0.004683688010288636,0.9871575994748465
0.01,1.125,0.04917808836978821,0.004868888647664072,0.9868169717093529
0.01,1.140625,0.048950486177573166,0.005058425134780284,0.9864726773755483
0.01,1.15625,0.04872365112374518,0.0052523239696632956,0.9861247471899179
0.01,1.171875,0.04849762169340341,0.005450611050331427,0.9857732116544412
0.01,1.1875,0.04827243421125761,0.005653311689626093,0.9854181010524118
0.01,1.203125,0.048048122920108974,0.005860450629736483,0.9850594454446162
0.01,1.21875,0.047824720057803,0.006072052056416852,0.984697274665861
0.01,1.234375,0.047602255932567755,0.006288139612896011,0.9843316183218276
0.01,1.25,0.04738075899666537,0.006508736413479341,0.9839625057862424
0.01,1.265625,0.0471602559182977,0.006733865056844318,0.983589966198346
0.01,1.28125,0.04694077165171997,0.0069635476390311835,0.9832140284606501
0.01,1.296875,0.04672232950552668,0.007197805766130926,0.9828347212369622
0.01,1.3125,0.046504951209084204,0.007436660566673207,0.982452072950672
0.01,1.328125,0.0462886569770939,0.007680132703717362,0.982066111783282
0.01,1.34375,0.04607346557227721,0.007928242386649909,0.9816768656731697
