K,R,T,M,sigma,radiation_and_T_local_speed,M_flux_local_speed,M_characteristic_local_speed,defective,eigenvalue_error,eigenvector_condition,diagonalization_error
0.5,0.22,0.01,1.0,0.5,1.0,0.5,0.16666666666666666,False,0.0,1.2275247157821065,3.469446951953614e-18
0.5,1.0,0.01,0.0,1.0,1.0,1.0,1.0,True,0.0,,
0.5,1.0,0.01,0.0,0.5,1.0,0.5,0.5,False,0.0,12.702763584552294,2.7755575615628914e-17
0.5,1.0,0.01,0.1,1.0,1.0,1.0,0.8333333333333334,False,0.0,40.21933536688316,0.0
0.5,1.0,0.01,0.1,0.5,1.0,0.5,0.4166666666666667,False,0.0,8.539277295120025,5.551115123125783e-17
0.5,1.0,0.01,1.0,1.0,1.0,1.0,0.3333333333333333,False,0.0,3.069717814314301,1.3877787807814457e-17
0.5,1.0,0.01,1.0,0.5,1.0,0.5,0.16666666666666666,False,0.0,2.3153264774014377,8.673617379884035e-19
2.0,0.01,0.01,0.0,1.0,1.0,1.0,1.0,True,0.0,,
2.0,0.01,0.01,0.0,0.5,1.0,0.5,0.5,False,0.0,1.0159363804893184,0.0
2.0,0.01,0.01,0.1,1.0,1.0,1.0,0.9523809523809523,False,0.0,1.2141880025150071,8.673617379884035e-19
2.0,0.01,0.01,0.1,0.5,1.0,0.5,0.47619047619047616,False,0.0,1.01434110635068,4.336808689942018e-19
2.0,0.01,0.01,1.0,1.0,1.0,1.0,0.6666666666666666,False,0.0,1.017141165725828,0.0
2.0,0.01,0.01,1.0,0.5,1.0,0.5,0.3333333333333333,False,0.0,1.007481337316985,2.168404344971009e-19
2.0,0.22,0.01,0.0,1.0,1.0,1.0,1.0,True,0.0,,
2.0,0.22,0.01,0.0,0.5,1.0,0.5,0.5,False,0.0,1.4025994885988868,2.7755575615628914e-17
2.0,0.22,0.01,0.1,1.0,1.0,1.0,0.9523809523809523,False,0.0,9.576496091141994,0.0
2.0,0.22,0.01,0.1,0.5,1.0,0.5,0.47619047619047616,False,0.0,1.3537748428180794,5.551115123125783e-17
2.0,0.22,0.01,1.0,1.0,1.0,1.0,0.6666666666666666,False,0.0,1.4651436330876273,2.7755575615628914e-17
2.0,0.22,0.01,1.0,0.5,1.0,0.5,0.3333333333333333,False,0.0,1.1612405775520853,1.3877787807814457e-17
2.0,1.0,0.01,0.0,1.0,1.0,1.0,1.0,True,0.0,,
2.0,1.0,0.01,0.0,0.5,1.0,0.5,0.5,False,0.0,3.446186003121948,0.0
2.0,1.0,0.01,0.1,1.0,1.0,1.0,0.9523809523809523,False,0.0,43.38143342131584,0.0
2.0,1.0,0.01,0.1,0.5,1.0,0.5,0.47619047619047616,False,0.0,3.1337504958987124,1.1102230246251565e-16
2.0,1.0,0.01,1.0,1.0,1.0,1.0,0.6666666666666666,False,0.0,3.8429471362693053,5.551115123125783e-17
2.0,1.0,0.01,1.0,0.5,1.0,0.5,0.3333333333333333,False,0.0,1.898663701764137,1.3877787807814457e-17
