K,R,T,M,sigma,radiation_and_T_local_speed,M_flux_local_speed,M_characteristic_local_speed,defective,eigenvalue_error,eigenvector_condition,diagonalization_error
0.05,0.01,0.01,0.0,1.0,1.0,1.0,1.0,True,0.0,,
0.05,0.01,0.01,0.0,0.5,1.0,0.5,0.5,False,0.0,1.8156714886535992,0.0
0.05,0.01,0.01,0.1,1.0,1.0,1.0,0.3333333333333333,False,0.0,1.1601212577068594,1.734723475976807e-18
0.05,0.01,0.01,0.1,0.5,1.0,0.5,0.16666666666666666,False,0.0,1.1212539555662895,2.6020852139652106e-18
0.05,0.01,0.01,1.0,1.0,1.0,1.0,0.047619047619047616,False,0.0,1.0142583824469036,1.0164395367051604e-19
0.05,0.01,0.01,1.0,0.5,1.0,0.5,0.023809523809523808,False,0.0,1.013896346567899,4.0657581468206416e-20
0.05,0.22,0.01,0.0,1.0,1.0,1.0,1.0,True,0.0,,
0.05,0.22,0.01,0.0,0.5,1.0,0.5,0.5,False,0.0,27.62170685010335,5.551115123125783e-17
0.05,0.22,0.01,0.1,1.0,1.0,1.0,0.3333333333333333,False,0.0,6.16408173174217,3.469446951953614e-18
0.05,0.22,0.01,0.1,0.5,1.0,0.5,0.16666666666666666,False,0.0,4.358222992142945,7.632783294297951e-17
0.05,0.22,0.01,1.0,1.0,1.0,1.0,0.047619047619047616,False,0.0,1.2566927908051235,6.505213034913027e-19
0.05,0.22,0.01,1.0,0.5,1.0,0.5,0.023809523809523808,False,0.0,1.2436633157104888,5.149960319306146e-19
0.05,1.0,0.01,0.0,1.0,1.0,1.0,1.0,True,0.0,,
0.05,1.0,0.01,0.0,0.5,1.0,0.5,0.5,False,0.0,126.2483264731038,0.0
0.05,1.0,0.01,0.1,1.0,1.0,1.0,0.3333333333333333,False,0.0,27.47594519317745,2.7755575615628914e-17
0.05,1.0,0.01,0.1,0.5,1.0,0.5,0.16666666666666666,False,0.0,18.887165455476204,0.0
0.05,1.0,0.01,1.0,1.0,1.0,1.0,0.047619047619047616,False,0.0,2.4970595516012626,4.7704895589362195e-18
0.05,1.0,0.01,1.0,0.5,1.0,0.5,0.023809523809523808,False,0.0,2.412386167503897,3.0357660829594124e-18
0.5,0.01,0.01,0.0,1.0,1.0,1.0,1.0,True,0.0,,
0.5,0.01,0.01,0.0,0.5,1.0,0.5,0.5,False,0.0,1.0652435571933954,0.0
0.5,0.01,0.01,0.1,1.0,1.0,1.0,0.8333333333333334,False,0.0,1.2008926197977638,2.7755575615628914e-17
0.5,0.01,0.01,0.1,0.5,1.0,0.5,0.4166666666666667,False,0.0,1.0447308683265764,3.469446951953614e-18
0.5,0.01,0.01,1.0,1.0,1.0,1.0,0.3333333333333333,False,0.0,1.0150182247889559,1.0842021724855044e-19
0.5,0.01,0.01,1.0,0.5,1.0,0.5,0.16666666666666666,False,0.0,1.0115355426372854,3.2526065174565133e-19
0.5,0.22,0.01,0.0,1.0,1.0,1.0,1.0,True,0.0,,
0.5,0.22,0.01,0.0,0.5,1.0,0.5,0.5,False,0.0,3.0829183270890814,1.3877787807814457e-17
0.5,0.22,0.01,0.1,1.0,1.0,1.0,0.8333333333333334,False,0.0,8.892482379274767,5.551115123125783e-17
0.5,0.22,0.01,0.1,0.5,1.0,0.5,0.4166666666666667,False,0.0,2.279727229867979,8.326672684688674e-17
0.5,0.22,0.01,1.0,1.0,1.0,1.0,0.3333333333333333,False,0.0,1.344149835145765,3.469446951953614e-18
