K,R0,T0,M0,Gamma,gated,negative_T_event,time_reached,minimum,budget_error,Rn_scaled_error,R_final,T_final,M_final,D_final
0.05,0.01,0.01,0.0,0.0,False,False,20.0,0.0,2.7755575615628914e-17,2.7755575615628914e-17,0.009009804864072178,0.005495097567963934,0.005495097567963916,0.0
0.05,0.01,0.01,0.0,0.0,True,False,20.0,0.0,1.0408340855860843e-17,1.3877787807814457e-17,0.008925964043783685,0.005057677661762283,0.006016358294454044,0.0
0.05,0.01,0.01,0.0,1.0,False,False,20.0,0.0,1.3877787807814457e-17,1.9081958235744878e-17,0.009999769724478831,6.675822794577002e-07,1.1514041197844983e-06,0.009998411289121918
0.05,0.01,0.01,0.0,1.0,True,False,20.0,0.0,1.0408340855860843e-17,1.3877787807814457e-17,0.009999170349394067,1.8396241231261004e-06,4.1485972183107385e-06,0.009994841429264488
0.05,0.01,0.01,0.1,0.0,False,False,20.0,0.0,2.3592239273284576e-16,7.979727989493313e-17,0.014606079858305402,0.05269696007084714,0.05269696007084728,0.0
0.05,0.01,0.01,0.1,0.0,True,False,20.0,0.0,6.938893903907228e-17,4.85722573273506e-17,0.014057241817338199,0.049236192307847114,0.05670656587481472,0.0
0.05,0.01,0.01,0.1,1.0,False,False,20.0,0.0,2.0816681711721685e-16,3.122502256758253e-17,0.02999789975915597,1.6221364781589661e-06,3.500646480043735e-06,0.08999697745788572
0.05,0.01,0.01,0.1,1.0,True,False,20.0,0.0,1.249000902703301e-16,3.122502256758253e-17,0.02985006954059772,3.6418625801140356e-05,0.00025113921292274687,0.0898623726206783
0.05,0.22,0.01,0.0,0.0,False,False,20.0,0.0,1.3877787807814457e-16,3.885780586188048e-16,0.09271583853048863,0.06864208073825896,0.0686420807312523,0.0
0.05,0.22,0.01,0.0,0.0,True,False,20.0,0.0,1.3877787807814457e-16,5.273559366969494e-16,0.07175565981404641,0.05494632817538425,0.1032980120105695,0.0
0.05,0.22,0.01,0.0,1.0,False,True,2.468010237376043,-9.999999907458167e-10,8.326672684688674e-17,8.326672684688674e-17,0.1807895108303393,-9.999999907458167e-10,0.010844237862465795,0.03836625230719488
0.05,0.22,0.01,0.0,1.0,True,False,20.0,0.0,1.6653345369377348e-16,3.885780586188048e-16,0.1048808806145072,3.602165828939886e-10,0.05488088901952321,0.07023823000575286
0.05,0.22,0.01,0.1,0.0,False,True,0.18091549204899407,-9.999999996904846e-10,5.551115123125783e-17,1.1102230246251565e-16,0.24567764583455057,-9.999999996904846e-10,0.08432235516544945,0.0
0.05,0.22,0.01,0.1,0.0,True,False,20.0,0.0,6.106226635438361e-16,2.4424906541753444e-15,0.17115516023837044,0.01603733133453684,0.1428075084270934,0.0
0.05,0.22,0.01,0.1,1.0,False,True,0.16709792386308164,-1.0000000009915272e-09,5.551115123125783e-17,1.1102230246251565e-16,0.24373222687639154,-1.0000000009915272e-09,0.08539448772498973,0.0008732863986187768
0.05,0.22,0.01,0.1,1.0,True,False,20.0,0.0,2.220446049250313e-16,7.771561172376096e-16,0.20000000305679055,1.9869137910672626e-09,0.11499999747814801,0.014999997478147821
0.05,1.0,0.01,0.0,0.0,False,False,20.0,0.0,4.440892098500626e-16,2.1249668691325496e-13,0.09890242272073747,0.45554878863963205,0.45554878863963094,0.0
0.05,1.0,0.01,0.0,0.0,True,False,20.0,0.0,1.5543122344752192e-15,3.3673064336881e-13,0.09076370813571095,0.41835531722156316,0.5008809746427264,0.0
0.05,1.0,0.01,0.0,1.0,False,True,3.127550435374665,-1.0000000226755706e-09,4.440892098500626e-16,1.3378187446733136e-13,0.3514559646544135,-1.0000000226755706e-09,0.09226533343703909,0.5662787029085472
0.05,1.0,0.01,0.0,1.0,True,False,20.0,0.0,1.5543122344752192e-15,3.4450220454118607e-13,0.22360679115161772,3.648033768447531e-09,0.1736068043482788,0.6127864008520701
0.05,1.0,0.01,0.1,0.0,False,True,0.018508554188185426,-9.999998854155756e-10,0.0,1.6283271027835629e-15,1.0117406640701578,-9.999998854155756e-10,0.09825933692984212,0.0
0.05,1.0,0.01,0.1,0.0,True,False,20.0,0.0,6.661338147750939e-16,2.6645352591003757e-15,0.25236142204897727,0.3132529591741209,0.5443856187769023,0.0
0.05,1.0,0.01,0.1,1.0,False,True,0.018333796167848512,-9.999999795243242e-10,2.220446049250313e-16,2.0724163126336257e-15,1.011631540537958,-9.999999795243242e-10,0.09827532949420875,9.31309678333053e-05
0.05,1.0,0.01,0.1,1.0,True,False,20.0,0.0,6.661338147750939e-16,1.7763568394002505e-15,0.38729833183942197,2.063194541265616e-09,0.3372983374020618,0.38540332869532135
0.5,0.01,0.01,0.0,0.0,False,False,20.0,0.0,2.42861286636753e-17,1.734723475976807e-17,0.009900009998000517,0.005049995000999762,0.005049995000999744,0.0
0.5,0.01,0.01,0.0,0.0,True,False,20.0,0.0,2.0816681711721685e-17,1.3877787807814457e-17,0.009899020694438059,0.005000509841007604,0.005100469464554357,0.0
0.5,0.01,0.01,0.0,1.0,False,False,20.0,0.0,3.8163916471489756e-17,1.214306433183765e-17,0.009999959344007278,1.2493259319600907e-06,2.032807901112356e-06,0.009996758522159687
0.5,0.01,0.01,0.0,1.0,True,False,20.0,0.0,2.42861286636753e-17,2.0816681711721685e-17,0.009999954353113705,1.3698282276551582e-06,2.2823547328461136e-06,0.00999639346392578
0.5,0.01,0.01,0.1,0.0,False,False,20.0,0.0,1.5265566588595902e-16,1.5612511283791264e-17,0.01081879129016075,0.05459060435491952,0.05459060435491966,0.0
0.5,0.01,0.01,0.1,0.0,True,False,20.0,0.0,6.938893903907228e-17,1.5612511283791264e-17,0.010808228688778352,0.054059179952427074,0.05513259135879461,0.0
