pgc,distance_mpc,radius_mpc,catalog_no_neighbor_mpc,sampled_p16_mpc,sampled_p84_mpc,common_point1mag_shift_mpc
1037,65.37323852287952,1,58.972113549485655,56.40283055386473,62.66138613734161,62.65864170264997
3455,66.58861776861269,1,62.73894841807579,59.83760194503457,64.42862506710105,65.74524266649789
4224,59.92389025834776,1,53.6192298250898,50.876454628505954,55.65858927605194,56.64029098554104
5037,63.09573444801933,1,53.98272281060353,52.57576322634937,57.06462064158071,56.913723803574264
5222,27.076966023304927,1,21.838054505168724,20.73618902365553,22.784490467822646,23.14762769437305
5283,71.15411150074344,1,67.9290952602705,65.37965653161788,71.28084305726293,71.31580919827798
5324,73.85841781207968,1,70.84956441594596,67.89437039921901,72.81431913782566,74.40070126221063
5766,22.019122114844762,1,17.393393051456588,16.604045626394953,18.819381562530204,18.707463851591882
6415,60.9256259749656,1,56.986316878847354,54.63862627746785,60.08607372157979,61.07244941117323
6962,60.14506519775487,1,53.956649033764926,51.34615257678776,55.529875837119334,56.69157388993414
6983,27.5930685581751,1,24.72670059932383,22.80001267847393,27.320266550196013,26.703797209940806
7252,68.07693586937411,1,66.262759027698,63.2354694025546,68.0221401770271,69.43696197381064
7584,66.43546819760064,1,56.88358924995827,53.45417083980962,58.660950548082354,59.746457630462196
7889,73.34998004015486,1,71.65186901724591,68.63909748352636,74.46980258952624,75.08313977700264
8160,23.593914430440503,1,21.7319816385272,19.41932420744456,23.174920823964268,22.806168947404462
8997,44.60669020551353,1,36.76722037248368,34.772604905766066,38.36901591434773,38.792504527695215
9201,76.20790100254106,1,71.39008343970792,69.38901396431373,74.3245780952685,75.01138357776598
9997,83.98466611579151,1,82.284880940226,79.85158637990314,85.4519029728211,86.21772311126529
10123,10.587660331136965,1,5.33242591568202,4.29444431358144,5.93181975535803,6.5329568730905345
10175,19.534396563982572,1,17.926363224719083,15.766683520339313,20.9044474412487,18.821183639264245
10302,52.57750822566941,1,44.35679964662361,41.80159618143853,46.858963328352026,47.430926269830195
10959,64.74407045688145,1,60.658644030884176,56.64680768570405,63.20079521836584,64.26644806296923
11420,21.517905703397552,1,19.989414353749975,18.02349228513136,22.32281931084704,20.983336182138494
11425,52.504919867476204,1,48.4802697263811,46.1987537816726,51.742481925759094,50.93785092170056
