pgc,method,ra_deg,dec_deg,modulus,sigma_mag,distance_mpc,minus_1sigma_mpc,plus_1sigma_mpc,linear_sigma_mpc
35,TRGB,0.0938,39.4955,29.73,0.1,8.830799004185629,0.3974514265428777,0.41618273519660676,0.4066733229252899
143,TRGB,0.4926,-15.4609,24.91,0.07,0.9594006315159332,0.030434244735996985,0.03143131337683447,0.030927422292727262
218,TRGB,0.8121,16.1456,30.73,0.1,13.995873225726186,0.6299180602617671,0.6596051838329426,0.6445337810598322
388,TRGB,1.383,-28.0983,29.65,0.11,8.51138038202376,0.4204213902399392,0.44226727347217043,0.43115990694589723
591,TRGB,1.9336,40.8759,29.51,0.11,7.979946872679773,0.3941711223879274,0.4146529925142053,0.4042391476621718
621,TRGB,2.0563,-34.5787,27.48,0.04,3.1332857243155865,0.05718890957487632,0.058252130785174216,0.05771725600720097
930,TRGB,3.5164,-23.1821,29.06,0.08,6.4863443354823795,0.23461740772552098,0.24342222736078867,0.23896575639852954
1014,TRGB,3.7233,-39.1966,26.57,0.03,2.0606299132700006,0.028272902333779548,0.02866621758404042,0.0284686543228387
1034,TRGB,3.8547,-21.4445,28.4,0.03,4.7863009232263805,0.0656705105904809,0.06658407839482905,0.06612519093842821
1038,TRGB,3.8802,-32.1806,26.38,0.04,1.8879913490962925,0.03445972568148137,0.03510037981386427,0.034778085889046725
1160,SBF,4.4397,11.4503,31.314,0.33,18.314708046613507,2.5821261921488166,3.0059203115030435,2.783297466224244
1305,TRGB,5.0962,59.2931,24.45,0.12,0.7762471166286915,0.04173324847157711,0.04410442770112688,0.042897000941492056
1583,CEP,6.3199,12.8838,34.527,0.25,80.42665380156771,8.746323149962521,9.813535981546437,9.259460706144136
1641,TRGB,6.639,-41.8556,26.49,0.04,1.98609491735737,0.0362503175993254,0.0369242613208991,0.036585220399826576
1777,TRGB,7.2672,43.4308,29.12,0.05,6.668067692136224,0.15178375152779555,0.1553192492804767,0.1535379326698808
2004,TRGB,8.2999,48.5086,24.34,0.11,0.7379042301291009,0.03644893170912955,0.03834288649959061,0.03737992016775534
