pgc,method,ra_deg,dec_deg,modulus,sigma_mag,distance_mpc,minus_1sigma_mpc,plus_1sigma_mpc,linear_sigma_mpc
2329,TRGB,9.7406,48.3374,24.06,0.03,0.648634433548238,0.008899598065590597,0.009023403807182473,0.008961215864944859
2429,TRGB,10.092,41.6854,24.47,0.02,0.7834296427662114,0.007182526137519907,0.00724898523361317,0.007215653667372516
2544,TRGB,10.6254,40.5758,29.23,0.1,7.014552984199714,0.31570689003445196,0.3305856973714407,0.32303210270870325
2555,TRGB,10.6741,40.8652,24.45,0.01,0.7762471166286915,0.003566531532990025,0.00358299389456751,0.0035747500784576716
2557,TRGB,10.6848,41.2689,24.53,0.1,0.805378441199067,0.0362480009124575,0.03795631656520937,0.03708904785847507
2578,TRGB,10.7652,-22.2476,28.41,0.13,4.808393484497286,0.2794176854610759,0.2966565152567746,0.2878651141249819
2758,TRGB,11.7857,-20.7604,27.8,0.02,3.630780547701015,0.03328719614358944,0.0335951987773182,0.03344072466027646
2789,TRGB,11.888,-25.2884,27.79,0.02,3.6140986263961317,0.03313425536977199,0.033440842859943753,0.03328707848699996
2881,TRGB,12.3379,-18.0753,27.71,0.04,3.483373150360119,0.06357872522302754,0.0647607419756362,0.06416610471483933
2902,TRGB,12.4571,-21.013,27.63,0.09,3.357376142429545,0.13630735114611214,0.14207552785402644,0.13915159662837823
2933,TRGB,12.6024,-19.9064,27.75,0.03,3.548133892335755,0.048682222052183644,0.0493594592216704,0.0490192812506355
2980,SBF,12.758,-7.0571,31.474,0.47,19.71514610996587,3.8369924679097025,4.76421055199479,4.267205344666654
3085,CEP,13.1583,-72.8002,19.029,0.05,0.06394402945292843,0.001455543813632186,0.001489447784447373,0.0014723656900428523
3238,TRGB,13.723,-37.6845,26.55,0.06,2.04173794466953,0.05564302731215687,0.057201938953993725,0.056415304262356344
3792,TRGB,15.9781,21.8897,24.03,0.4,0.6397348354826484,0.10762657621585359,0.12939560480396106,0.11784351165210759
3844,TRGB,16.1991,2.1177,24.34,0.06,0.7379042301291009,0.02010993885773882,0.020673344900082324,0.020389047364230188
3974,TRGB,16.8435,16.684,28.36,0.02,4.698941086052153,0.04308015082256489,0.04347876655029115,0.04327884679040376
3982,SBF,16.8539,32.4127,34.052,0.084,64.62491724953881,2.4521783201428846,2.5488956051993625,2.499913434391999
4013,TRGB,16.9435,1.0636,29.72,0.14,8.790225168308838,0.548844018178821,0.5853949009499608,0.5667267602250523
4126,TRGB,17.3623,35.718,27.32,0.02,2.910717118066606,0.02668561493999899,0.02693253389492467,0.026808695383931026
4524,SBF,18.8189,-1.6263,32.394,0.35,30.116188030788212,4.483154832129259,5.267247650684002,4.8541559932249045
5098,SBF,20.9161,33.2558,33.904,0.081,60.36705647858457,2.2103237067330994,2.294329988649146,2.2518046065593995
5323,SBF,21.4965,-1.3402,34.44,0.11,77.26805850957014,3.8166716938587086,4.0149931068396825,3.914158153152014
5663,SBF,22.8363,-6.8681,31.544,0.2,20.361042011319707,1.7915509964150829,1.964396604847721,1.8753212725236104
5818,TRGB,23.4621,30.6599,24.8,0.08,0.9120108393559101,0.032988322525024816,0.034226322009882515,0.033599721013598496
5896,TRGB,23.7713,-41.4368,27.97,0.04,3.9264493539959964,0.0716657773382785,0.07299814361497514,0.07232787000725825
5974,TRGB,24.174,15.7833,29.9,0.15,9.549925860214355,0.6374164788769008,0.6830040625931701,0.6596855077478373
6110,SBF,24.7773,-7.5126,32.374,0.16,29.840081159302233,2.119648783525143,2.2817281805775913,2.198698433636538
6430,TRGB,26.266,-43.5985,28.25,0.06,4.466835921509632,0.12173367979391436,0.12514420685905137,0.12342323766862079
6574,TRGB,26.8746,27.333,29.31,0.06,7.277798045368237,0.19834020152685827,0.2038969597432967,0.20109299146903328
6699,TRGB,27.3849,32.5862,28.56,0.02,5.152286445817562,0.04723644606350064,0.04767351951759391,0.04745431185989917
6793,CEP,27.6738,21.7599,32.83,0.109,36.81289736425311,1.8022613796012124,1.8950373600725996,1.8478732656785084
6830,TRGB,27.7761,-44.4447,23.15,0.04,0.4265795188015924,0.007785953683674129,0.007930705369978697,0.00785788512775296
7671,TRGB,30.3208,28.8372,28.6,0.01,5.24807460249773,0.024112712506532574,0.0242240117305057,0.02416827669326385
8484,TRGB,33.2296,32.8137,28.12,0.03,4.207266283844443,0.05772585750081305,0.05852890417148782,0.058125531764620014
8557,SBF,33.5149,27.8769,29.764,0.17,8.970156084148144,0.6754691331955254,0.7304752536914307,0.7022546211604382
9140,TRGB,36.1773,-73.5131,26.45,0.09,1.9498445997580447,0.07916245939224442,0.08251241117817631,0.08081429596304067
9332,TRGB,36.8203,33.579,29.85,0.06,9.332543007969917,0.25433770618804985,0.26146330718941435,0.2578676929185281
9776,CEP,38.5,20.9768,33.709,0.149,55.18232567565663,3.6594612174809313,3.919377985367859,3.7864476148257844
9962,TRGB,39.4491,-61.3403,28.48,0.02,4.965923214503362,0.04552785768885048,0.04594912176936017,0.04573784306667406
9988,CEP,39.5483,-1.3187,32.563,0.074,32.553673247163665,1.0906826855436798,1.128491828899449,1.1093725205685483
10217,TRGB,40.4772,59.6032,28.74,0.16,5.597576014951097,0.39761604961594177,0.428019845792476,0.4124446428456772
11139,TRGB,44.209,-54.5706,28.79,0.02,5.72796030985829,0.052514255772820206,0.0530001641988882,0.052756464090965016
11211,TRGB,44.5172,-49.3823,28.85,0.07,5.888436553555893,0.1867938307484147,0.1929134592312911,0.18982076720962648
11274,SBF,44.7334,-12.3985,33.144,0.31,42.54024629440676,5.659474571791378,6.527939382388418,6.0730572921273644
11329,TRGB,44.9271,25.2389,29.14,0.11,6.729766562843179,0.3324182080166933,0.3496912809981998,0.3409089236725146
11527,SBF,45.9105,-15.6138,32.684,0.32,34.41913882684287,4.716160386664271,5.464979864062364,5.072191742488382
11842,TRGB,47.5433,-40.0024,29.8,0.08,9.120108393559102,0.3298832252502475,0.3422632200988236,0.335997210135985
12208,SBF,49.322,41.3851,34.316,0.105,72.97935152144493,3.4449053388784137,3.615574315843844,3.5288645051026797
12209,TRGB,49.3275,-41.108,29.74,0.1,8.871560120379604,0.39928597897365137,0.4181037474197584,0.40855044169573085
12286,TRGB,49.565,-66.4976,28.12,0.03,4.207266283844443,0.05772585750081305,0.05852890417148782,0.058125531764620014
12373,SBF,49.8093,-19.1001,32.294,0.42,28.760736288630234,5.057917297332477,6.137220455157184,5.562819581905561
12438,SBF,49.9758,41.5632,34.153,0.106,67.7017664051824,3.2254823407903785,3.3868399078666727,3.304848455591487
12460,TRGB,50.0292,-52.1858,28.67,0.02,5.4200089040162425,0.049690940313709575,0.050150724923476275,0.04992012682513119
12514,TRGB,50.0988,17.2957,29.2,0.11,6.918309709189362,0.3417313356351581,0.35948833617887477,0.35045992971209877
12626,CEP,50.5275,-15.4,32.541,0.059,32.22552489887901,0.8637957337491393,0.8875872493800188,0.8755837563035936
12651,TRGB,50.6739,-37.2082,31.35,0.1,18.620871366628684,0.8380772662394556,0.8775746309517913,0.8575228165471774
12691,SBF,50.9052,-35.7784,31.484,0.14,19.806147089717406,1.2366560748127817,1.3190125726911397,1.2769494930760596
12719,TRGB,51.0311,17.7535,29.07,0.1,6.516283940608428,0.293281088916836,0.30710300080827224,0.3000859652672293
12783,CEP,51.2868,-36.3631,31.009,0.1,15.914756566438562,0.7162820371537801,0.7500393695597865,0.7329016245702108
12846,SBF,51.618,-21.3556,31.804,0.37,22.95091476024225,3.5956106204448304,4.263562704301403,3.9106361306158006
12848,SBF,51.6342,-35.7137,31.314,0.07,18.314708046613507,0.5809818011879315,0.6000155817166473,0.5903964322293851
12878,SBF,51.8252,-34.5264,31.574,0.08,20.644292320739922,0.7467242098333209,0.7747475864813111,0.7605638360503553
12917,SBF,52.0273,-32.2861,31.474,0.08,19.71514610996587,0.7131160841935262,0.739878201127663,0.7263328246241113
12923,SBF,52.0818,-31.0681,31.594,0.07,20.835311605717486,0.6609407495982325,0.6825940976800666,0.671651090756953
13028,SBF,52.6457,-34.854,31.444,0.07,19.444644164481286,0.6168257971345383,0.6370338773585722,0.6268212690839159
13058,SBF,52.7844,-36.2901,31.434,0.19,19.355304139797447,1.621577894371871,1.769855522611099,1.693554921741215
13084,SBF,52.8534,-35.3311,31.464,0.07,19.624563241736897,0.6225332159645838,0.6429282792527466,0.6326211748771922
13097,SBF,52.9485,-35.0519,31.564,0.08,20.549440413453024,0.7432933237356174,0.7711879446635272,0.7570693626461814
13146,SBF,53.1987,-34.2387,31.484,0.07,19.806147089717406,0.6282934448908577,0.6488772213761536,0.6384747465380298
13163,TRGB,53.3026,-50.4143,28.91,0.04,6.0534087475391365,0.11048716138340708,0.11254127107568213,0.11150790995106698
13177,SBF,53.3913,-33.5732,31.534,0.1,20.267491520989644,0.9121873811922256,0.9551774480181727,0.9333524769722795
13179,TRGB,53.4016,-36.1405,31.4,0.09,19.054607179632463,0.7736050182050462,0.8063419939412348,0.7897473800042224
13197,SBF,53.4736,-31.1941,31.624,0.29,21.125159662408514,2.640987708711954,3.0183276347329766,2.8212637080952963
13230,SBF,53.6229,-35.5465,31.384,0.07,18.914723628330155,0.6000155817166473,0.6196729356524173,0.6097386493057338
13252,SBF,53.7467,-35.1711,31.434,0.09,19.355304139797447,0.7858131248928224,0.8190667163218066,0.8022102260879438
13266,SBF,53.8202,-35.2656,31.484,0.07,19.806147089717406,0.6282934448908577,0.6488772213761536,0.6384747465380298
13267,SBF,53.8191,-35.2263,31.454,0.07,19.534396563982572,0.6196729356524173,0.6399742921366816,0.6297145446040454
13277,SBF,53.879,-34.4471,31.584,0.07,20.739582044538317,0.6579040026984586,0.6794578626829164,0.6685651343095327
13281,SBF,53.888,-32.4649,31.344,0.07,18.569491014904624,0.5890640631302482,0.608362629921924,0.5986096647356878
13294,TRGB,53.9868,-45.1913,29.26,0.08,7.112135136533295,0.2572528720066698,0.2669071647577139,0.26202074151585186
13299,SBF,54.0159,-35.4412,31.494,0.15,19.89756811090657,1.3280770960019446,1.4230602472099818,1.3744753115702146
13318,SBF,54.1149,-34.9761,31.584,0.07,20.739582044538317,0.6579040026984586,0.6794578626829164,0.6685651343095327
13321,SBF,54.1322,-35.2952,31.654,0.08,21.419039907221233,0.7747475864813111,0.8038226360607794,0.7891065919457949
13333,SBF,54.1925,-35.9992,31.044,0.25,16.173350557998514,1.7588367004164045,1.9734472359707773,1.8620257949307155
13335,SBF,54.1978,-34.7396,31.484,0.07,19.806147089717406,0.6282934448908577,0.6488772213761536,0.6384747465380298
13343,SBF,54.2262,-35.3746,31.454,0.09,19.534396563982572,0.7930841642150206,0.8266454473371354,0.8096329859194868
13344,SBF,54.2377,-35.5066,31.434,0.09,19.355304139797447,0.7858131248928224,0.8190667163218066,0.8022102260879438
13354,SBF,54.2874,-35.1951,31.554,0.07,20.45502431109353,0.6488772213761536,0.6701353513149826,0.6593920767777668
13360,SBF,54.2988,-35.746,31.624,0.07,21.125159662408514,0.6701353513149826,0.6920899274744734,0.6809946881609337
13398,SBF,54.5272,-35.4399,31.504,0.08,19.989411112356606,0.7230365171157729,0.7501709321817103,0.7364371207206696
13399,SBF,54.5382,-34.5186,31.574,0.08,20.644292320739922,0.7467242098333209,0.7747475864813111,0.7605638360503553
13404,SBF,54.5568,-33.1272,31.614,0.07,21.02809837037741,0.6670563590577032,0.6889100631025151,0.6778658017830078
13418,SBF,54.6212,-35.4506,31.564,0.09,20.549440413453024,0.8342943034871553,0.8695994937682094,0.851703032976954
13419,SBF,54.6237,-23.0275,31.934,0.16,24.366884234595855,1.7308678300983509,1.8632190084918285,1.7954183808413455
13429,SBF,54.6872,-44.1007,31.444,0.25,19.444644164481286,2.114586811210472,2.3726054254017015,2.2386473895854135
13433,TRGB,54.7162,-35.5942,31.27,0.1,17.947336268325266,0.8077631932410299,0.8458318997074272,0.826505379007943
13470,SBF,54.8786,-18.6882,31.934,0.33,24.366884234595855,3.4354012001213405,3.9992399585293334,3.7030504104852753
13534,SBF,55.1756,-37.5109,31.754,0.08,22.428488158692854,0.8112603153381137,0.8417056297887875,0.8262960398815943
13550,SBF,55.2651,-33.7795,31.494,0.07,19.89756811090657,0.631193515665764,0.6518723025464546,0.6414218120661003
13602,CEP,55.5479,-29.8934,31.669,0.05,21.567509598981673,0.4909364555350635,0.5023718346041832,0.49661026095621197
13609,SBF,55.5808,-35.3928,31.484,0.07,19.806147089717406,0.6282934448908577,0.6488772213761536,0.6384747465380298
13611,SBF,55.5957,-35.1534,31.574,0.08,20.644292320739922,0.7467242098333209,0.7747475864813111,0.7605638360503553
13638,SBF,55.7046,-22.1084,31.894,0.18,23.92213847512053,1.9030163602757675,2.067485735966091,1.9829793400326663
13671,SBF,55.8443,-33.94,31.674,0.08,21.617227843354705,0.7819162376372191,0.8112603153381137,0.7964081053434299
13727,TRGB,56.1327,-44.6446,31.33,0.09,18.450154191794716,0.7490646086205146,0.7807630973068491,0.7646949000984262
13753,SBF,56.265,-35.9727,31.474,0.08,19.71514610996587,0.7131160841935262,0.739878201127663,0.7263328246241113
13758,SBF,56.3088,-36.9368,31.464,0.08,19.624563241736897,0.7098396134067428,0.7364787695827673,0.7229956284310767
13805,SBF,56.5572,-36.6964,31.494,0.07,19.89756811090657,0.631193515665764,0.6518723025464546,0.6414218120661003
13826,TRGB,56.7054,68.1014,26.75,0.1,2.2387211385683394,0.10075904906610855,0.10550767675158434,0.10309691842076232
13864,SBF,56.9694,-36.4717,31.504,0.08,19.989411112356606,0.7230365171157729,0.7501709321817103,0.7364371207206696
13950,SBF,57.6529,-35.9094,31.434,0.07,19.355304139797447,0.6139917400298955,0.6341069725591595,0.6239412869572897
14077,SBF,58.6187,-35.9672,31.524,0.09,20.174370856119253,0.8190667163218066,0.8537275142581571,0.8361577006890069
14241,TRGB,59.9604,67.1436,27.32,0.04,2.910717118066606,0.0531265746916576,0.05411427145773562,0.05361739076786205
14520,SBF,62.0788,-21.0519,34.244,0.38,70.59923578936672,11.33400226534524,13.501539617556702,12.354616840807934
14582,SBF,62.466,-56.1185,31.594,0.38,20.835311605717486,3.344901206054434,3.9845868293534714,3.6461059212520297
14659,SBF,63.18,-57.7377,31.494,0.17,19.89756811090657,1.4983232129398658,1.6203375924909835,1.5577386864462435
14757,SBF,63.9381,-55.5923,31.484,0.18,19.806147089717406,1.5755874829066983,1.7117586136801464,1.6417922053835052
14765,SBF,64.0437,-55.78,31.354,0.17,18.655203891005957,1.4047709185475412,1.5191669651132962,1.4604766091306245
14814,CEP,64.3989,-62.7836,31.491,0.061,19.87009758501157,0.5504144148423293,0.5660956258330998,0.5581816040461325
14965,SBF,65.4951,-56.9748,31.484,0.21,19.806147089717406,1.82572013794303,2.011102500165613,1.9154242396140895
15439,TRGB,68.0146,63.6161,27.49,0.07,3.1477483141013134,0.09985332447333262,0.10312465975302887,0.10147141682365553
15488,TRGB,68.2053,71.8803,27.33,0.14,2.924152377843333,0.18257820591545304,0.1947372062506023,0.18852707089622425
16282,TRGB,73.5564,-53.361,28.74,0.04,5.597576014951097,0.10216727637485334,0.10406670785637218,0.1031111607114193
16389,TRGB,74.2445,-42.8007,29.16,0.08,6.792036326171846,0.24567458549909116,0.25489436349961725,0.2502278655314774
16643,TRGB,75.8333,-25.4236,29.94,0.29,9.727472237769655,1.2160918557458835,1.3898450350462586,1.2991032888977068
16957,TRGB,78.5606,62.5806,27.6,0.21,3.311311214825913,0.3052349121976814,0.3362282544301691,0.3202321853439304
17223,CEP,80.8941,-69.7561,18.469,0.07,0.04940831009106557,0.001567337514597554,0.001618685694878351,0.0015927357360000082
17302,TRGB,81.774,-20.6778,29.08,0.03,6.546361740672744,0.08981945032619798,0.09106896334634218,0.09044132974451767
17716,TRGB,86.2575,5.0653,29.12,0.18,6.668067692136224,0.5304476404882781,0.5762919086136788,0.5527365576115708
17819,CEP,86.758,-34.2505,30.319,0.04,11.582438423173791,0.21140332606728407,0.21533360733813112,0.21335640042977147
18396,TRGB,91.4373,-33.0816,29.73,0.08,8.830799004185629,0.3194186221618569,0.3314058970343634,0.3253386583402319
18431,TRGB,91.8324,-34.2043,29.87,0.09,9.418895965228417,0.3824012280053992,0.3985834649714324,0.3903805699559409
18731,TRGB,93.9763,-57.7256,28.87,0.1,5.942921586155729,0.26747553207026,0.2800812655358724,0.27368165306229425
19041,TRGB,96.573,-26.2658,28.95,0.04,6.165950018614819,0.11254127107568213,0.11463356951835646,0.11358099677607073
19337,TRGB,99.4878,-26.0002,28.96,0.03,6.194410750767816,0.0849905017120971,0.08617283736536852,0.08557894712760018
19382,TRGB,99.8871,-40.7214,29.81,0.14,9.162204901219992,0.5720696861660421,0.610167308338113,0.5907091798861719
19619,SBF,101.9272,-26.7535,31.194,0.41,17.330057353270814,2.9817721709449323,3.601425681203658,3.272122401234604
19871,TRGB,103.9167,39.0952,29.99,0.23,9.954054173515262,1.0004065180193322,1.1121836662613962,1.054322610720405
20125,TRGB,106.3238,-58.5189,28.57,0.11,5.176068319505678,0.25567296269116646,0.2689582089185336,0.26220343056187534
20171,TRGB,106.7376,-22.0396,29.23,0.1,7.014552984199714,0.31570689003445196,0.3305856973714407,0.32303210270870325
20264,TRGB,107.3255,44.38,30.21,0.43,11.015393095414156,1.9788983581911381,2.4122565159644864,2.181293674407435
20298,TRGB,107.5566,44.4573,30.32,0.49,11.587773561551263,2.3407918221690274,2.9333426143261505,2.614819797054209
20445,TRGB,108.4653,10.5211,29.38,0.05,7.516228940182051,0.17109025861090732,0.17507546268404273,0.17306756713193627
20679,MASER,109.8787,59.3551,33.56,0.18,51.5228644581757,4.098665932151164,4.452895691335378,4.270888067390931
20916,SBF,110.9775,-27.5291,32.104,0.35,26.351175898638402,3.9226877399455837,4.608756234453338,4.247307736494814
21073,TRGB,112.0735,40.7701,30.05,0.07,10.232929922807546,0.3246104738798685,0.3352451693290437,0.3298706865707312
21102,TRGB,112.2254,69.215,27.53,0.03,3.206269324505467,0.04399166433708768,0.04460364934887995,0.044296247704382265
21199,TRGB,112.8269,-68.1875,28.28,0.03,4.5289757990362105,0.06213987752657868,0.06300432933248068,0.06257011296834945
21302,TRGB,113.5474,66.884,27.48,0.05,3.1332857243155865,0.0713222906249098,0.0729836001898807,0.07214657000900121
21325,SBF,113.7134,-69.2842,31.664,0.29,21.517905703397552,2.6900873360507767,3.0744425350647617,2.873714916495496
21373,CEP,114.0991,-69.5307,31.45,0.064,19.498445997580443,0.5662932398057947,0.5832320442594146,0.5746794379594002
21396,TRGB,114.2142,65.6024,27.47,0.05,3.1188895840939352,0.07099459446595446,0.07264827100682547,0.07181508663029094
21585,TRGB,115.358,40.1116,30.03,0.13,10.1391138573668,0.5891879971524308,0.6255382789315505,0.6070004830276959
21600,TRGB,115.4808,16.8025,29.51,0.02,7.979946872679773,0.07316059268151509,0.07383753931089831,0.0734980268476676
21772,TRGB,116.736,51.296,29.78,0.11,9.036494737223018,0.44635952216905395,0.4695531993397992,0.4577605576466751
22277,TRGB,119.259,14.391,29.43,0.03,7.691304402866094,0.1055286525742618,0.10699670236649528,0.10625929718231364
22721,CEP,121.4083,-11.427,32.051,0.099,25.715797663727407,1.1460893873590088,1.1995503755417332,1.1724136846280069
23110,CEP,123.6672,49.0615,30.219,0.05,11.061142822180791,0.25178235003752647,0.25764711437337695,0.2546922257383158
23324,TRGB,124.7682,70.7217,27.65,0.02,3.388441561392023,0.031065418962477942,0.03135286374506219,0.031208700110970967
23344,TRGB,124.8426,-85.1432,27.11,0.09,2.6424087573219457,0.10728012682403865,0.1118199460162197,0.10951867825571579
23521,TRGB,125.9814,71.0308,27.62,0.06,3.3419504002611444,0.09107742640679728,0.09362907873760129,0.09234150207800154
23701,SBF,126.7836,25.9703,32.134,0.43,26.717757271179465,4.799803832738153,5.850910948987519,5.290712226533196
23769,TRGB,127.1185,41.8566,29.92,0.04,9.638290236239712,0.17591862258177038,0.17918919396013777,0.17754386735932495
24050,TRGB,128.5302,66.18,27.78,0.03,3.5974933515574254,0.0493594592216704,0.050046117698656634,0.04970120738064789
24111,CEP,128.8221,28.4734,32.612,0.154,33.29660852068808,2.279593525911217,2.447132105760083,2.361382852351443
24171,TRGB,129.0633,-26.4093,29.53,0.07,8.053784411990671,0.25548330675808195,0.26385329903604315,0.25962333500932555
24749,SBF,132.1059,73.9671,32.684,0.68,34.41913882684287,9.253961210696456,12.65690949881541,10.778407452787812
24781,TRGB,132.2749,-26.3215,29.62,0.08,8.394599865193978,0.3036408734101439,0.31503603436682504,0.3092684881799277
24930,TRGB,133.1716,33.4211,29.91,0.38,9.594006315159332,1.5402219031686606,1.8347770327383799,1.6789172101766225
24961,SBF,133.3863,51.3138,31.114,0.34,16.703212258150426,2.4208514579585874,2.8311843058321458,2.6153185934498158
25003,SBF,133.6128,-3.067,32.574,0.4,32.71899836231789,5.504520897774238,6.6178897050022485,6.027062230941582
25950,SBF,138.0812,-24.1725,29.944,0.25,9.74540741766306,1.0598039141752942,1.1891195496461346,1.121981492253228
26142,TRGB,139.0113,52.841,25.63,0.03,1.3365955165464416,0.018338777990035693,0.018593895804594585,0.01846574947057508
26259,TRGB,139.4703,-22.3546,30.37,0.17,11.857687481671608,0.8929055202397631,0.9656183448886235,0.9283133707110912
26341,SBF,139.8269,69.2033,29.384,0.36,7.530087105475895,1.150390878850101,1.3578300933723053,1.2483839748971144
26512,CEP,140.5103,50.9768,30.709,0.23,13.861173512382436,1.3930814608262523,1.5487328586883322,1.468160449046723
26761,TRGB,141.5493,-76.6264,28.11,0.03,4.187935651179182,0.057460631277571395,0.05825998828394763,0.057858469204940983
27077,TRGB,143.0421,21.5014,29.76,0.09,8.953647655495944,0.36351244044197983,0.37889535247397355,0.3710976411503889
27115,TRGB,143.2034,21.4657,29.59,0.09,8.27942163712334,0.3361392898805242,0.35036384054636116,0.3431533111245461
27605,TRGB,145.1346,71.1833,27.97,0.03,3.9264493539959964,0.053872904779828534,0.05462235153897588,0.05424590250544369
27935,TRGB,146.2674,32.2379,29.99,0.3,9.954054173515262,1.284435415933105,1.4747291743824498,1.3752034052874846
28357,CEP,147.7381,33.5534,32.464,0.158,31.102836686851404,2.1827227246965606,2.347461995749967,2.2630949281171264
28378,TRGB,147.8208,7.8283,30.26,0.13,11.27197456175511,0.6550189897678518,0.6954307513173266,0.6748216954571407
28529,TRGB,148.4528,68.9691,28.05,0.13,4.073802778041128,0.23673032311833797,0.2513355323089579,0.2438872162613961
28655,TRGB,148.968,69.6798,27.74,0.02,3.5318316979195674,0.03238002763599601,0.03267963634287163,0.032529372074373786
28731,TRGB,149.2626,68.592,27.77,0.02,3.5809643710263597,0.032830478690604625,0.03313425536977199,0.03298190071707238
28757,TRGB,149.3832,69.046,27.88,0.08,3.7670379898390873,0.13625744213807245,0.14137096808492755,0.13878280832233184
28759,TRGB,149.3784,69.2777,27.92,0.17,3.83707245492279,0.2889385625870351,0.3124679714208458,0.3003963184050717
28826,TRGB,149.7022,66.8498,27.86,0.05,3.7325015779572044,0.08496210870112897,0.0869411304432619,0.08594402492981013
28868,TRGB,149.8601,30.7464,24.3,0.31,0.7244359600749903,0.09637760126167183,0.11116705815625749,0.10342067743484515
28974,SBF,150.2169,55.6189,32.694,0.93,34.57801035323063,12.04599699693576,18.485991566246916,14.80909888036213
29033,TRGB,150.4092,-8.2485,29.94,0.26,9.727472237769655,1.097686760099954,1.2373097236622073,1.1647132934944957
29146,TRGB,150.8276,68.7337,27.88,0.07,3.7670379898390873,0.11949852058301191,0.12341346010371756,0.12143495728204036
29194,TRGB,151.0165,-27.332,25.63,0.1,1.3365955165464416,0.06015670773509929,0.06299180602617671,0.06155249823525027
29230,TRGB,151.1704,29.3644,29.38,0.06,7.516228940182051,0.20483810534787494,0.21057691077496443,0.20768108055832352
29231,TRGB,151.1712,68.2561,27.79,0.09,3.6140986263961317,0.1467301218708168,0.15293936344295567,0.14979185319149982
29257,TRGB,151.2798,66.559,27.76,0.02,3.5645113342624444,0.03267963634287163,0.03298201729498107,0.032830362648324084
29265,SBF,151.3082,-7.7186,29.914,0.09,9.611695415159318,0.39022876391666905,0.40674224208095033,0.3983714384642111
29284,TRGB,151.3785,70.3644,29.69,0.03,8.669618757582173,0.11895162873533849,0.12060641072668155,0.11977520947890162
29311,SBF,151.4506,-67.378,31.964,0.22,24.705861360384304,2.380422744216876,2.634232424671765,2.503043315431934
29388,TRGB,151.7576,67.8275,27.82,0.02,3.664375746478333,0.0335951987773182,0.03390605132432878,0.03375014787587976
29488,TRGB,152.1166,12.3064,22.05,0.08,0.25703957827688645,0.009297372513557639,0.00964628817526142,0.009469688019997358
29653,TRGB,152.7533,-4.6928,25.75,0.08,1.4125375446227544,0.05109286215680342,0.053010296333156015,0.052039806296684255
29735,TRGB,153.1995,64.1078,27.81,0.06,3.6475394692560754,0.09940557692032037,0.10219055319875547,0.10078524009619744
30019,CEP,154.2237,73.4007,33.014,0.165,40.06821541822117,2.931798399025517,3.1632542728672206,3.0445956923207187
30197,CEP,154.9788,45.5497,30.669,0.08,13.608178583624555,0.4922211060690671,0.5106933844120221,0.5013438263912756
30664,TRGB,156.6158,67.657,27.66,0.04,3.404081897010009,0.062131496748864645,0.06328660751530579,0.06270550585108911
30744,SBF,156.8267,28.5074,31.674,0.2,21.617227843354705,1.9020817333888367,2.085591147943088,1.9910202633585747
30849,SBF,157.1962,-35.658,32.754,0.26,35.54675819990694,4.011237954399782,4.52145721831409,4.256170647839219
30859,SBF,157.2233,-35.6054,32.594,0.27,33.021743526707674,3.8609055414953737,4.3720908376075585,4.105910217020566
30895,CEP,157.3343,29.4922,32.331,0.076,29.25499309897075,1.0061933498136462,1.0420329276434792,1.0239040872810727
