designation,ra,dec,jdate,err_maj,err_min,j_m,h_m,k_m
17452907-3227078,266.371138,-32.452179,2451039.6043,0.06,0.06,12.501,10.738,10.029
16453225-4452301,251.384396,-44.875050,2451318.8395,0.06,0.06,14.547,12.772,11.936
17353316-3239126,263.888202,-32.653511,2451039.4961,0.06,0.06,13.546,11.099,9.977
11112524-6128593,167.855193,-61.483150,2451566.8214,0.13,0.13,10.446,9.539,9.043
