mode,launch_radius,phi,z_over_r,event,event_radius,event_time,Lz,L_norm,delta_E,rotation_work,invariant_error
spherical,1.0,0.5235987755982988,0.2,core_entry,0.1000000000000001,0.006420099228082001,1.2434497875801753e-14,1.544128260874241e-14,0.00022833756520412862,0.0,6.194405456377609e-09
spherical,1.0,0.5235987755982988,0.6,core_entry,0.09999999999999998,0.006420099236684296,2.3092638912203256e-14,3.242763615590271e-14,-0.0002513638755772263,0.0,7.938269545249102e-09
spherical,1.0,1.0471975511965976,0.2,core_entry,0.09999999999999315,0.006420099240829072,-2.6645352591003757e-14,2.7267222138875894e-14,-0.0005402831156970933,-0.0,1.1162874291262258e-08
spherical,1.0,1.0471975511965976,0.6,core_entry,0.09999999999999948,0.0064200992312109205,7.105427357601002e-15,9.272854936269104e-15,-1.3871336705051363e-05,0.0,2.5454833985725804e-09
spherical,3.0,0.5235987755982988,0.2,core_entry,0.09999999999997111,0.01873260948798055,1.0125233984581428e-13,1.2721198774066122e-13,0.0002771607832983136,0.0,2.1588348167561655e-08
spherical,3.0,0.5235987755982988,0.6,core_entry,0.09999999999999962,0.01873260948586536,-1.509903313490213e-13,1.9504567966064588e-13,0.0011885267049365211,-0.0,2.455633687885374e-08
spherical,3.0,1.0471975511965976,0.2,core_entry,0.09999999999997237,0.018732609483837405,-2.4868995751603507e-14,2.8268641583721086e-14,0.001508260473201517,-0.0,3.1162406471105725e-08
spherical,3.0,1.0471975511965976,0.6,core_entry,0.1000000000000033,0.018732609504527948,6.927791673660977e-14,1.0019109251294436e-13,-0.0010580896523606498,0.0,2.1861356453732432e-08
static,1.0,0.5235987755982988,0.2,first_turn,0.14275297216225896,0.007101246674458902,-24.444678076730035,29.75228134324064,-0.000290120966383256,-0.0,8.004158753314832e-09
static,1.0,0.5235987755982988,0.6,first_turn,0.20000959893695097,0.006795075342876606,-16.478112026745112,43.878634142775844,4.86716307932511e-05,-0.0,3.1670810852473034e-09
static,1.0,1.0471975511965976,0.2,first_turn,0.11346218215722652,0.006826954432749967,-22.38418247223911,25.55112569052987,3.3226460800506175e-06,-0.0,4.153806769841327e-09
static,1.0,1.0471975511965976,0.6,first_turn,0.13867279182224795,0.0067082365340350525,-15.1007331228832,32.203467094910245,-0.00017630140064284205,-0.0,5.213872303229887e-09
static,3.0,0.5235987755982988,0.2,first_turn,0.42313457814790667,0.018699729549487645,-111.97564815144122,127.24218798734013,7.27870901755523e-05,-0.0,2.450636706015765e-09
static,3.0,0.5235987755982988,0.6,first_turn,0.41420483586539925,0.01892173821315942,-58.125686279851365,128.1723897837459,3.807551911449991e-05,-0.0,5.334924920563093e-09
static,3.0,1.0471975511965976,0.2,first_turn,0.2439073676772063,0.018858537314486324,-72.63988370274755,79.77247456619732,0.000440875330241397,-0.0,1.31049404264243e-08
static,3.0,1.0471975511965976,0.6,first_turn,0.2537127044254452,0.019203153083954823,-45.856451897889585,83.19605721956198,0.00029944217385491356,-0.0,8.073894597815103e-09
rotating,1.0,0.5235987755982988,0.2,first_turn,0.13239235260844065,0.007179550092220144,-20.784494304399875,27.120437284521227,-779.418707571589,-779.4185364149953,4.117059124987726e-09
rotating,1.0,0.5235987755982988,0.6,first_turn,0.2045117933921909,0.00682545593560508,-13.741446668079455,44.20881314776365,-515.3044385758039,-515.3042500529795,4.0157286371854864e-09
rotating,1.0,1.0471975511965976,0.2,first_turn,0.12388492728822285,0.0068644900479187115,-23.958218062691692,27.302833896272126,-898.4329777312305,-898.4331773509384,4.124374168324631e-09
rotating,1.0,1.0471975511965976,0.6,first_turn,0.15124802327748244,0.006717776563521347,-16.196638763036667,34.62393085881672,-607.37399247336,-607.373953613875,2.0262152909047226e-09
rotating,3.0,0.5235987755982988,0.2,first_turn,0.32294706317170235,0.01904921228120242,-54.14929572989602,96.86227563864932,-2030.5987208994884,-2030.598589871101,3.6642836488125276e-09
rotating,3.0,0.5235987755982988,0.6,first_turn,0.4441721243168175,0.018937391399465427,-12.571920775573364,133.56369935300387,-471.4466648214475,-471.44702908400114,7.570462596861546e-09
rotating,3.0,1.0471975511965976,0.2,first_turn,0.31936390856599906,0.018890494046628396,-86.46628477652433,98.26176889969508,-3242.485847362026,-3242.4856791196626,9.588816696619192e-09
rotating,3.0,1.0471975511965976,0.6,first_turn,0.35293440615901805,0.01911951067158574,-49.129639805412786,110.28003444616247,-1842.361630744701,-1842.3614927029798,3.6399431653178397e-09
