SDSSJ0008-0004 6.59 11.55 0.27 0.09 0.50 0.16 0.79 11.38 0.14 11.64 0.14 -22.25 0.08 -22.94 0.08 -21.55 0.19 -22.33 0.18
SDSSJ0029-0055 3.48 11.08 0.50 0.14 0.89 0.26 0.56 11.33 0.13 11.58 0.13 -21.93 0.12 -22.63 0.07 -21.52 0.12 -22.27 0.12
SDSSJ0037-0942 4.95 11.47 0.40 0.06 0.71 0.10 0.78 11.48 0.06 11.73 0.06 -22.37 0.06 -23.06 0.06 -22.02 0.10 -22.76 0.10
SDSSJ0044+0113 1.72 10.96 0.37 0.08 0.64 0.13 0.40 11.23 0.09 11.47 0.09 -21.67 0.15 -22.35 0.08 -21.42 0.12 -22.14 0.08
SDSSJ0109+1500 3.05 11.12                                                                                        
SDSSJ0157-0056 4.89 11.41 0.51 0.12 0.90 0.20 0.84 11.50 0.10 11.74 0.10 -22.61 0.07 -23.30 0.06 -21.81 0.22 -22.59 0.20
SDSSJ0216-0813 5.53 11.69 0.36 0.06 0.61 0.10 0.56 11.79 0.07 12.03 0.07 -23.01 0.05 -23.75 0.05 -22.53 0.10 -23.32 0.10
SDSSJ0252+0039 4.40 11.25 0.40 0.12 0.71 0.21 0.86 11.21 0.13 11.46 0.13 -21.57 0.10 -22.29 0.07 -21.12 0.13 -21.90 0.13
SDSSJ0330-0020 5.45 11.40 0.41 0.08 0.69 0.15 0.93 11.35 0.09 11.58 0.09 -22.19 0.09 -22.85 0.06 -21.60 0.16 -22.35 0.16
SDSSJ0405-0455 1.14 10.41                                                                                        
SDSSJ0728+3835 4.21 11.30 0.56 0.16 1.00 0.29 0.82 11.44 0.12 11.69 0.12 -22.02 0.11 -22.76 0.07 -21.67 0.11 -22.45 0.10
SDSSJ0737+3216 4.66 11.46 0.41 0.07 0.73 0.12 0.46 11.72 0.07 11.96 0.07 -22.78 0.05 -23.53 0.05 -22.32 0.09 -23.11 0.09
SDSSJ0808+4706                                     11.26 0.16 11.51 0.15 -22.49 0.15 -23.00 0.07 -21.94 0.14 -22.55 0.12
SDSSJ0819+4534 2.73 11.04 0.32 0.06 0.57 0.11 0.49 11.15 0.08 11.40 0.08 -21.67 0.06 -22.32 0.07 -21.26 0.12 -21.98 0.12
SDSSJ0822+2652 4.45 11.38 0.41 0.12 0.73 0.22 0.71 11.43 0.13 11.69 0.13 -22.19 0.11 -22.89 0.07 -21.75 0.12 -22.51 0.13
SDSSJ0841+3824 2.96 11.12 0.31 0.10 0.54 0.18 0.32 11.41 0.15 11.65 0.14 -22.17 0.18 -22.83 0.08 -21.92 0.14 -22.62 0.09
SDSSJ0903+4116 7.23 11.66 0.35 0.11 0.62 0.20 0.81 11.59 0.14 11.84 0.14 -22.83 0.08 -23.51 0.08 -22.10 0.21 -22.88 0.21
SDSSJ0912+0029 4.58 11.60 0.34 0.05 0.60 0.09 0.53 11.71 0.07 11.96 0.07 -22.56 0.06 -23.33 0.06 -22.28 0.09 -23.09 0.09
SDSSJ0935-0003 4.26 11.60 0.20 0.03 0.35 0.05 0.31 11.72 0.07 11.96 0.07 -23.34 0.06 -23.98 0.06 -22.74 0.15 -23.46 0.14
SDSSJ0936+0913 3.45 11.17 0.57 0.16 1.03 0.29 0.63 11.43 0.12 11.68 0.12 -22.04 0.12 -22.76 0.07 -21.70 0.11 -22.47 0.11
SDSSJ0946+1006 4.95 11.46 0.26 0.07 0.46 0.13 0.68 11.34 0.12 11.59 0.12 -21.83 0.11 -22.55 0.07 -21.44 0.11 -22.22 0.11
SDSSJ0955+0101 1.83 10.83 0.36 0.05 0.64 0.09 0.82 10.77 0.07 11.02 0.06 -20.14 0.06 -20.91 0.05 -19.95 0.07 -20.75 0.07
SDSSJ0956+5100 5.05 11.57 0.35 0.07 0.62 0.12 0.72 11.56 0.09 11.81 0.08 -22.42 0.06 -23.14 0.07 -22.02 0.11 -22.80 0.11
