SDSSJ1218+0830 12 18 26.70 +08 30 50.3 0.135 0.717 219 10 E                 16.38 a 3.77 15.71 2.70 15.02
SDSSJ1250+0523 12 50 28.26 +05 23 49.1 0.232 0.795 252 14 E      19.19 1.93 17.77 b 1.91 16.64 1.32 15.78
SDSSJ1250-0135 12 50 50.52 -01 35 31.7 0.087 0.353 246  9 S0/SA  16.89 4.56 15.68 a 4.01 15.09 2.03 14.48
SDSSJ1251-0208 12 51 35.70 -02 08 05.2 0.224 0.784 233 23 S      19.54 3.61 17.71 a 5.34 17.21 2.61      
SDSSJ1259+6134 12 59 19.05 +61 34 08.6 0.233 0.449 253 16 E      19.56 1.78              16.83 1.81      
SDSSJ1306+0600 13 06 13.65 +06 00 22.1 0.173 0.472 237 17 E                 17.39 a 2.34 16.76 1.25 15.96
SDSSJ1313+4615 13 13 02.93 +46 15 13.6 0.185 0.514 263 18 E                 17.29 a 2.15 16.63 1.59 15.73
SDSSJ1313+0506 13 13 26.70 +05 06 57.2 0.144 0.339 221 17 S                 17.71 a 1.53 17.03 0.97 16.25
SDSSJ1318-0313 13 18 39.33 -03 13 34.2 0.240 1.300 213 18 E                 17.54 a 4.18 16.80 2.51 16.06
SDSSJ1319+1504 13 19 32.50 +15 04 26.0 0.154 0.606 235 14 E/S0              17.89 a 1.44 17.23 0.77 16.32
SDSSJ1330-0148 13 30 45.53 -01 48 41.6 0.081 0.711 185  9 S0     18.91 1.00 17.56 a 1.36 16.92 0.96 16.18
SDSSJ1402+6321 14 02 28.21 +63 21 33.5 0.205 0.481 267 17 E      19.07 2.56 17.51 b 2.62 16.30 2.29 15.55
SDSSJ1403+0006 14 03 29.49 +00 06 41.4 0.189 0.473 213 17 E                 17.64 a 1.87 17.02 1.14 16.11
SDSSJ1416+5136 14 16 22.34 +51 36 30.4 0.299 0.811 240 25 E                 18.58 a 1.38 17.55 0.98 16.70
SDSSJ1420+6019 14 20 15.85 +60 19 14.8 0.063 0.535 205  4 S0     16.88 2.35 15.94 b 2.12 15.05 2.25 14.37
SDSSJ1430+4105 14 30 04.10 +41 05 57.1 0.285 0.575 322 32 E                 17.80 a 2.71 16.85 2.55      
SDSSJ1432+6317 14 32 13.34 +63 17 03.8 0.123 0.664 199  8 S                 15.78 a 6.21 15.13 3.04 14.53
SDSSJ1436+3640 14 36 05.63 +36 40 47.1 0.185 0.758 281 19 E    c            16.95 a 4.64                 
SDSSJ1436-0000 14 36 27.54 -00 00 29.2 0.285 0.805 224 17 E                 17.94 a 2.94 17.16 1.63 16.38
SDSSJ1443+0304 14 43 19.62 +03 04 08.2 0.134 0.419 209 11 S0     19.21 1.13 17.62 a 1.38 17.00 0.70 16.24
SDSSJ1451-0239 14 51 28.19 -02 39 36.4 0.125 0.520 223 14 E      17.88 3.49 16.92 b 2.64 15.92 1.54 15.27
SDSSJ1525+3327 15 25 06.70 +33 27 47.4 0.358 0.717 264 26 E                 18.10 a 3.40 17.07 2.42 16.09
SDSSJ1531-0105 15 31 50.07 -01 05 45.7 0.160 0.744 279 12 E                 16.43 a 3.32 15.79 1.97 15.14
SDSSJ1538+5817 15 38 12.92 +58 17 09.8 0.143 0.531 189 12 E                 17.42 a 1.59 16.63 1.00 15.99
SDSSJ1614+4522 16 14 37.74 +45 22 53.3 0.178 0.811 182 13 E                 17.50 a 2.93 16.80 2.58      
SDSSJ1618+4353 16 18 43.10 +43 53 27.4 0.199 0.666 292 29 E    c 19.27 2.53              17.08 1.80      
SDSSJ1621+3931 16 21 32.99 +39 31 44.6 0.245 0.602 236 20 E      19.27 2.85 17.55 a 2.77 16.79 1.51 16.08
SDSSJ1627-0053 16 27 46.45 -00 53 57.6 0.208 0.524 290 14 E      19.42 2.02 17.87 b 2.05 16.71 1.98      
SDSSJ1630+4520 16 30 28.16 +45 20 36.3 0.248 0.793 276 16 E      19.76 1.81 18.08 b 2.05 16.77 1.65 15.80
SDSSJ1636+4707 16 36 02.62 +47 07 29.6 0.228 0.675 231 15 E      19.62 1.76 17.79 a 1.84 16.98 1.68      
SDSSJ1644+2625 16 44 43.09 +26 25 25.4 0.137 0.610 229 12 E                 16.85 a 2.32 16.22 1.55 15.46
SDSSJ1709+2324 17 09 38.96 +23 24 08.4 0.347 0.719 286 30 E                 18.51 a 2.06                 
SDSSJ1718+6424 17 18 37.39 +64 24 52.2 0.090 0.737 273 16 E    c 17.39 4.69 16.15 a 4.51 15.39 1.70 15.35
SDSSJ1719+2939 17 19 34.16 +29 39 26.4 0.181 0.578 286 15 E/S0              17.52 a 1.83 16.87 1.46 15.99
SDSSJ2141-0001 21 41 54.68 -00 01 12.3 0.138 0.713 181 14 S                              16.72 1.81      
SDSSJ2238-0754 22 38 40.20 -07 54 56.0 0.137 0.713 198 11 E      18.21 3.19 17.18 b 2.41 16.12 1.82 15.40
SDSSJ2300+0022 23 00 53.15 +00 22 38.0 0.228 0.463 279 17 E      19.80 1.86 18.19 b 1.93 16.96 1.52 16.15
SDSSJ2302-0840 23 02 20.18 -08 40 49.5 0.090 0.222 237  8 E                 15.95 a 3.18 15.45 1.70 14.80
SDSSJ2303+1422 23 03 21.72 +14 22 17.9 0.155 0.517 255 16 E      17.96 4.28 16.77 b 3.54 15.72 2.94 15.05
SDSSJ2321-0939 23 21 20.93 -09 39 10.3 0.082 0.532 249  8 E      16.52 5.54 15.27 a 4.79 14.61 4.11      
SDSSJ2341+0000 23 41 11.57 +00 00 18.7 0.186 0.807 207 13 E                 17.02 a 4.52 16.30 2.36 15.40
SDSSJ2343-0030 23 43 58.87 -00 30 22.4 0.181 0.463 269 11 E/S0              17.17 a 2.74                 
SDSSJ2347-0005 23 47 28.08 -00 05 21.3 0.417 0.714 404 59 E      20.73 1.81 18.82 a 1.80 17.83 1.14 16.85
