000802.96-000408.2 0669-52559-156 0.4400 1.1924 18.65d 0.12  86.7  1.71 0.313 0.83  27.3 --- -- E-S-A  J0008-0004
002817.87-092934.3 0653-52145-590 0.0565 0.7146 13.75s 0.07  92.8 15.21 0.346 0.48  78.9 147  7 L-S-X  J0028-0929
002907.77-005550.5 0391-51782-088 0.2270 0.9313 17.09d 0.04  76.3  2.16 0.310 0.84  26.6 229 18 E-S-A  J0029-0055
003753.21-094220.1 0655-52162-392 0.1955 0.6322 16.26s 0.06 120.5  2.19 0.326 0.73  11.4 279 14 E-S-A  J0037-0942
004402.90+011312.6 0393-51794-456 0.1196 0.1965 15.73s 0.04  68.8  2.61 0.321 0.76 151.3 266 13 E-S-A  J0044+0113
010933.73+150032.5 0422-51811-508 0.2939 0.5248 17.75s 0.11  77.2  1.38 0.320 0.78 104.0 251 19 E-S-A  J0109+1500
015758.94-005626.1 0700-52199-020 0.5132 0.9243 18.64d 0.05 117.3  1.06 0.310 0.69  69.2 --- -- E-S-A  J0157-0056
021652.54-081345.3 0668-52162-428 0.3317 0.5235 16.93d 0.07 206.4  2.67 0.312 0.79  81.2 333 23 E-S-A  J0216-0813
025245.21+003958.4 0807-52295-614 0.2803 0.9818 18.04d 0.15  55.8  1.39 0.317 0.94  97.2 164 12 E-S-A  J0252+0039
033012.14-002051.9 0810-52672-252 0.3507 1.0709 18.16d 0.16  82.3  1.20 0.306 0.77 109.6 212 21 E-S-A  J0330-0020
035458.47-064842.8 0464-51908-310 0.1301 0.3808 15.90s 0.14  76.9  3.76 0.316 0.88   9.1 160  8 E-S-X  J0354-0648
040535.41-045552.4 0465-51910-406 0.0753 0.8098 16.45s 0.21  15.8  1.36 0.320 0.69  20.3 160  8 E-S-A  J0405-0455
072804.95+383525.7 1733-53047-154 0.2058 0.6877 16.74d 0.12  91.2  1.78 0.316 0.74  67.0 214 11 E-S-A  J0728+3835
073728.45+321618.6 0541-51959-145 0.3223 0.5812 17.04d 0.08 177.8  2.82 0.312 0.85 104.1 338 17 E-S-A  J0737+3216
074251.84+345001.9 0542-51993-386 0.0853 0.7390 17.02s 0.11  11.0  1.77 0.314 0.97 124.5 165 10 E-S-X  J0742+3450
075834.68+303443.3 1061-52641-256 0.1156 0.5013 16.05s 0.10  50.3  1.37 0.320 0.81 108.0 191 10 E-S-B  J0758+3034
