080240.82+450452.7 0436-51883-633 0.1423 0.4523 16.16s 0.09  70.3  2.71 0.315 0.80  86.0 244 12 E-S-X  J0802+4504
080358.21+453655.6 0439-51877-333 0.1313 0.2938 16.90s 0.15  31.6  1.07 0.315 0.36  69.5 228 12 L-S-X  J0803+4536
080858.78+470638.9 0438-51884-555 0.2195 1.0251 ---    0.09   ---   --- ---   ---    --- --- -- E-M-A* J0808+4706
081931.93+453444.8 0441-51868-108 0.1943 0.4462 17.07s 0.08  57.6  1.98 0.319 0.78  40.4 225 15 E-S-B  J0819+4534
082242.32+265243.5 1267-52932-253 0.2414 0.5941 16.99d 0.05  95.4  1.82 0.312 0.74  87.0 259 15 E-S-A  J0822+2652
084128.81+382413.7 0828-52317-012 0.1159 0.6567 15.34d 0.06  94.6  4.21 0.318 0.58  92.9 225 11 L-S-A  J0841+3824
084706.89+031822.6 0564-52224-542 0.1192 0.4146 16.80s 0.05  25.7  1.91 0.320 0.69 120.1 199 12 E-S-X  J0847+0318
090315.19+411609.1 1200-52668-398 0.4304 1.0645 17.95d 0.03 144.7  1.78 0.308 0.89   1.6 --- -- E-S-A  J0903+4116
090319.52+313951.2 1590-52974-622 0.2711 0.5494 16.77d 0.04 150.0  3.03 0.319 0.67 147.8 258 15 E-S-B  J0903+3139
091053.11+052023.2 1193-52652-232 0.2706 1.0741 ---    0.08   ---   --- ---   ---    --- --- -- E-M-B  J0910+0520
091205.31+002901.2 0472-51955-429 0.1642 0.3239 15.57d 0.05 156.4  3.87 0.330 0.67  11.7 326 16 E-S-A  J0912+0029
091244.31+413637.0 1200-52668-588 0.0646 0.1377 15.85s 0.04  17.3  1.24 0.337 0.65  22.7 218 11 E-S-X  J0912+4136
092559.35+081411.8 1302-52763-012 0.1345 0.2251 17.66s 0.09  15.6  1.44 0.322 0.83  67.2 --- -- E-S-X  J0925+0814
093425.13+603423.5 0486-51910-241 0.1011 0.2440 16.37s 0.06  27.5  1.65 0.313 0.56  48.4 208 10 E-S-X  J0934+6034
093543.93-000334.8 0476-52314-177 0.3475 0.4670 16.75s 0.06 268.5  4.24 0.311 0.90 145.2 396 35 E-S-A  J0935-0003
093600.77+091335.8 1303-53050-078 0.1897 0.5880 16.52d 0.07  90.5  2.11 0.308 0.81 145.3 243 12 E-S-A  J0936+0913
094656.68+100652.8 1305-52757-503 0.2219 0.6085 17.09d 0.05  73.2  2.35 0.316 0.96  10.3 263 21 E-S-A  J0946+1006
095320.42+520543.7 0902-52409-577 0.1315 0.4673 17.26s 0.01  20.1  1.22 0.319 0.88  45.5 229 19 E-S-X  J0953+5205
095519.72+010144.4 0268-51633-336 0.1109 0.3159 16.97s 0.05  18.9  1.09 0.304 0.39 108.6 192 13 L-S-A  J0955+0101
095629.78+510006.6 0902-52409-068 0.2405 0.4699 16.68d 0.02 122.7  2.19 0.311 0.73 147.7 334 17 E-S-A  J0956+5100
095900.96+441639.4 0942-52703-499 0.2369 0.5315 16.90d 0.02  97.6  1.98 0.317 0.87  55.9 244 19 E-S-A  J0959+4416
095944.07+041017.0 0572-52289-495 0.1260 0.5350 16.92d 0.05  25.9  1.39 0.298 0.60  58.4 197 13 E-S-A  J0959+0410
101622.86+385903.3 1427-52996-461 0.1679 0.4394 16.71d 0.03  56.7  1.46 0.320 0.85  63.3 247 13 E-S-A  J1016+3859
102026.54+112241.1 1598-53033-353 0.2822 0.5530 17.21d 0.06 110.5  1.59 0.319 0.79 106.6 282 18 E-S-A  J1020+1122
102332.26+423001.8 1359-53002-418 0.1912 0.6960 16.77d 0.03  70.1  1.77 0.314 0.85 167.5 242 15 E-S-A  J1023+4230
102551.32-003517.5 0272-51941-151 0.1589 0.2764 15.41s 0.12 181.2  4.94 0.312 0.76 112.3 264 13 E-S-X  J1025-0035
102922.94+042001.8 0576-52325-433 0.1045 0.6154 16.13d 0.06  36.7  1.56 0.315 0.52 127.9 210 11 E-S-A  J1029+0420
102927.53+611505.3 0772-52375-140 0.1574 0.2512 16.06s 0.02  88.8  2.73 0.360 0.83   3.1 228 14 E-S-B  J1029+6115
103235.84+532234.9 0905-52643-100 0.1334 0.3290 17.05d 0.03  25.5  0.81 0.306 0.44 136.5 296 15 L-S-A  J1032+5322
103904.22+051335.8 0577-52367-571 0.0668 0.3627 15.38s 0.05  28.7  2.40 0.323 0.87  59.0 190 10 E-S-X  J1039+0513
103957.78+093351.0 1240-52734-507 0.2212 0.5612 ---    0.05   ---   --- ---   ---    --- --- -- E-M-B  J1039+0933
104606.93+415116.1 1361-53047-077 0.1025 0.7584 16.61d 0.02  22.0  1.03 0.308 0.36  49.8 191 10 L-S-X  J1046+4151
110024.39+532913.9 1011-52652-175 0.3171 0.8581 17.18s 0.02 143.6  2.24 0.314 0.58 103.0 --- -- E-S-A  J1100+5329
110308.21+532228.2 1011-52652-156 0.1582 0.7353 16.43d 0.02  63.7  1.95 0.330 0.46  45.5 196 12 U-S-A  J1103+5322
110646.15+522837.8 1011-52652-007 0.0955 0.4069 15.52s 0.02  51.4  1.68 0.324 0.63  57.3 262 13 E-S-A  J1106+5228
110817.70+025241.3 0509-52374-471 0.1368 0.3105 17.19s 0.08  24.7  1.17 0.322 0.86 146.1 178 14 E-S-B  J1108+0252
111250.60+082610.4 1221-52751-028 0.2730 0.6295 17.22s 0.06 101.9  1.50 0.328 0.77 137.5 320 20 E-S-A  J1112+0826
111739.60+053414.0 0835-52326-571 0.2285 0.8230 17.11s 0.12  81.4  2.20 0.308 0.72  43.9 277 19 E-S-B  J1117+0534
113405.89+602713.5 0952-52409-524 0.1528 0.4742 16.44s 0.02  59.1  2.02 0.325 0.83 155.0 239 12 E-S-A  J1134+6027
113636.14+042625.0 0837-52642-039 0.1282 0.5341 16.97s 0.04  25.4  0.88 0.330 0.81 123.9 258 14 E-S-X  J1136+0426
114052.69+564044.5 1312-52781-311 0.0674 0.2968 15.78s 0.02  19.6  1.92 0.321 0.69 145.9 163  9 L-S-X  J1140+5640
114257.35+100111.8 1226-52734-306 0.2218 0.5039 17.10d 0.10  75.8  1.91 0.314 0.89  95.4 221 22 E-S-A  J1142+1001
114329.64-014430.0 0328-52282-535 0.1060 0.4019 14.96d 0.03 108.5  4.80 0.337 0.80 118.7 269 13 E-S-A  J1143-0144
115208.97+005431.0 0284-51943-452 0.1062 0.1590 16.90s 0.04  18.5  0.86 0.328 0.58 123.5 235 14 E-S-X  J1152+0054
115310.79+461205.3 1446-53080-211 0.1797 0.8751 17.20d 0.04  41.9  1.16 0.323 0.90   2.9 226 15 E-S-A  J1153+4612
115510.06+623722.4 0777-52320-501 0.3751 0.6690 17.61s 0.03 141.3  2.88 0.323 0.77 176.9 --- -- E-S-X  J1155+6237
115905.46+544738.3 1018-52672-279 0.0818 0.2695 15.74d 0.02  30.6  1.90 0.318 0.69 107.3 231 12 E-S-X  J1159+5447
120324.89+023301.1 0517-52024-352 0.1644 0.4380 16.59s 0.05  61.2  2.70 0.312 0.50  67.2 209 11 L-S-X  J1203+0233
120444.07+035806.4 0842-52376-208 0.1644 0.6307 16.84s 0.04  48.1  1.47 0.316 0.97 132.1 267 17 E-S-A  J1204+0358
120540.44+491029.4 0969-52442-134 0.2150 0.4808 16.56d 0.04 110.4  2.59 0.314 0.72 158.3 281 14 E-S-A  J1205+4910
121158.75+455036.6 1370-53090-427 0.1110 0.3170 15.63d 0.02  63.6  2.89 0.322 0.75 107.6 231 12 E-S-X  J1211+4550
121340.58+670829.0 0493-51957-145 0.1229 0.6402 15.60d 0.03  81.1  3.23 0.326 0.77  20.0 292 15 E-S-A  J1213+6708
121826.70+083050.3 1625-53140-415 0.1350 0.7172 15.74d 0.03  87.2  3.18 0.321 0.72  50.5 219 11 E-S-A  J1218+0830
124426.03+011146.8 0291-51928-528 0.0725 0.5600 15.21s 0.03  39.2  2.83 0.320 0.70 106.9 172  9 L-S-X  J1244+0111
125028.26+052349.1 0847-52426-549 0.2318 0.7953 16.70d 0.05 115.4  1.81 0.310 0.97 114.8 252 14 E-S-A  J1250+0523
125050.52-013531.7 0337-51997-460 0.0871 0.3526 15.14s 0.04  61.7  2.93 0.317 0.72 125.3 246 12 U-S-A* J1250-0135
125135.71-020805.2 0337-51997-480 0.2243 0.7843 17.25s 0.04  63.8  2.61 0.299 0.51  39.5 --- -- L-S-A  J1251-0208
125919.05+613408.6 0783-52325-279 0.2334 0.4488 16.85s 0.02  98.9  1.81 0.314 0.79  96.1 253 16 E-S-A* J1259+6134
131326.70+050657.2 0851-52376-344 0.1438 0.3385 17.10s 0.06  29.4  0.86 0.311 0.45  74.9 221 17 L-S-B  J1313+0506
133045.53-014841.6 0910-52377-503 0.0808 0.7115 16.99s 0.07   9.8  0.89 0.315 0.46 103.6 185  9 E-S-B  J1330-0148
134308.25+602755.0 0786-52319-236 0.1198 0.3199 16.30s 0.03  40.6  2.07 0.310 0.52 153.1 178 10 L-S-X  J1343+6027
134309.22+605209.7 0786-52319-193 0.0343 0.0880 13.64s 0.03  35.8  4.91 0.322 0.49   5.1 206 10 E-S-X  J1343+6052
140228.21+632133.5 0605-52353-503 0.2046 0.4814 16.33d 0.03 122.1  2.70 0.316 0.77  70.8 267 17 E-S-A  J1402+6321
140329.49+000641.4 0302-51688-354 0.1888 0.4730 17.11s 0.08  52.8  1.46 0.317 0.81 110.5 213 17 E-S-A  J1403+0006
141622.34+513630.4 1045-52725-464 0.2987 0.8111 17.57d 0.02  87.5  1.43 0.326 0.76  23.4 240 25 E-S-A  J1416+5136
142015.85+601914.8 0788-52338-605 0.0629 0.5351 15.08d 0.03  32.8  2.06 0.326 0.57 111.5 205 10 E-S-A  J1420+6019
143004.10+410557.1 1349-52797-406 0.2850 0.5753 16.87d 0.02 149.4  2.55 0.309 0.79 120.7 322 32 E-S-A  J1430+4105
143039.86+511530.9 1046-52460-448 0.1337 0.4503 16.33s 0.02  48.9  1.81 0.333 0.68  74.1 206 10 L-S-X  J1430+5115
143213.34+631703.8 0499-51988-005 0.1230 0.6643 15.16d 0.03 122.5  5.85 0.307 0.96 107.2 199 10 L-S-A  J1432+6317
143609.50+493927.3 1046-52460-025 0.1225 0.3145 16.32s 0.04  42.4  2.13 0.312 0.71  12.9 212 12 E-S-X  J1436+4939
143627.54-000029.2 0306-51637-035 0.2852 0.8049 17.24s 0.07 112.2  2.24 0.315 0.75 151.3 224 17 E-S-A  J1436-0000
144319.62+030408.2 0587-52026-205 0.1338 0.4187 17.06s 0.06  26.1  0.94 0.320 0.62  61.1 209 11 E-S-A  J1443+0304
144858.24-011614.6 0920-52411-607 0.1474 0.7807 16.65s 0.10  48.2  1.39 0.302 0.41  34.4 187 10 L-S-X  J1448-0116
145128.19-023936.4 0921-52380-293 0.1254 0.5203 16.09d 0.16  61.0  2.48 0.315 0.98  40.6 223 14 E-S-A  J1451-0239
145218.94-005820.2 0309-51994-298 0.1770 0.5131 17.28s 0.08  39.3  0.85 0.321 0.77 120.9 193 11 E-S-X  J1452-0058
151505.14+612848.3 0611-52055-626 0.2421 0.3800 17.31s 0.03  70.3  1.20 0.327 0.66 173.0 212 25 E-S-X  J1515+6128
152009.08-003457.3 0313-51673-306 0.1140 0.3954 16.88s 0.11  23.0  1.61 0.324 0.59  30.7 196 16 L-S-X  J1520-0034
152444.37-005209.1 0924-52409-527 0.1524 0.7323 17.39s 0.28  31.0  1.62 0.313 0.82  54.8 150 22 E-S-X  J1524-0052
152506.70+332747.4 1387-53118-532 0.3583 0.7173 17.11d 0.04 204.0  2.90 0.316 0.61 135.4 264 26 E-S-A  J1525+3327
152524.63+011401.7 0313-51673-523 0.1294 0.6269 16.68s 0.09  35.3  1.59 0.319 0.85  58.1 158 10 E-S-X  J1525+0114
153150.07-010545.7 0314-51641-124 0.1596 0.7439 16.08s 0.26 112.6  2.50 0.320 0.68 143.5 279 14 E-S-A  J1531-0105
153530.38-003852.3 0315-51663-259 0.1613 0.6585 16.81s 0.21  55.9  1.23 0.325 0.60  98.2 254 15 E-S-X  J1535-0038
153711.26+412554.6 1679-53149-628 0.1423 0.6811 17.02d 0.04  30.3  2.07 0.316 0.84   1.7 204 14 E-S-X  J1537+4125
153812.92+581709.8 0615-52347-594 0.1428 0.5312 16.66s 0.03  42.0  1.58 0.311 0.82 153.5 189 12 E-S-A  J1538+5817
154100.77+413058.7 1053-52468-275 0.1423 0.5033 16.84d 0.05  36.2  1.15 0.320 0.42  64.0 215 11 L-S-X  J1541+4130
154731.22+572000.0 0617-52072-561 0.1883 0.3958 16.25s 0.02 109.4  2.53 0.317 0.89 156.8 254 13 E-S-X  J1547+5720
155003.12+525846.7 0618-52049-458 0.0491 0.7396 15.23s 0.03  17.1  2.04 0.335 0.75 108.9 202 10 E-S-B  J1550+5258
160453.49+335546.2 1418-53142-599 0.0786 0.3500 15.36d 0.05  40.7  2.59 0.319 0.63  97.2 228 11 E-S-B  J1604+3355
161437.74+452253.3 0814-52443-510 0.1779 0.8113 16.83s 0.02  56.9  2.58 0.316 0.90  60.5 182 13 E-S-B  J1614+4522
161843.10+435327.4 0815-52374-337 0.1989 0.6657 ---    0.03   ---   --- ---   ---    --- --- -- E-M-A* J1618+4353
162132.99+393144.6 1172-52759-318 0.2449 0.6021 16.81s 0.01 113.2  2.14 0.312 0.73 142.9 236 20 E-S-A  J1621+3931
162746.45-005357.6 0364-52000-084 0.2076 0.5241 16.91d 0.18  85.1  1.98 0.312 0.85   6.9 290 15 E-S-A  J1627-0053
163028.16+452036.3 0626-52057-518 0.2479 0.7933 16.79d 0.01 118.4  1.96 0.318 0.84  71.7 276 16 E-S-A  J1630+4520
163339.26-001256.2 0348-51671-234 0.0702 0.2060 15.81s 0.17  23.9  2.28 0.323 0.52 169.7 215 11 U-S-X  J1633-0012
163602.62+470729.6 0627-52144-464 0.2282 0.6745 17.03s 0.04  81.5  1.68 0.321 0.78 102.2 231 15 E-S-A  J1636+4707
170013.98+622109.7 0349-51699-043 0.1228 0.3584 16.52s 0.05  35.3  1.53 0.314 0.72 118.5 192 10 E-S-X  J1700+6221
170216.76+332044.8 0973-52426-464 0.1785 0.4357 16.10s 0.04 113.2  3.66 0.313 0.78 116.3 256 14 E-S-B  J1702+3320
170603.69+330400.9 0974-52427-127 0.1682 0.7736 16.85d 0.04  50.5  1.38 0.321 0.79  26.3 225 12 E-S-B  J1706+3304
171723.13+573948.2 0355-51788-542 0.1144 0.5748 16.02s 0.06  48.9  2.08 0.315 0.77 145.6 227 11 E-S-X  J1717+5739
171837.40+642452.2 0352-51789-563 0.0899 0.7366 ---    0.06   ---   --- ---   ---    --- --- -- E-M-A* J1718+6424
211112.27-003826.5 0986-52443-256 0.1933 0.4761 ---    0.15   ---   --- ---   ---    --- --- -- E-M-B  J2111-0038
211949.65-074201.7 0639-52146-142 0.1704 0.5262 16.76s 0.40  78.0  1.91 0.311 0.64 139.4 207 17 E-S-B  J2119-0742
212151.12+120312.9 0730-52466-327 0.1434 0.4862 16.92s 0.12  36.3  1.61 0.313 0.59  66.9 194 12 L-S-B  J2121+1203
214154.68-000112.3 0989-52468-035 0.1380 0.7127 16.83s 0.10  35.8  1.81 0.300 0.37  88.4 181 14 L-S-A* J2141-0001
220218.32-084648.0 0717-52468-165 0.1613 0.5011 17.13s 0.07  36.6  1.13 0.312 0.34  12.7 231 12 L-S-X  J2202-0846
220956.93-075447.9 0718-52206-475 0.1112 0.2148 17.58s 0.09  11.2  0.71 0.317 0.49 178.3 229 16 E-S-X  J2209-0754
222537.34+125957.6 0737-52518-119 0.3103 0.6571 18.09d 0.15  66.2  0.74 0.325 0.75 136.7 248 24 E-S-X  J2225+1259
223840.20-075456.0 0722-52224-442 0.1371 0.7126 16.20d 0.07  61.2  2.33 0.315 0.74 138.3 198 11 E-S-A  J2238-0754
224155.71+122814.0 0739-52520-054 0.0998 0.7173 15.92s 0.07  40.9  4.55 0.350 0.54 164.8 176 13 L-S-X  J2241+1228
230053.15+002238.0 0677-52606-520 0.2285 0.4635 17.07d 0.10  83.1  1.83 0.321 0.80  85.7 279 17 E-S-A  J2300+0022
230220.18-084049.5 0725-52258-463 0.0901 0.2224 15.53s 0.07  47.4  2.25 0.325 0.80 169.1 237 12 E-S-A* J2302-0840
230321.72+142217.9 0743-52262-304 0.1553 0.5170 16.10d 0.35 112.9  3.28 0.321 0.64  36.7 255 16 E-S-A  J2303+1422
232120.93-093910.3 0645-52203-517 0.0819 0.5324 14.66s 0.05  84.6  4.11 0.313 0.78 127.9 249 12 E-S-A  J2321-0939
234111.57+000018.7 0682-52525-594 0.1860 0.8070 16.36d 0.05  98.7  3.15 0.318 0.59  78.8 207 13 E-S-A  J2341+0000
234728.08-000521.3 0684-52523-311 0.4169 0.7145 17.89s 0.06 145.3  1.40 0.309 0.71  16.5 --- -- E-S-B  J2347-0005
