T,kind,fraction_inside_.1,fraction_inside_1,fraction_inside_3,fraction_inside_10,projected_fraction_inside_.1,projected_fraction_inside_1,projected_fraction_inside_3,projected_fraction_inside_10,mean_kinetic,mean_mechanical
0,source at injection,0.0002904761949344289,0.16113237416442086,0.6977783642327567,0.9750856535130291,0.004267555526814485,0.2932198101527762,0.7904967399160068,0.9845247350236128,0.048810200593369546,-0.502400132749266
1.0,moving population,0.011891719464122472,0.25179138963338554,0.7144784722970966,0.9750949749644765,0.022710789300294344,0.36821300913269006,0.800176840617409,0.9845679528659911,0.09939562881077271,-0.5024001391177033
10.0,moving population,0.029994531607070468,0.3331296092362715,0.8285856005152386,0.9767979182658546,0.0474023966037838,0.4568768514220952,0.8727735308835955,0.9853978287928304,0.17707516841732152,-0.5024001622479488
30.0,moving population,0.027872938069942454,0.3142510897796951,0.8006104016938582,0.981914158165967,0.044142500291658324,0.4372108331499794,0.8667586956169736,0.9881204392393143,0.16506533959097486,-0.5024001601375443
