name,distance_mpc,distance_error_minus,distance_error_plus,observed_cmb_z,cz_error_km_s,exponential_z,linear_z,exponential_residual_km_s,linear_residual_km_s,range_status
UGC 3789,51.5,4.0,4.5,0.01107399439648345,0.8,0.012900822185702336,0.01291423569590174,547.6691932726358,551.6904624657232,within
NGC 6264,132.1,17.0,21.0,0.03399885396716685,0.8,0.03342610860434043,0.03312564146463339,-171.70474012983505,-261.7825224908356,extrapolation
NGC 6323,109.4,23.0,34.0,0.026023002886883834,1.5,0.02760369967435591,0.02743334728410972,473.8809752689576,422.810613470876,extrapolation
NGC 5765b,112.2,5.1,5.4,0.028438674064308854,0.7,0.028320104921933258,0.028135480486993696,-35.546134635731505,-90.89514779312412,extrapolation
CGCG 074-064,87.6,7.2,7.9,0.02392388403580186,1.9,0.022043016279413675,0.0219667387759416,-563.8699678605599,-586.7373881165568,within
NGC 4258,7.58,0.11,0.11,0.0022659008986810466,0.4,0.0018884377680071344,0.0019007748849501978,-113.1605997491074,-109.46202513611297,extrapolation
