target_name,decision,ra_deg,dec_deg,solar_to_cmb_spectral_factor,zero_z_equivalent_cdz_kms,first_order_projection_kms
dw0242p0000,pending_freshness_and_host_audit,40.5015,0.0146,0.9992553152958353,-223.25085789652817,-223.18896069135573
dw0243p1643,pending_freshness_and_host_audit,40.857,16.7324,0.999249732959896,-224.9244001091468,-224.86500630152943
DDO047,pending_freshness_and_host_audit,115.4808,16.8025,1.0006708321550368,201.11042066392739,201.2035494635533
UGC04115,pending_freshness_and_host_audit,119.259,14.3898,1.000745837772388,223.59653905341392,223.657829206637
dw0814p1502,pending_freshness_and_host_audit,123.6916,15.0449,1.0008082462267944,242.30612299992734,242.33835654793458
UGC05086,pending_freshness_and_host_audit,143.2033,21.4657,1.0009806362621267,293.98735542690883,293.92722234455135
LV J0913+1937,pending_freshness_and_host_audit,138.4125,19.6188,1.0009536914011177,285.90948931453124,285.8649649659209
LSBC D565-09,pending_freshness_and_host_audit,143.3068,20.5153,1.000990438854547,296.9260987033409,296.8601794575443
LSBC D634-03,pending_freshness_and_host_audit,137.2239,14.5839,1.0009814537865565,294.2324430851661,294.1718296393746
dw0930p2143,pending_freshness_and_host_audit,142.6665,21.7236,1.0009736506464721,291.8931205391737,291.83707579196545
KDG056,pending_freshness_and_host_audit,142.554,19.9914,1.0009888458788132,296.4485365925808,296.3835615395095
SexB,pending_freshness_and_host_audit,150.0004,5.3317,1.001146644141191,343.75526553892564,343.5893933843194
UGC05797,exclude_from_fresh_sample,159.855,1.7182,1.0012080410714614,362.161602178379,361.9524513615365
dw1009m0210,pending_freshness_and_host_audit,152.3848,-2.1828,1.0011851424126592,355.2967569711556,355.1040107574394
LV J1017+2922,pending_freshness_and_host_audit,154.3598,29.3699,1.0009643273432862,289.09806456038564,289.0474308296143
dw1046p1219,pending_freshness_and_host_audit,161.6721,12.327,1.0011578883478798,347.1261939004372,346.95256417943654
AGC208399,pending_freshness_and_host_audit,160.0435,4.9082,1.0011963817795164,358.66623438764157,358.46547543456865
dw1046p1244,exclude_from_fresh_sample,161.7204,12.7416,1.0011550262388904,346.2681552114515,346.09650727470506
dw1046p1247,pending_freshness_and_host_audit,161.7273,12.7887,1.001154700378712,346.17046478760574,345.9990421728727
LV J1030+0607,pending_freshness_and_host_audit,157.6845,6.1261,1.0011828065544708,354.596484303307,354.4053938907942
LV J1000+3032,pending_freshness_and_host_audit,150.1524,30.536,1.0009285997742046,278.38720880703113,278.3568293285026
AGC202456,pending_freshness_and_host_audit,163.0811,11.0434,1.00116957661047,350.63024687211384,350.44847314508104
dw1138p0036,pending_freshness_and_host_audit,174.5726,0.6135,1.001215395330968,364.36635371259854,364.15186784294315
KKSG20,pending_freshness_and_host_audit,166.1675,0.0583,1.0012245355921272,367.10653507230086,366.8853734845305
AGC740112,pending_freshness_and_host_audit,162.4811,23.0688,1.0010634333477755,318.8092972487792,318.6984852620141
NGC4592,exclude_from_fresh_sample,189.8282,-0.5316,1.0011381482109485,341.2082497285492,341.04818895275355
KKH86,pending_freshness_and_host_audit,208.6397,4.2446,1.0009148853257264,274.2757205876381,274.25291323210166
dw1232p0015,pending_freshness_and_host_audit,188.1505,0.2626,1.0011490194928754,344.4673780590238,344.2998734033873
dw1422m0153,pending_freshness_and_host_audit,215.5505,-1.8913,1.0008299734442476,248.8197789257207,248.84134982380957
