z,universal_static_redshift,conformal_material_expansion_redshift,current_geometric_distance_Mpc,static_transport_DL_Mpc,metric_coasting_DL_Mpc,static_transport_DA_Mpc,metric_coasting_DA_Mpc
0.1,0.0,0.10000000000000009,377.96331850168065,416.23858632491005,416.23858632491005,378.39871484082727,343.9988316734793
0.5,0.0,0.5,1607.9178332454524,2462.457293997843,2462.457293997843,1641.638195998562,1094.4254639990413
1.0,0.0,1.0,2748.753691498466,5838.507922295838,5838.507922295838,2919.253961147919,1459.6269805739596
2.0,0.0,2.0,4356.671524743918,15163.56566693322,15163.56566693322,5054.52188897774,1684.8406296592466
