grid,L,R_kpc,T,T_Myr,cohort_ever_entered,continuous_ever_entered,continuous_inside,cohort_entry_after_turn
coarse,64,1.0,0.05,48.889611084,0.2333601307918074,0.20284150552145477,0.0017768551557124919,0.0
coarse,64,1.0,0.1,97.779222168,0.30984791029329894,0.23317339136732676,0.0022623187994841565,0.07648777950149152
coarse,64,1.0,0.25,244.44805542,0.7666398692081928,0.3585987157030573,0.0020576553217345065,0.5332797384163853
coarse,64,3.0,0.05,48.889611084,0.0,0.0,0.0,0.0
coarse,64,3.0,0.1,97.779222168,0.21578324304504667,0.05808608037183513,0.0011497309057207257,0.21578324304504667
coarse,64,3.0,0.25,244.44805542,0.21578324304504667,0.15270437797576206,0.0004598923622882903,0.21578324304504667
fine,64,1.0,0.05,48.889611084,0.5005364690457909,0.29867705352481644,0.005418403913655479,0.22349413884797092
fine,64,1.0,0.1,97.779222168,0.6811502553714768,0.42493730730195645,0.005517797743091972,0.40410792517365696
fine,64,1.0,0.25,244.44805542,0.862086329348139,0.6361438813986878,0.0051421201978317736,0.585043999150319
fine,64,3.0,0.05,48.889611084,0.08921546188660061,0.055146169950333196,0.0004683633568657368,0.0
fine,64,3.0,0.1,97.779222168,0.08921546188660061,0.0721808159184669,0.0005819428048612811,0.0
fine,64,3.0,0.25,244.44805542,0.1919138565264077,0.09681703165768794,0.0004663633582003348,0.10269839463980705
fine,40,1.0,0.05,48.889611084,0.5005356817694285,0.29867750943649696,0.005417955860124201,0.22349409521078814
fine,40,1.0,0.1,97.779222168,0.6811500932316518,0.4249380369669442,0.00551686820389413,0.40410850667301124
fine,40,1.0,0.25,244.44805542,0.8620867964483118,0.6361451047896121,0.005141351384805723,0.5850452098896712
fine,40,3.0,0.05,48.889611084,0.08921377899702584,0.05514560017846564,0.0004681691817589668,0.0
fine,40,3.0,0.1,97.779222168,0.08921377899702584,0.07217968958774573,0.0005813679332816635,0.0
fine,40,3.0,0.25,244.44805542,0.19190873927070626,0.09681385559210262,0.00046628640007282995,0.10269496027368044
