R,p,C,kappa0,B,shells,mass,central_depth,capture_fraction,energy_ledger_error,chord_mass_error,vc2_r1,vc2_r3,vc2_r10,numerical_gate_passed,max_relative_change
30.0,4,1.0,0.1,10.0,256,20987.85044593017,876.8318695267274,0.7422933651873836,0.0,0.0,0.23465894731566012,1.8039572297609079,20.9544963897367,True,0.001803505661612359
30.0,4,1.0,10.0,0.1,512,212.64521995119475,7.693739725906837,0.7520786195576882,3.417721968822031e-15,4.2770521810068e-15,0.019288281632990217,0.07873399622544225,0.16734802746727187,True,0.0070620475814267
30.0,4,1.0,1000.0,0.001,1024,1.3619806957483247,0.07963641308237673,0.481702133609077,0.0,0.0,4.1576682424309507e-17,6.356181300966368e-06,0.010701181665024208,False,0.03834857762334343
30.0,6,1.0,0.1,10.0,256,0.23155059711817388,0.16033109656399952,8.189427134941632e-06,1.2866718000271175e-16,1.1986829643744607e-16,0.0423202349498484,0.056335261044360006,0.0226974358619756,True,0.0012657997907877805
30.0,6,1.0,10.0,0.1,256,0.21303219017455735,0.14296764805098577,0.0007534472467549667,2.010424687542371e-16,2.605763532063972e-16,0.03642092294457762,0.051069273714588616,0.02086385280291619,True,0.001197483469755456
30.0,6,1.0,1000.0,0.001,512,0.04949778671950874,0.014847028404509752,0.017506260952262636,1.5706442871424774e-16,1.4018594292363333e-16,7.938379662888822e-05,0.005848135194115883,0.004664134056394796,True,0.0031132841164536185
30.0,6,100.0,0.1,1000.0,256,2605486.206950112,108196.88581332295,0.9215022422085851,0.0,0.0,20.671131331382313,186.75053340556903,2403.2085274720566,True,0.0018537313418542922
30.0,6,100.0,10.0,10.0,512,27457.25934617389,926.2108472703434,0.9711018997110482,1.2223382100257616e-14,1.2719622198180937e-14,0.15908813375691763,0.4193358887790694,0.5319540650700573,True,0.009856548065961812
30.0,6,100.0,1000.0,0.1,512,247.74812323443052,8.679638814365994,0.8762297434333258,2.985480661000421e-13,3.4094837661890984e-13,0.00020237892485270505,0.04009362054162042,0.14616088477001657,True,0.009080118984602814
100.0,4,1.0,0.1,10.0,256,252790.96163691932,2721.445985615132,0.8046586222693879,1.8528073920390493e-16,1.1513002786284422e-16,0.048848665710924444,0.153552016230691,0.2919148791072822,True,0.008141430077118761
100.0,4,1.0,10.0,0.1,1024,2416.095210328991,24.877265871258956,0.769066991409023,2.793686145808879e-14,3.613743820894882e-14,0.01784081283864427,0.06976776814363135,0.1223058321232249,True,0.005199180033861328
100.0,4,1.0,1000.0,0.001,1024,10.021729861369657,0.1769536184474429,0.3190015691537272,1.1308638867425837e-16,1.772505210150893e-16,3.6646181222792014e-17,5.439135838908101e-06,0.00782819929361764,False,0.048918396483520254
100.0,6,1.0,0.1,10.0,256,0.2317970292983781,0.16033394926756173,7.378328601370753e-07,1.8528073920390493e-16,0.0,0.04233550336949616,0.056312760842221164,0.02269894334072675,True,0.0013533773665770354
100.0,6,1.0,10.0,0.1,256,0.2132694002512169,0.14297176964299335,6.788575852045016e-05,0.0,1.3014326285409312e-16,0.03643413984100658,0.05104842398646189,0.020865400038211745,True,0.0011166395460637801
100.0,6,1.0,1000.0,0.001,512,0.049648934423262854,0.014851229165566603,0.0015803746665415284,0.0,2.795183415117176e-16,7.942050998076279e-05,0.005847326010543556,0.0046643447502310795,True,0.0003655074312065576
100.0,6,100.0,0.1,1000.0,256,30475132.61085852,327602.9179955042,0.9700535992798304,1.1857967309049915e-16,0.0,0.2929669943950054,0.9080024078737007,3.130316687038184,True,0.008242329701086293
100.0,6,100.0,10.0,10.0,1024,304988.48977252614,3069.1615668929467,0.9708085146685901,5.299029141231681e-14,5.439281781653844e-14,0.15880837666293912,0.41675744463942904,0.5016885350520451,True,0.005566828922994649
100.0,6,100.0,1000.0,0.1,1024,2704.333526212003,27.71256155649127,0.860816096931552,2.861863667812816e-12,3.324593578133771e-12,0.0002018793213947678,0.04002953167894686,0.14294522650666028,True,0.005402149587975691
