K,R,C,eta,time_matrix_determinant,local_radiation_speed,local_state_characteristic,state_energy_flux_speed_local,capture_depletes_state,forward_and_within_local_c,coincident,eigenvalue_error
0.05,0.01,0.001,1.0,0.803921568627451,1.0,1.2195121951219512,1.0,True,False,False,0.0
0.05,0.01,0.001,0.5,0.803921568627451,1.0,0.6097560975609756,0.5,True,True,False,0.0
0.05,0.01,0.01,1.0,0.8333333333333333,1.0,1.0000000000000002,1.0,True,True,True,1.1102230246251565e-16
0.05,0.01,0.01,0.5,0.8333333333333333,1.0,0.5000000000000001,0.5,True,True,False,5.551115123125783e-17
0.05,0.01,0.22,1.0,0.9629629629629629,1.0,0.19230769230769235,1.0,True,True,False,0.0
0.05,0.01,0.22,0.5,0.9629629629629629,1.0,0.09615384615384617,0.5,True,True,False,0.0
0.05,0.01,1.0,1.0,0.9904761904761905,1.0,0.04807692307692307,1.0,True,True,False,0.0
0.05,0.01,1.0,0.5,0.9904761904761905,1.0,0.024038461538461536,0.5,True,True,False,0.0
0.05,0.22,0.001,1.0,-3.313725490196078,1.0,-0.2958579881656805,1.0,False,False,False,0.0
0.05,0.22,0.001,0.5,-3.313725490196078,1.0,-0.14792899408284024,0.5,False,False,False,0.0
0.05,0.22,0.01,1.0,-2.666666666666667,1.0,-0.3125,1.0,False,False,False,0.0
0.05,0.22,0.01,0.5,-2.666666666666667,1.0,-0.15625,0.5,False,False,False,0.0
0.05,0.22,0.22,1.0,0.18518518518518512,1.0,1.0000000000000004,1.0,True,True,True,2.7755575615628914e-17
0.05,0.22,0.22,0.5,0.18518518518518512,1.0,0.5000000000000002,0.5,True,True,False,1.3877787807814457e-17
0.05,0.22,1.0,1.0,0.7904761904761904,1.0,0.06024096385542169,1.0,True,True,False,0.0
0.05,0.22,1.0,0.5,0.7904761904761904,1.0,0.030120481927710847,0.5,True,True,False,0.0
0.05,1.0,0.001,1.0,-18.6078431372549,1.0,-0.05268703898840886,1.0,False,False,False,6.938893903907228e-18
0.05,1.0,0.001,0.5,-18.6078431372549,1.0,-0.02634351949420443,0.5,False,False,False,3.469446951953614e-18
0.05,1.0,0.01,1.0,-15.666666666666668,1.0,-0.05319148936170213,1.0,False,False,False,0.0
0.05,1.0,0.01,0.5,-15.666666666666668,1.0,-0.026595744680851064,0.5,False,False,False,0.0
0.05,1.0,0.22,1.0,-2.703703703703704,1.0,-0.0684931506849315,1.0,False,False,False,0.0
0.05,1.0,0.22,0.5,-2.703703703703704,1.0,-0.03424657534246575,0.5,False,False,False,0.0
0.05,1.0,1.0,1.0,0.04761904761904767,1.0,0.9999999999999989,1.0,True,True,True,0.0
0.05,1.0,1.0,0.5,0.04761904761904767,1.0,0.49999999999999944,0.5,True,True,False,0.0
0.5,0.01,0.001,1.0,0.9800399201596807,1.0,1.0183299389002036,1.0,True,False,False,2.220446049250313e-16
0.5,0.01,0.001,0.5,0.9800399201596807,1.0,0.5091649694501018,0.5,True,True,False,1.1102230246251565e-16
0.5,0.01,0.01,1.0,0.9803921568627451,1.0,1.0,1.0,True,True,True,1.1102230246251565e-16
0.5,0.01,0.01,0.5,0.9803921568627451,1.0,0.5,0.5,True,True,False,5.551115123125783e-17
0.5,0.01,0.22,1.0,0.9861111111111112,1.0,0.7042253521126761,1.0,True,True,False,0.0
0.5,0.01,0.22,0.5,0.9861111111111112,1.0,0.35211267605633806,0.5,True,True,False,0.0
0.5,0.01,1.0,1.0,0.9933333333333333,1.0,0.33557046979865773,1.0,True,True,False,0.0
0.5,0.01,1.0,0.5,0.9933333333333333,1.0,0.16778523489932887,0.5,True,True,False,0.0
0.5,0.22,0.001,1.0,0.560878243512974,1.0,1.7793594306049825,1.0,True,False,False,2.220446049250313e-16
0.5,0.22,0.001,0.5,0.560878243512974,1.0,0.8896797153024912,0.5,True,True,False,1.1102230246251565e-16
0.5,0.22,0.01,1.0,0.5686274509803921,1.0,1.7241379310344829,1.0,True,False,False,2.220446049250313e-16
0.5,0.22,0.01,0.5,0.5686274509803921,1.0,0.8620689655172414,0.5,True,True,False,1.1102230246251565e-16
0.5,0.22,0.22,1.0,0.6944444444444444,1.0,1.0000000000000002,1.0,True,True,True,0.0
0.5,0.22,0.22,0.5,0.6944444444444444,1.0,0.5000000000000001,0.5,True,True,False,0.0
0.5,0.22,1.0,1.0,0.8533333333333333,1.0,0.39062500000000006,1.0,True,True,False,2.7755575615628914e-17
0.5,0.22,1.0,0.5,0.8533333333333333,1.0,0.19531250000000003,0.5,True,True,False,1.3877787807814457e-17
0.5,1.0,0.001,1.0,-0.996007984031936,1.0,-1.0020040080160322,1.0,False,False,False,0.0
0.5,1.0,0.001,0.5,-0.996007984031936,1.0,-0.5010020040080161,0.5,False,False,False,0.0
0.5,1.0,0.01,1.0,-0.9607843137254901,1.0,-1.0204081632653061,1.0,False,False,False,0.0
0.5,1.0,0.01,0.5,-0.9607843137254901,1.0,-0.5102040816326531,0.5,False,False,False,0.0
0.5,1.0,0.22,1.0,-0.38888888888888884,1.0,-1.7857142857142858,1.0,False,False,False,0.0
0.5,1.0,0.22,0.5,-0.38888888888888884,1.0,-0.8928571428571429,0.5,False,False,False,0.0
0.5,1.0,1.0,1.0,0.33333333333333337,1.0,1.0,1.0,True,True,True,0.0
0.5,1.0,1.0,0.5,0.33333333333333337,1.0,0.5,0.5,True,True,False,0.0
2.0,0.01,0.001,1.0,0.9950024987506247,1.0,1.0045203415369162,1.0,True,False,False,2.220446049250313e-16
2.0,0.01,0.001,0.5,0.9950024987506247,1.0,0.5022601707684581,0.5,True,True,False,1.1102230246251565e-16
2.0,0.01,0.01,1.0,0.9950248756218906,1.0,1.0000000000000002,1.0,True,True,True,2.220446049250313e-16
2.0,0.01,0.01,0.5,0.9950248756218906,1.0,0.5000000000000001,0.5,True,True,False,1.1102230246251565e-16
2.0,0.01,0.22,1.0,0.9954954954954955,1.0,0.9049773755656106,1.0,True,True,False,0.0
2.0,0.01,0.22,0.5,0.9954954954954955,1.0,0.4524886877828053,0.5,True,True,False,0.0
2.0,0.01,1.0,1.0,0.9966666666666667,1.0,0.6688963210702341,1.0,True,True,False,5.551115123125783e-17
2.0,0.01,1.0,0.5,0.9966666666666667,1.0,0.33444816053511706,0.5,True,True,False,2.7755575615628914e-17
2.0,0.22,0.001,1.0,0.8900549725137431,1.0,1.1229646266142617,1.0,True,False,False,0.0
2.0,0.22,0.001,0.5,0.8900549725137431,1.0,0.5614823133071308,0.5,True,True,False,0.0
2.0,0.22,0.01,1.0,0.890547263681592,1.0,1.11731843575419,1.0,True,False,False,0.0
2.0,0.22,0.01,0.5,0.890547263681592,1.0,0.558659217877095,0.5,True,True,False,0.0
2.0,0.22,0.22,1.0,0.9009009009009009,1.0,1.0,1.0,True,True,True,2.220446049250313e-16
2.0,0.22,0.22,0.5,0.9009009009009009,1.0,0.5,0.5,True,True,False,1.1102230246251565e-16
2.0,0.22,1.0,1.0,0.9266666666666666,1.0,0.7194244604316548,1.0,True,True,False,5.551115123125783e-17
2.0,0.22,1.0,0.5,0.9266666666666666,1.0,0.3597122302158274,0.5,True,True,False,2.7755575615628914e-17
2.0,1.0,0.001,1.0,0.5002498750624688,1.0,1.9980019980019983,1.0,True,False,False,0.0
2.0,1.0,0.001,0.5,0.5002498750624688,1.0,0.9990009990009991,0.5,True,True,False,0.0
2.0,1.0,0.01,1.0,0.5024875621890547,1.0,1.9801980198019806,1.0,True,False,False,0.0
2.0,1.0,0.01,0.5,0.5024875621890547,1.0,0.9900990099009903,0.5,True,True,False,0.0
2.0,1.0,0.22,1.0,0.5495495495495496,1.0,1.6393442622950818,1.0,True,False,False,0.0
2.0,1.0,0.22,0.5,0.5495495495495496,1.0,0.8196721311475409,0.5,True,True,False,0.0
2.0,1.0,1.0,1.0,0.6666666666666667,1.0,1.0,1.0,True,True,True,0.0
2.0,1.0,1.0,0.5,0.6666666666666667,1.0,0.5,0.5,True,True,False,0.0
