designation,ra,dec,jdate,err_maj,err_min,err_ang
18493586+0451122,282.399447,4.853392,2451398.6715,0.06,0.06,90
18212649-3845494,275.360397,-38.763748,2451700.6169,0.06,0.06,90
18212869-1120210,275.369558,-11.339173,2451295.8440,0.06,0.06,0
18234459-1111149,275.935827,-11.187483,2451295.8793,0.06,0.06,90
18005294-2900336,270.220588,-29.009348,2451364.6670,0.06,0.06,90
18014521-2653200,270.438394,-26.888891,2451364.6752,0.06,0.06,45
18031440-2540028,270.810008,-25.667463,2450891.8879,0.06,0.06,90
18045201-2611028,271.216748,-26.184122,2450891.9039,0.06,0.06,90
18022179-0828216,270.590811,-8.472685,2451294.7841,0.11,0.06,0
18064132-2038047,271.672192,-20.634653,2451366.5644,0.06,0.06,90
17440011-3354014,266.000460,-33.900391,2451039.5831,0.06,0.06,45
19264425+1805333,291.684391,18.092592,2450614.9608,0.06,0.06,90
17531862-1821145,268.327586,-18.354044,2450951.8660,0.07,0.06,0
17374204-3311559,264.425185,-33.198868,2451039.5221,0.06,0.06,45
17440538-2559257,266.022438,-25.990499,2450996.7544,0.06,0.06,45
17461408-3219346,266.558667,-32.326283,2451039.6084,0.06,0.06,90
17481753-2650242,267.073072,-26.840069,2451010.6142,0.06,0.06,90
17482785-3211563,267.116071,-32.198982,2451039.6277,0.06,0.06,90
17514818-2800361,267.950775,-28.010036,2451010.6499,0.06,0.06,90
18514300-2955037,282.929177,-29.917698,2451006.6974,0.06,0.06,73
19134347-2234162,288.431150,-22.571184,2450989.6576,0.06,0.06,0
17484479-2336366,267.186638,-23.610191,2450950.8585,0.06,0.06,0
17515112-2326276,267.963015,-23.441002,2451818.5119,0.06,0.06,90
17524553-2455483,268.189726,-24.930086,2451010.6619,0.06,0.06,45
17524943-2926329,268.205998,-29.442497,2451010.6586,0.06,0.06,45
17532357-2426385,268.348226,-24.444040,2451010.6634,0.06,0.06,45
17535807-2930049,268.491974,-29.501362,2451010.6682,0.06,0.06,90
17570126-2949449,269.255260,-29.829149,2451010.7042,0.06,0.06,90
17583309-2640428,269.637906,-26.678568,2451010.7208,0.06,0.06,90
20350874+4026526,308.786448,40.447964,2450989.8102,0.08,0.06,0
18160358-1148443,274.014945,-11.812321,2451295.7873,0.07,0.06,0
18225874-1229045,275.744772,-12.484590,2451300.9300,0.07,0.07,90
19000939-0657553,285.039135,-6.965382,2451301.8740,0.06,0.06,90
19014485+4259275,285.436899,42.990990,2451455.6629,0.06,0.06,90
18213338-2010068,275.389104,-20.168564,2451339.7134,0.06,0.06,90
18471218-1349526,281.800759,-13.831294,2450937.8941,0.06,0.06,90
