designation,ra,dec,jdate,err_maj,err_min,err_ang
17163952-2849222,259.164680,-28.822859,2451006.5585,0.06,0.06,90
17180475-2739357,259.519794,-27.659920,2451006.5711,0.06,0.06,90
17330671-3322383,263.277997,-33.377323,2451039.4761,0.06,0.06,90
17332273-3328091,263.344722,-33.469219,2451039.4760,0.06,0.06,45
17335435-2414268,263.476472,-24.240799,2450996.6508,0.06,0.06,90
17343508-3401219,263.646171,-34.022774,2451039.4918,0.06,0.06,90
16103970-2443561,242.665437,-24.732277,2450997.6166,0.06,0.06,0
15424298-5511265,235.679117,-55.190712,2451391.4890,0.06,0.06,90
12213790-6554452,185.407932,-65.912560,2451588.8591,0.07,0.06,90
12225183-6238434,185.715984,-62.645405,2451588.8729,0.06,0.06,90
12241237-6234579,186.051567,-62.582760,2451656.5184,0.07,0.06,0
12244816-6240494,186.200678,-62.680412,2451656.5184,0.07,0.06,0
12252935-6215168,186.372332,-62.254681,2451656.5225,0.06,0.06,90
13533456-6123431,208.394035,-61.395306,2451666.6230,0.06,0.06,90
14121514-6810293,213.063104,-68.174812,2451634.7279,0.06,0.06,90
14164259-6650474,214.177487,-66.846519,2451634.7483,0.06,0.06,0
16010213-3611058,240.258897,-36.184959,2451373.5276,0.06,0.06,90
17173876-3119102,259.411511,-31.319527,2451035.4992,0.06,0.06,45
17255463-3246075,261.477649,-32.768772,2451035.5844,0.06,0.06,45
17062950-4217018,256.622921,-42.283836,2451403.5396,0.07,0.06,90
17123526-4205316,258.146930,-42.092129,2451608.9044,0.07,0.07,0
17160062-4822464,259.002586,-48.379581,2451742.4827,0.06,0.06,90
17320774-4448381,263.032260,-44.810608,2451374.7167,0.06,0.06,45
17361721-4447215,264.071722,-44.789330,2451379.5229,0.06,0.06,90
15483848-4944191,237.160371,-49.738644,2451341.6640,0.06,0.06,90
16221702-4111403,245.570950,-41.194546,2451363.5860,0.06,0.06,90
16440544-4456583,251.022690,-44.949528,2451318.8297,0.06,0.06,45
16525590-3943187,253.232927,-39.721886,2451309.7269,0.06,0.06,90
16532664-4043086,253.361001,-40.719074,2451309.7374,0.06,0.06,90
16535703-3950377,253.487626,-39.843830,2451309.7443,0.06,0.06,90
17252397-2543156,261.349888,-25.721008,2451006.6545,0.06,0.06,90
17320467-2408124,263.019474,-24.136778,2450996.6244,0.06,0.06,0
17341671-3905419,263.569636,-39.094975,2451730.5173,0.06,0.06,90
08372116-8537442,129.338205,-85.628967,2451546.6445,0.08,0.08,90
15415825-4015528,235.492733,-40.264690,2451312.7551,0.06,0.06,90
16253943+2331386,246.414307,23.527403,2451604.9675,0.07,0.07,90
