designation,ra,dec,jdate,err_maj,err_min,err_ang,j_m,h_m,k_m
15481144-5021574,237.047689,-50.365971,2451341.6604,0.06,0.06,90,13.474,12.646,12.393
16235962-4157043,245.998433,-41.951202,2451606.8754,0.06,0.06,90,13.083,12.254,12.049
16425930-4526008,250.747084,-45.433567,2451318.8131,0.06,0.06,90,12.839,11.277,10.592
16435627-4535380,250.984494,-45.593899,2451318.8293,0.06,0.06,45,14.139,11.540,10.258
16435676-4540038,250.986503,-45.667728,2451318.8292,0.06,0.06,45,14.155,12.542,11.833
16440731-4543596,251.030459,-45.733234,2451318.8292,0.06,0.06,90,14.072,12.522,11.890
16441574-4436344,251.065601,-44.609570,2451318.8300,0.06,0.06,90,14.375,12.523,11.717
16441730-4442341,251.072104,-44.709473,2451318.8299,0.06,0.06,90,12.823,10.950,10.118
16451016-4443001,251.292344,-44.716698,2451318.8396,0.06,0.06,90,13.738,11.457,10.434
16453225-4452301,251.384396,-44.875050,2451318.8395,0.06,0.06,90,14.547,12.772,11.936
16453807-4515514,251.408661,-45.264278,2451318.8392,0.06,0.06,45,15.394,12.631,11.417
16453857-4440124,251.410713,-44.670116,2451318.8397,0.06,0.06,45,14.723,12.739,11.895
16461607-4523283,251.566996,-45.391216,2451318.8447,0.06,0.06,90,13.148,10.807,9.764
16225221-2324379,245.717577,-23.410528,2451297.6838,0.42,0.39,0,12.178,10.960,10.451
04380185+2858072,69.507745,28.968687,2451138.7530,0.49,0.09,90,11.292,10.624,10.428
00231829-7209398,5.826238,-72.161057,2451033.8757,0.07,0.06,11,10.913,10.374,10.126
04160401-6736114,64.016716,-67.603180,2451109.8681,0.08,0.06,0,8.330,7.812,7.702
05150139-6153216,78.755830,-61.889347,2451592.5721,0.06,0.06,90,13.620,12.893,12.664
05535585-6614152,88.482745,-66.237556,2451111.8397,0.18,0.09,0,9.390,8.774,8.627
10561653-6128055,164.068876,-61.468212,2451566.7303,0.06,0.06,90,12.261,11.627,11.230
11112524-6128593,167.855193,-61.483150,2451566.8214,0.13,0.13,90,10.446,9.539,9.043
11481893-6256153,177.078887,-62.937611,2451584.8174,0.06,0.06,90,13.029,12.068,11.689
12190965-6255438,184.790210,-62.928841,2451588.8468,0.06,0.06,45,14.628,12.720,11.951
12200153-6314092,185.006395,-63.235909,2451588.8514,0.06,0.06,0,13.409,12.438,12.118
12204039-6220211,185.168321,-62.339203,2451588.8560,0.06,0.06,90,14.012,11.893,10.955
12233023-6242062,185.875973,-62.701740,2451588.8781,0.06,0.06,90,13.920,11.836,10.951
12234529-6231378,185.938748,-62.527180,2451588.8783,0.06,0.06,90,14.457,12.625,11.868
12244731-6306172,186.197135,-63.104794,2451656.5181,0.07,0.06,0,13.070,11.312,10.545
12254477-6307346,186.436579,-63.126278,2451656.5232,0.06,0.06,90,12.589,11.446,11.054
12280365-6233563,187.015223,-62.565651,2451656.5379,0.07,0.06,0,12.905,11.568,10.967
12284228-6241323,187.176208,-62.692333,2451656.5378,0.07,0.06,0,13.837,11.613,10.588
12290810-6320531,187.283760,-63.348095,2451656.5428,0.06,0.06,0,13.855,12.218,11.555
12303867-6230222,187.661154,-62.506176,2451656.5476,0.06,0.06,90,13.995,12.255,11.550
13542748-6126453,208.614518,-61.445927,2451615.7829,0.06,0.06,17,14.557,12.771,11.952
13550768-6157557,208.782000,-61.965485,2451615.7833,0.06,0.06,0,14.700,12.747,11.885
13561069-6115380,209.044564,-61.260571,2451595.7441,0.08,0.06,0,15.049,12.502,11.425
13561151-6104427,209.047980,-61.078552,2451595.7442,0.08,0.06,0,13.788,12.112,11.379
13565213-6121361,209.217221,-61.360035,2451595.7465,0.06,0.06,90,14.278,12.723,12.157
13570021-6107474,209.250901,-61.129841,2451595.7464,0.06,0.06,90,14.821,12.327,11.243
13570765-6141566,209.281879,-61.699066,2451595.7468,0.06,0.06,90,14.347,12.110,10.999
13582623-6206490,209.609305,-62.113613,2451595.7568,0.07,0.06,0,14.283,12.287,11.416
13582901-6129088,209.620881,-61.485779,2451595.7563,0.07,0.06,0,14.636,12.404,11.390
13583085-6144596,209.628553,-61.749897,2451595.7565,0.07,0.06,0,13.682,12.126,11.399
14000661-6057302,210.027583,-60.958389,2451595.7637,0.07,0.06,0,14.548,12.787,12.181
14042329-6132480,211.097052,-61.546684,2451595.7923,0.07,0.06,0,13.610,11.762,11.040
13275447-4807526,201.976963,-48.131294,2450947.6882,0.08,0.06,0,9.469,8.919,8.649
13363626-1351428,204.151122,-13.861893,2450891.8484,0.61,0.20,90,12.302,11.753,11.604
14005512-6200539,210.229684,-62.014980,2451595.7664,0.07,0.06,0,14.269,12.440,11.690
02393285-3417028,39.886908,-34.284138,2451147.6305,0.06,0.06,45,14.470,13.761,13.590
15331805+1010338,233.325219,10.176080,2451645.8171,0.33,0.06,90,11.526,10.941,10.852
