designation,ra,dec,jdate,err_maj,err_min,err_ang,j_m,h_m,k_m
17421548-2859080,265.564519,-28.985573,2451364.6015,0.06,0.06,45,13.679,11.206,10.065
17430781-2847565,265.782568,-28.799038,2450996.7468,0.06,0.06,45,13.856,11.120,9.895
17431855-2840426,265.827321,-28.678503,2450996.7467,0.13,0.09,135,11.334,10.489,10.319
17433967-2908204,265.915311,-29.139000,2450996.7486,0.06,0.06,45,14.025,11.334,10.155
17465285-2937311,266.720242,-29.625322,2451825.5010,0.06,0.06,90,13.845,11.218,9.955
17471379-2940075,266.807467,-29.668755,2451010.6024,0.07,0.06,0,13.052,10.498,9.310
17472086-2919084,266.836930,-29.319014,2451010.6026,0.06,0.06,45,13.949,11.063,9.681
17473220-2942431,266.884201,-29.711975,2451010.6023,0.07,0.06,5,14.585,12.379,11.356
17480828-2917418,267.034508,-29.294956,2451010.6110,0.11,0.11,90,13.500,11.403,9.619
17481975-2941196,267.082314,-29.688780,2451010.6121,0.06,0.06,0,13.276,11.218,10.399
17483121-2351535,267.130081,-23.864870,2451034.6606,0.06,0.06,90,13.587,12.674,12.493
17484921-2859266,267.205076,-28.990740,2451010.6205,0.06,0.06,90,14.055,11.555,10.381
16561178-3921257,254.049103,-39.357162,2451309.7633,0.06,0.06,90,13.090,11.660,11.130
17005404-4121210,255.225178,-41.355854,2451309.8106,0.06,0.06,90,14.745,12.331,11.159
17035342-4107028,255.972612,-41.117447,2451309.8391,0.06,0.06,90,13.027,11.221,10.445
17044599-4202093,256.191664,-42.035938,2451403.5301,0.07,0.06,7,14.218,12.673,11.925
17070270-4153231,256.761263,-41.889767,2451599.8845,0.06,0.06,90,14.987,12.753,11.617
17104185-4211206,257.674393,-42.189056,2451608.8858,0.06,0.06,90,13.592,12.496,12.135
16463184-4452343,251.632668,-44.876209,2451318.8492,0.06,0.06,45,13.766,12.478,11.932
16465504-4548387,251.729370,-45.810776,2451318.8485,0.06,0.06,45,13.851,11.371,10.188
16470224-4456441,251.759369,-44.945599,2451318.8540,0.06,0.06,45,14.113,12.754,12.208
17452907-3227078,266.371138,-32.452179,2451039.6043,0.06,0.06,90,12.501,10.738,10.029
17313565-3130506,262.898550,-31.514076,2451035.6390,0.06,0.06,90,12.870,11.469,10.891
17314168-3316357,262.923669,-33.276585,2451035.6403,0.06,0.06,90,13.414,11.076,10.033
17324863-3216068,263.202643,-32.268562,2451039.4711,0.11,0.11,135,13.385,10.760,9.797
17330584-3323420,263.274363,-33.395004,2451039.4761,0.06,0.06,45,12.420,10.821,10.248
17331223-3324447,263.300983,-33.412437,2451039.4761,0.06,0.06,90,11.713,9.848,9.030
17333548-3329580,263.397858,-33.499470,2451039.4817,0.06,0.06,45,14.185,12.283,11.529
17333632-3316051,263.401361,-33.268085,2451039.4815,0.06,0.06,90,14.222,12.459,11.663
17333941-3323590,263.414235,-33.399727,2451039.4816,0.06,0.06,90,12.656,10.880,10.161
17334569-3321182,263.440396,-33.355061,2451039.4816,0.06,0.06,90,12.311,10.673,9.987
17335892-3322300,263.495519,-33.375000,2451039.4858,0.06,0.06,90,13.038,11.019,10.162
17343899-3349574,263.662482,-33.832626,2451039.4917,0.06,0.06,45,14.695,11.796,10.449
17345404-3247352,263.725185,-32.793125,2451039.4909,0.06,0.06,45,13.418,10.934,9.884
17350328-3245149,263.763701,-32.754150,2451039.4909,0.11,0.11,45,13.650,10.978,9.783
17351826-3302485,263.826123,-33.046818,2451039.4958,0.06,0.06,90,12.613,10.357,9.356
17353316-3239126,263.888202,-32.653511,2451039.4961,0.06,0.06,45,13.546,11.099,9.977
17353813-3353292,263.908915,-33.891468,2451039.5014,0.06,0.06,90,13.370,11.328,10.501
17365919-3058095,264.246630,-30.969309,2451039.5160,0.06,0.06,45,12.873,10.835,9.869
17370285-3255301,264.261895,-32.925037,2451039.5175,0.06,0.06,90,13.433,10.708,9.407
17372556-3310225,264.356524,-33.172920,2451039.5221,0.06,0.06,90,13.528,11.743,10.962
17383775-3008485,264.657300,-30.146833,2451039.5341,0.06,0.06,0,12.570,10.713,9.874
17433070-2837268,265.877953,-28.624117,2450996.7490,0.06,0.06,90,13.761,11.337,10.223
17442890-2831375,266.120433,-28.527092,2450996.7588,0.06,0.06,45,14.208,11.538,10.450
17443071-2837274,266.127991,-28.624296,2450996.7587,0.06,0.06,45,14.301,11.471,10.151
17445104-2833203,266.212692,-28.555658,2450996.7587,0.06,0.06,45,13.606,11.352,10.375
17455283-2600364,266.470126,-26.010136,2451825.4884,0.06,0.06,90,11.448,10.435,10.103
17455450-3229040,266.477086,-32.484463,2451039.6085,0.06,0.06,45,12.589,10.847,10.167
17465905-2623332,266.746060,-26.392576,2451825.4986,0.06,0.06,90,10.988,9.865,9.394
17483989-3218255,267.166247,-32.307102,2451039.6336,0.06,0.06,90,12.196,10.639,10.060
