designation,ra,dec,jdate,err_maj,err_min,err_ang,j_m,h_m,k_m
18211951-1305166,275.331296,-13.087959,2451300.9123,0.06,0.06,90,11.618,9.812,8.936
18270161-1214430,276.756713,-12.245291,2451401.5223,0.08,0.06,90,13.223,11.084,10.072
18281511-1150356,277.062973,-11.843248,2451729.7598,0.07,0.07,82,12.924,11.334,10.619
18305516-1332028,277.729836,-13.534137,2450936.8394,0.06,0.06,0,12.211,10.969,10.505
18152150-1937391,273.839611,-19.627539,2451323.7035,0.06,0.06,45,12.097,10.964,10.528
18161271-1930046,274.052991,-19.501293,2451323.7132,0.06,0.06,90,12.849,10.373,9.197
19222709+4323078,290.612890,43.385525,2450972.9403,0.08,0.08,0,10.097,9.641,9.306
19475427+3145132,296.976158,31.753687,2450934.9828,0.06,0.06,90,12.247,11.405,11.138
19110815+1104155,287.783962,11.070990,2451394.6127,0.06,0.06,90,13.073,11.809,11.216
18013880-2653102,270.411689,-26.886171,2451364.6752,0.06,0.06,45,12.387,11.479,10.882
19513447+2720329,297.893627,27.342497,2450917.9704,0.06,0.06,0,14.072,12.371,11.698
20285596+3853357,307.233168,38.893253,2450985.9284,0.07,0.06,0,14.721,12.025,10.805
19443722+2410427,296.155090,24.178532,2451668.9290,0.06,0.06,0,14.142,12.502,11.888
17493507-2855172,267.396146,-28.921446,2451010.6224,0.06,0.06,90,13.583,11.322,10.352
17525525-2422175,268.230212,-24.371550,2451010.6623,0.06,0.06,90,14.138,12.562,11.904
17535386-2402029,268.474430,-24.034163,2451010.6723,0.06,0.06,45,13.880,12.133,11.508
17542055-2527262,268.585664,-25.457300,2451010.6739,0.06,0.06,90,12.944,10.891,9.991
17544001-2512339,268.666721,-25.209433,2451010.6811,0.06,0.06,90,11.616,9.670,8.862
17545572-2512487,268.732203,-25.213551,2451010.6811,0.06,0.06,90,13.948,12.459,11.728
17554068-2555522,268.919539,-25.931190,2451010.6974,0.06,0.06,90,12.741,10.468,9.453
17563284-2352501,269.136857,-23.880604,2450978.7591,0.06,0.06,0,14.258,12.588,11.769
18041682-2006369,271.070118,-20.110262,2451300.7544,0.06,0.06,90,13.698,10.995,9.684
18052391-2028067,271.349659,-20.468552,2451300.7680,0.06,0.06,90,13.856,12.350,11.658
18053878-2023424,271.411620,-20.395119,2451300.7679,0.06,0.06,90,14.156,12.418,11.589
18060256-1957575,271.510690,-19.965994,2451366.5605,0.06,0.06,90,12.321,10.478,9.640
18061995-2035587,271.583155,-20.599661,2451366.5600,0.06,0.06,90,13.425,11.434,10.455
18070280-2037130,271.761676,-20.620298,2451366.5697,0.06,0.06,45,14.700,12.052,10.856
18072036-2009332,271.834837,-20.159239,2451366.5701,0.06,0.06,90,14.980,12.408,11.312
18081954-2039346,272.081435,-20.659622,2451034.6680,0.06,0.06,45,14.473,12.316,11.423
18153209-1825250,273.883732,-18.423626,2451323.7026,0.07,0.06,0,11.992,9.704,8.720
18251971-1128566,276.332158,-11.482398,2451729.7220,0.08,0.07,0,14.403,12.504,11.703
18251636-1049078,276.318186,-10.818855,2451729.7215,0.06,0.06,0,12.338,10.598,9.862
18254258-1124281,276.427421,-11.407827,2451729.7234,0.09,0.06,0,12.571,10.257,9.155
18255163-1115553,276.465143,-11.265362,2451729.7235,0.09,0.06,0,12.002,10.385,9.674
18260257-1114084,276.510739,-11.235680,2451729.7235,0.09,0.06,0,13.810,11.856,11.032
18271056-1114402,276.794001,-11.244517,2451729.7497,0.07,0.06,86,13.493,11.056,9.948
18272864-1119345,276.869340,-11.326276,2451729.7498,0.07,0.06,90,14.162,12.553,11.872
18294631-1119366,277.442989,-11.326853,2451297.8679,0.06,0.06,90,14.596,12.378,11.423
18394799-0357051,279.949985,-3.951428,2451093.5223,0.06,0.06,17,13.148,11.316,10.558
19105623-5954216,287.734302,-59.906010,2451477.5194,0.06,0.06,17,11.654,11.316,11.058
