R,T,layers,x,y,z,potential_per_GM,ax_per_GM,ay_per_GM,az_per_GM
1.0,0.05,256,0.1,0.0,0.0,-1.7992567076094212,-0.23694421272925253,-0.06259428237369907,0.0
1.0,0.05,256,1.0,0.0,0.0,-1.1056121232503022,-0.9011524785558835,-0.15086844554510742,0.0
1.0,0.05,256,1.0,0.0,1.0,-0.6990251729520668,-0.30835497348052576,-0.009299081055980646,-0.3629602419385735
1.0,0.05,256,0.0,1.0,1.0,-0.6897922866337357,-0.003525934071138185,-0.3119540494738765,-0.34039397288103673
1.0,0.05,256,3.0,0.0,0.0,-0.33669012059923387,-0.11450190796663773,-0.0006299912966589525,2.6469779601696886e-23
1.0,0.1,256,0.1,0.0,0.0,-1.7637496633073075,-0.239648602841036,-0.0333748730450871,0.0
1.0,0.1,256,1.0,0.0,0.0,-1.1218813251594053,-0.9291786812402181,-0.048627500772013874,0.0
1.0,0.1,256,1.0,0.0,1.0,-0.6987535645589626,-0.30426741667778556,0.0009388421090267042,-0.36929139147439854
1.0,0.1,256,0.0,1.0,1.0,-0.6883390272756265,0.0013858357784491202,-0.30454598210428235,-0.3436366808251818
1.0,0.1,256,3.0,0.0,0.0,-0.3370113745296587,-0.11484653763154798,0.00011816009216059915,0.0
1.0,0.25,256,0.1,0.0,0.0,-1.7983856676896313,-0.29006915721853616,-0.00567958913377355,2.168404344971009e-19
1.0,0.25,256,1.0,0.0,0.0,-1.1018958875008265,-1.0352561904615123,-0.01026240466497367,0.0
1.0,0.25,256,1.0,0.0,1.0,-0.6956333597517397,-0.3001377001406069,-0.00010944652606964878,-0.36458585918243525
1.0,0.25,256,0.0,1.0,1.0,-0.6898612589257382,-0.00037573239564105403,-0.3016390611226964,-0.35081574880495486
1.0,0.25,256,3.0,0.0,0.0,-0.3366121064436036,-0.1144263949535005,-2.972238772571055e-05,0.0
3.0,0.05,256,0.1,0.0,0.0,-0.6641433016852715,-0.042364697860121925,-0.009647784260636956,3.3881317890172014e-21
3.0,0.05,256,1.0,0.0,0.0,-0.5425195819557024,-0.13537030951579465,-0.0711828613411771,0.0
3.0,0.05,256,1.0,0.0,1.0,-0.461705225843018,-0.06481407538833892,-0.0104999252314894,-0.09675364216021531
3.0,0.05,256,0.0,1.0,1.0,-0.46403563865566005,-0.009249506686978009,-0.06483831576464172,-0.09664802134208433
3.0,0.05,256,3.0,0.0,0.0,-0.3608272373205732,-0.07558959915781958,-0.01929448838211716,0.0
3.0,0.1,256,0.1,0.0,0.0,-0.6437809397946752,-0.021033379917992607,-0.013980525325515532,-1.0842021724855044e-19
3.0,0.1,256,1.0,0.0,0.0,-0.5409532664262158,-0.13110391243706226,-0.025401817508406817,5.421010862427522e-20
3.0,0.1,256,1.0,0.0,1.0,-0.4585378428198745,-0.06424122789000233,0.0016377490042551047,-0.10103637263866924
3.0,0.1,256,0.0,1.0,1.0,-0.47040073895360857,-0.008874835501220287,-0.0497308252692628,-0.1001740744779634
3.0,0.1,256,3.0,0.0,0.0,-0.3548464878781561,-0.09381029825310624,-0.00353857752275589,0.0
3.0,0.25,256,0.1,0.0,0.0,-0.633696568159307,-0.023544369648218405,-0.010234473693257196,-5.421010862427522e-20
3.0,0.25,256,1.0,0.0,0.0,-0.5487759408397562,-0.11751360459652681,-0.019890336058209467,5.421010862427522e-20
3.0,0.25,256,1.0,0.0,1.0,-0.4670290994464491,-0.06237573107999958,-0.002203087330999925,-0.10017154547833423
3.0,0.25,256,0.0,1.0,1.0,-0.4696110999137604,-0.007875597421928057,-0.055584786214326415,-0.09272509332274698
3.0,0.25,256,3.0,0.0,0.0,-0.3530316411725162,-0.1084914162463948,-0.0035974650585128454,0.0
1.0,0.05,512,0.1,0.0,0.0,-1.7991408475106034,-0.2368282958961024,-0.06406044833321414,2.710505431213761e-20
1.0,0.05,512,1.0,0.0,0.0,-1.1055965766585025,-0.901672085350496,-0.1508703224474307,1.3552527156068805e-20
1.0,0.05,512,1.0,0.0,1.0,-0.6990219816874621,-0.3083472486949575,-0.00929968172406834,-0.3629569602319327
1.0,0.05,512,0.0,1.0,1.0,-0.6897910643821942,-0.003526228185106112,-0.31194871804638036,-0.340395665595962
1.0,0.05,512,3.0,0.0,0.0,-0.3366903370037211,-0.11450212671686047,-0.0006301081774159152,0.0
1.0,0.1,512,0.1,0.0,0.0,-1.763155944532024,-0.2379249486072778,-0.03400359924496327,0.0
1.0,0.1,512,1.0,0.0,0.0,-1.1218278784228644,-0.9310817923082255,-0.048231163475090336,0.0
1.0,0.1,512,1.0,0.0,1.0,-0.6987385478271015,-0.3042311373795251,0.0009381570484996297,-0.3692732653622258
1.0,0.1,512,0.0,1.0,1.0,-0.6883332518824521,0.0013850377409272351,-0.30452086302237596,-0.3436425049822335
1.0,0.1,512,3.0,0.0,0.0,-0.33701229324275755,-0.11484750970888906,0.00011808654014115071,0.0
1.0,0.25,512,0.1,0.0,0.0,-1.7944789996195678,-0.29133146477588884,-0.01153984459216014,0.0
1.0,0.25,512,1.0,0.0,0.0,-1.1016660727293197,-1.0310009039484438,-0.010356062946150983,1.0842021724855044e-19
1.0,0.25,512,1.0,0.0,1.0,-0.6955413190647762,-0.2999432178142602,-0.0001088463771394351,-0.36445064488672063
1.0,0.25,512,0.0,1.0,1.0,-0.6898362405661298,-0.00037691214037489815,-0.3015034765541464,-0.3508526695342328
1.0,0.25,512,3.0,0.0,0.0,-0.336614241530649,-0.11442875517391787,-3.005321250860478e-05,0.0
3.0,0.05,512,0.1,0.0,0.0,-0.6641406221332171,-0.042178448776761204,-0.009637270567078665,0.0
3.0,0.05,512,1.0,0.0,0.0,-0.5425081869415768,-0.1353267018943906,-0.07106570145657526,0.0
3.0,0.05,512,1.0,0.0,1.0,-0.461704068931341,-0.06480994813672261,-0.010497621891464515,-0.09675112922827407
3.0,0.05,512,0.0,1.0,1.0,-0.46403430214048424,-0.009246320299079822,-0.06483873485524272,-0.09666485617105657
3.0,0.05,512,3.0,0.0,0.0,-0.3608206670563062,-0.07601328442420102,-0.01929233036302462,0.0
