R,T,layers,x,y,z,potential_per_GM,ax_per_GM,ay_per_GM,az_per_GM
1.0,0.05,256,0.1,0.0,0.0,-1.819466092941988,-0.24293404714748223,-0.05309258803398362,0.0
1.0,0.05,256,1.0,0.0,0.0,-1.1069282401706886,-0.9157629250451522,-0.1533117787786916,-2.168404344971009e-19
1.0,0.05,256,1.0,0.0,1.0,-0.6991395361992888,-0.30874332030853646,-0.009067116136777256,-0.3632419238817992
1.0,0.05,256,0.0,1.0,1.0,-0.6899817315731799,-0.0035532308115608343,-0.3122386064867927,-0.3408313681964552
1.0,0.05,256,3.0,0.0,0.0,-0.3366617509187581,-0.1144724706673769,-0.0006250666037925775,1.0587911840678754e-22
1.0,0.1,256,0.1,0.0,0.0,-1.8127672884682053,-0.27179563676268814,-0.0029025183005979387,0.0
1.0,0.1,256,1.0,0.0,0.0,-1.125892773814337,-1.0011680893011152,-0.05439009067514865,0.0
1.0,0.1,256,1.0,0.0,1.0,-0.6982031418147454,-0.3032696755524043,0.0008330719322989755,-0.3683374708372711
1.0,0.1,256,0.0,1.0,1.0,-0.6886367318581582,0.001124950242239468,-0.3043995039200724,-0.3448640652945347
1.0,0.1,256,3.0,0.0,0.0,-0.33697515378958426,-0.114813984458148,9.920708333221523e-05,0.0
1.0,0.25,256,0.1,0.0,0.0,-1.9135096166011776,-0.39710317743766343,0.015830657720715686,-8.673617379884035e-19
1.0,0.25,256,1.0,0.0,0.0,-1.1010470919700919,-1.1266879269654584,-0.017460417880521807,0.0
1.0,0.25,256,1.0,0.0,1.0,-0.6952017585855946,-0.3013061173702022,-0.0006682963334409867,-0.3625268727921746
1.0,0.25,256,0.0,1.0,1.0,-0.6908139473605465,-0.0009084893183348603,-0.30274592448827065,-0.35207429732279794
1.0,0.25,256,3.0,0.0,0.0,-0.3363731056801931,-0.11419442634932914,-7.87528863710086e-05,0.0
3.0,0.05,256,0.1,0.0,0.0,-0.6724996996830902,-0.044747765071786655,-0.011243244462733806,1.3552527156068805e-20
3.0,0.05,256,1.0,0.0,0.0,-0.5453369974932747,-0.13758055993978296,-0.07131499613273964,0.0
3.0,0.05,256,1.0,0.0,1.0,-0.46415883707610545,-0.06555309158985517,-0.010406393628067872,-0.0976166672332636
3.0,0.05,256,0.0,1.0,1.0,-0.4665048863365649,-0.009142301417896573,-0.06537980788798303,-0.09787544698168085
3.0,0.05,256,3.0,0.0,0.0,-0.361590926907989,-0.10713100622787688,-0.016383417775723674,0.0
3.0,0.1,256,0.1,0.0,0.0,-0.6534844848476873,-0.052906231210013505,-0.022051720291328944,-1.0842021724855044e-19
3.0,0.1,256,1.0,0.0,0.0,-0.5496700472619482,-0.1381267644137817,-0.018859504685874863,0.0
3.0,0.1,256,1.0,0.0,1.0,-0.46281034333159166,-0.06491203012331723,0.0016166056257697061,-0.10402084711930082
3.0,0.1,256,0.0,1.0,1.0,-0.47481994728268745,-0.008861673764790258,-0.05139074832840714,-0.10354066883438795
3.0,0.1,256,3.0,0.0,0.0,-0.3526372026886089,-0.11813875127610378,-0.002002736349368553,0.0
