outer_kpc,p,bin,observed_training_proxy_kms,predicted_kms,residual_kms,role
100,3,7,237.00980517622764,227.7959756619744,-9.213829514253234,exposed training; not validation
100,3,8,236.48630952309938,234.15019442606632,-2.3361150970330584,exposed training; not validation
100,3,9,230.8513247241695,239.7593642126673,8.908039488497792,exposed training; not validation
100,3,10,223.0756248534913,247.1500777510045,24.074452897513197,exposed training; not validation
100,3,11,226.22388369891485,255.61534818203708,29.391464483122235,exposed training; not validation
200,2,0,242.02363428908103,199.36842419259358,-42.65521009648745,exposed training; not validation
200,2,1,236.55853057190697,202.34640647151264,-34.212124100394334,exposed training; not validation
200,2,2,235.62747355152325,205.26846852620784,-30.359005025315412,exposed training; not validation
200,2,3,231.0558613367288,208.75800829797694,-22.297853038751867,exposed training; not validation
200,2,4,228.067740156688,212.25885235217808,-15.808887804509908,exposed training; not validation
200,2,5,232.6478616303941,215.97698468349807,-16.670876946896016,exposed training; not validation
200,2,6,232.39570622478772,221.7645637758671,-10.631142448920627,exposed training; not validation
200,2,7,237.00980517622764,227.50692467525192,-9.50288050097572,exposed training; not validation
200,2,8,236.48630952309938,234.44888634180413,-2.037423181295253,exposed training; not validation
200,2,9,230.8513247241695,240.58430554912428,9.73298082495478,exposed training; not validation
200,2,10,223.0756248534913,248.67275835208932,25.597133498598026,exposed training; not validation
200,2,11,226.22388369891485,257.9396541741573,31.715770475242437,exposed training; not validation
200,3,0,242.02363428908103,200.26969876622425,-41.75393552285678,exposed training; not validation
200,3,1,236.55853057190697,203.29771089756127,-33.2608196743457,exposed training; not validation
200,3,2,235.62747355152325,206.22389091780695,-29.403582633716297,exposed training; not validation
200,3,3,231.0558613367288,209.6597352642651,-21.396126072463716,exposed training; not validation
200,3,4,228.067740156688,213.05982662970848,-15.007913526979507,exposed training; not validation
200,3,5,232.6478616303941,216.64411169591682,-16.00374993447727,exposed training; not validation
200,3,6,232.39570622478772,222.1977223453977,-10.197983879390023,exposed training; not validation
200,3,7,237.00980517622764,227.69518590262055,-9.314619273607093,exposed training; not validation
200,3,8,236.48630952309938,234.3356656403528,-2.1506438827465786,exposed training; not validation
200,3,9,230.8513247241695,240.204244034631,9.352919310461488,exposed training; not validation
200,3,10,223.0756248534913,247.94293968562346,24.867314832132166,exposed training; not validation
200,3,11,226.22388369891485,256.8133701548887,30.589486455973827,exposed training; not validation
