pgc,name,reason
2,UGC12889,missing_required_measurement
12,PGC000012,missing_required_measurement
94,UGC12905,missing_required_measurement
171,UGC12921,missing_required_measurement
181,ESO012-014,missing_required_measurement
293,PGC000293,missing_required_measurement
367,NGC7821,missing_required_measurement
393,UGC00039,missing_required_measurement
448,ESO409-018,missing_required_measurement
461,UGC00045,missing_required_measurement
462,ESO472-014,missing_required_measurement
527,UGC00054,missing_required_measurement
558,ESO538-022,missing_required_measurement
627,NGC0007,missing_required_measurement
634,NGC0010,missing_required_measurement
638,UGC00071,missing_required_measurement
676,UGC00085,missing_required_measurement
701,NGC24,missing_required_measurement
789,ESO349-038,missing_required_measurement
800,ESO293-045,missing_required_measurement
817,ESO409-026,missing_required_measurement
874,UGC00121,missing_required_measurement
906,PGC000906,missing_required_measurement
1014,NGC55,missing_required_measurement
1123,UGC00158,missing_required_measurement
1130,ESO539-005,missing_required_measurement
2943,PGC002943,missing_required_measurement
1172,ESO111-024,missing_required_measurement
1176,ESO294-002,missing_required_measurement
1198,UGC00171,missing_required_measurement
1202,UGC00175,missing_required_measurement
1226,UGC00178,missing_required_measurement
1264,UGC00183,missing_required_measurement
1315,UGC00196,missing_required_measurement
1325,ESO473-016,missing_required_measurement
1414,PGC001414,missing_required_measurement
1592,UGC00243,missing_required_measurement
1651,NGC0115,missing_required_measurement
1658,UGC00256,missing_required_measurement
1813,NGC0131,missing_required_measurement
1833,ESO410-013,missing_required_measurement
1851,NGC0134,missing_required_measurement
1861,UGC00303,missing_required_measurement
1879,ESO410-016,missing_required_measurement
1924,UGC00313,missing_required_measurement
1977,IC1553,missing_required_measurement
1979,PGC001979,missing_required_measurement
2001,PGC002001,missing_required_measurement
2052,NGC0150,missing_required_measurement
2071,IC1555,missing_required_measurement
2098,UGC00347,missing_required_measurement
2122,NGC0167,missing_required_measurement
2142,IC1558,missing_required_measurement
2143,NGC0166,missing_required_measurement
7159,UGC01390,missing_required_measurement
2199,ESO410-027,missing_required_measurement
2265,ESO411-002,missing_required_measurement
2280,PGC002280,missing_required_measurement
2352,NGC0192,declared_geometry_or_width_quality
2380,NGC0187,missing_required_measurement
2383,ESO351-001,missing_required_measurement
7182,NGC0726,missing_required_measurement
2436,UGC00392,missing_required_measurement
2437,NGC0210,missing_required_measurement
2445,ESO079-005,missing_required_measurement
2492,PGC002492,missing_required_measurement
2526,ESO540-016,missing_required_measurement
2593,UGC00460,missing_required_measurement
2611,ESO474-019,missing_required_measurement
2680,PGC002680,declared_geometry_or_width_quality
2704,UGC00475,missing_required_measurement
2758,NGC247,missing_required_measurement
2767,ESO013-001,missing_required_measurement
2789,NGC253,missing_required_measurement
2816,ESO411-018,missing_required_measurement
2856,NGC0263,missing_required_measurement
2897,ESO351-009,missing_required_measurement
2909,ESO295-010,missing_required_measurement
2976,ESO295-013,missing_required_measurement
3023,UGC00523,missing_required_measurement
3159,ESO474-039,missing_required_measurement
3165,ESO351-018,missing_required_measurement
3210,IC1599,missing_required_measurement
3218,UGC00549,missing_required_measurement
3238,NGC300,missing_required_measurement
3239,UGC00552,missing_required_measurement
3252,ESO541-001,missing_required_measurement
3289,PGC003289,missing_required_measurement
3296,PGC003296,missing_required_measurement
3335,PGC003335,missing_required_measurement
3363,UGC00576,missing_required_measurement
3526,ESO541-004,missing_required_measurement
3528,UGC00608,missing_required_measurement
3543,ESO541-005,missing_required_measurement
3554,ESO351-028,missing_required_measurement
