x,available_sites,finite_site_open,poisson_open,relative_difference
0.1,10,0.9052869546929833,0.9048374180359595,0.0004968148399515648
0.1,100,0.9048826308977861,0.9048374180359595,4.9967940013662115e-05
0.1,1000,0.9048419419327789,0.9048374180359595,4.999679201089791e-06
1.0,10,0.3855432894295314,0.36787944117144233,0.04801531774062151
1.0,100,0.3697112123291189,0.36787944117144233,0.004979270251807666
1.0,1000,0.36806330428881756,0.36787944117144233,0.0004997917708848831
3.0,10,0.0725381502864057,0.049787068367863944,0.45696769591733766
3.0,100,0.05203283985020896,0.049787068367863944,0.04510752602968271
3.0,1000,0.05001116593437633,0.049787068367863944,0.004501119946580978
10.0,10,0.0009765625,4.5399929762484854e-05,20.510220502740932
10.0,100,7.256571590148141e-05,4.5399929762484854e-05,0.5983662591796421
10.0,1000,4.77118457098449e-05,4.5399929762484854e-05,0.05092333753499423
