x,time_tau,n,open_count,simulated_open,predicted_open,standard_error,z
0.0,0.1,1000000,95171,0.095171,0.09516258196404043,0.0002934393718606583,0.02868747948239218
0.0,0.5,1000000,393210,0.39321,0.3934693402873666,0.000488519414702416,-0.5308699706941026
0.0,1.0,1000000,631386,0.631386,0.6321205588285577,0.0004822283255210437,-1.5232593974316595
0.0,3.0,1000000,949707,0.949707,0.950212931632136,0.00021750474981295831,-2.3260716493370976
0.0,5.0,1000000,993182,0.993182,0.9932620530009145,8.180798903116365e-05,-0.97854747271712
0.1,0.1,1000000,86088,0.086088,0.08610666495797771,0.00028052149152568023,-0.06653664172466422
0.1,0.5,1000000,357003,0.357003,0.35602578194193313,0.0004788229574013429,2.0408755323061833
0.1,1.0,1000000,572465,0.572465,0.57196633433788,0.0004947937415953929,1.007825322349676
0.1,3.0,1000000,859950,0.85995,0.8597882156424017,0.00034720662419495486,0.46595988188128956
0.1,5.0,1000000,898708,0.898708,0.8987406714704439,0.00030167180331495936,-0.1083013728327641
0.3,0.1,1000000,70387,0.070387,0.07049817464607856,0.00025598473004780883,-0.4343018665910027
0.3,0.5,1000000,291621,0.291621,0.29148925656449626,0.00045444831375193105,0.28989751203186603
0.3,1.0,1000000,468358,0.468358,0.4682864276477053,0.0004989932357544096,0.1434335120525342
0.3,3.0,1000000,704100,0.7041,0.7039350532804779,0.00045651998208565706,0.36131325241991963
0.3,5.0,1000000,736242,0.736242,0.7358266267748077,0.0004408920526659735,0.9421200102850197
1.0,0.1,1000000,35025,0.035025,0.03500835747336277,0.00018380090418814598,0.09054648947861069
1.0,0.5,1000000,144832,0.144832,0.1447492810230125,0.000351847874324023,0.23509869754484555
1.0,1.0,1000000,232531,0.232531,0.23254415793482963,0.0004224539886723886,-0.031146432942897196
1.0,3.0,1000000,350155,0.350155,0.34956380228270817,0.0004768322036276114,1.23984435781424
1.0,5.0,1000000,365760,0.36576,0.36540068899477596,0.0004815423402743719,0.7461670037556604
3.0,0.1,1000000,4757,0.004757,0.0047378659743061375,6.866890562922675e-05,0.27864177415576413
3.0,0.5,1000000,19812,0.019812,0.019589684945545444,0.00013858545807291512,1.6041730319034462
3.0,1.0,1000000,31594,0.031594,0.031471429479129766,0.00017458802537880406,0.7020557143268545
3.0,3.0,1000000,47293,0.047293,0.04730831619119759,0.00021229752568117995,-0.07214493503135841
3.0,5.0,1000000,49685,0.049685,0.049451605739961435,0.00021680900449404968,1.0764970789991817
5.0,0.1,1000000,586,0.000586,0.0006412004335698309,2.5313816298097384e-05,-2.180644471769349
5.0,0.5,1000000,2709,0.002709,0.0026511755606214,5.1421268253205925e-05,1.124523788364456
5.0,1.0,1000000,4315,0.004315,0.0042591948224191085,6.512337584833717e-05,0.85691469236567
5.0,3.0,1000000,6348,0.006348,0.006402484371182955,7.975896542119709e-05,-0.683112812399578
5.0,5.0,1000000,6646,0.006646,0.006692547069322982,8.15337775590453e-05,-0.5708930791201693
10.0,0.1,1000000,3,3e-06,4.320374537184144e-06,2.0785465767088315e-06,-0.6352393311651564
10.0,0.5,1000000,14,1.4e-05,1.7863480412737696e-05,4.226483326455369e-06,-0.9141123043250917
10.0,1.0,1000000,27,2.7e-05,2.8698228972239195e-05,5.356995929053246e-06,-0.3170114360231235
10.0,3.0,1000000,51,5.1e-05,4.3139600355503797e-05,6.5679326526986375e-06,1.1967844465132442
10.0,5.0,1000000,47,4.7e-05,4.509402744198303e-05,6.7150572574380996e-06,0.2838356375749094
