x,time_tau,blocker_cov,analytical_cov,covariance_error,blocker_normalized,reset_normalized
0.1,0.0,0.08610666495797781,0.0861066649579777,1.1102230246251565e-16,1.0000000000000004,1.0
0.1,0.1,0.07753683947112222,0.07753683947112147,7.494005416219807e-16,0.9004743071742723,0.9048374180359595
0.1,0.5,0.05119541603010391,0.05119541603010511,-1.2004286453759505e-15,0.594558110630444,0.6065306597126334
0.1,1.0,0.03068029362780955,0.030680293627812258,-2.706168622523819e-15,0.356305677879666,0.36787944117144233
0.1,3.0,0.0040863844118800285,0.004086384411899526,-1.9497424508241323e-14,0.04745723706607714,0.049787068367863944
1.0,0.0,0.23254415793482963,0.23254415793482963,0.0,1.0,1.0
1.0,0.1,0.19914993802683345,0.19914993802683345,0.0,0.8563962208100068,0.9048374180359595
1.0,0.5,0.11287739164941452,0.11287739164941418,3.3306690738754696e-16,0.48540196688599824,0.6065306597126334
1.0,1.0,0.06017925091597587,0.06017925091597544,4.3021142204224816e-16,0.25878633740109297,0.36787944117144233
1.0,3.0,0.006908496924741797,0.006908496924743072,-1.2750217548429532e-15,0.02970832286691072,0.049787068367863944
3.0,0.0,0.04730831619119759,0.04730831619119759,0.0,1.0,1.0
3.0,0.1,0.03494357587792285,0.03494357587792282,2.7755575615628914e-17,0.7386349523981709,0.9048374180359595
3.0,0.5,0.012813514553095387,0.012813514553095363,2.42861286636753e-17,0.27085120724460554,0.6065306597126334
3.0,1.0,0.004994973319066297,0.004994973319066274,2.2551405187698492e-17,0.10558340945551736,0.36787944117144233
3.0,3.0,0.00039930790399673706,0.0003993079039967009,3.615814245239157e-17,0.008440543569188247,0.049787068367863944
10.0,0.0,4.5397868608862414e-05,4.5397868608862414e-05,0.0,1.0,1.0
10.0,0.1,1.75274311742483e-05,1.7527431174248263e-05,3.7269449679189215e-20,0.38608489145736363,0.9048374180359595
10.0,0.5,8.855843308424266e-07,8.855843308424301e-07,-3.494010907423989e-21,0.01950717859625564,0.6065306597126334
10.0,1.0,7.95576970685738e-08,7.955769706857408e-08,-2.779326858178173e-22,0.001752454454503682,0.36787944117144233
10.0,3.0,1.3298859083117624e-09,1.329885908311789e-09,-2.6469779601696886e-23,2.9294016416712276e-05,0.049787068367863944
