r_start_L,rtol,r_L,blocker_open,reset_open,endpoint_product,blocker_mean
0.01,1e-09,1.0,1.157750883738151e-147,0.40727929897763054,0.574335659626289,337.86898815971495
0.01,1e-09,3.0,1.2921537580739557e-20,0.9018648921029825,0.9402627653813043,45.743795548662405
0.01,1e-09,5.0,0.0020254093521037183,0.9823259932355437,0.9896252640831021,6.195154521027116
0.01,1e-09,10.0,0.9579795975301525,0.9987413021239754,0.999054589923905,0.04288294092137496
0.01,1e-09,20.0,0.9997463353574171,0.9997482272225265,0.9997750232292015,0.0002536947390316281
0.01,1e-11,1.0,1.1577509443942768e-147,0.4072792989619499,0.574335659626289,337.8689881073236
0.01,1e-11,3.0,1.2921537673715996e-20,0.9018648921008786,0.9402627653813043,45.743795541467065
0.01,1e-11,5.0,0.0020254093540761,0.9823259932352748,0.9896252640831021,6.195154520053313
0.01,1e-11,10.0,0.9579795975364385,0.9987413021239738,0.999054589923905,0.04288294091481347
0.01,1e-11,20.0,0.9997463353574174,0.9997482272225267,0.9997750232292015,0.0002536947390313247
0.1,1e-09,1.0,0.010323310698119398,0.4072790582364439,0.5423544942491825,4.051515323385258
0.1,1e-09,3.0,0.5362749750560833,0.9018648595222021,0.9355741038799782,0.5665133130147071
0.1,1e-09,5.0,0.9152585538685168,0.9823259888262147,0.9889866486631185,0.08107423380319595
0.1,1e-09,10.0,0.9982647393699766,0.9987413020942656,0.9990502753333704,0.0016865919978708039
0.1,1e-09,20.0,0.9997482050000722,0.9997482272225252,0.9997750230331871,0.00025182442768402697
0.1,1e-11,1.0,0.010323310698699907,0.40727905821988053,0.5423544942491825,4.051515323329065
0.1,1e-11,3.0,0.5362749750604097,0.9018648595201694,0.9355741038799782,0.5665133130066401
0.1,1e-11,5.0,0.9152585538695159,0.9823259888259392,0.9889866486631185,0.08107423380210456
0.1,1e-11,10.0,0.9982647393699839,0.9987413020942638,0.9990502753333704,0.001686591997863455
0.1,1e-11,20.0,0.9997482050000722,0.9997482272225252,0.9997750230331871,0.0002518244276840267
0.3,1e-09,1.0,0.26856327406083585,0.3946472565791677,0.46008638998887236,0.6283277324054569
0.3,1e-09,3.0,0.8413011276130512,0.9001553310674738,0.9235130270341513,0.10323525081673171
0.3,1e-09,5.0,0.9728617845625764,0.9820946293085923,0.9873438792601293,0.018376366038302255
0.3,1e-09,10.0,0.9986754555235287,0.998739743206098,0.9990391765138074,0.0012641370879149126
0.3,1e-09,20.0,0.999748223670454,0.9997482271517519,0.9997750225289612,0.0002518052482607871
0.3,1e-11,1.0,0.26856327406265,0.39464725657443134,0.46008638998887236,0.6283277323987118
0.3,1e-11,3.0,0.8413011276138482,0.9001553310666263,0.9235130270341513,0.10323525081605578
0.3,1e-11,5.0,0.9728617845627245,0.9820946293085027,0.9873438792601293,0.0183763660381846
0.3,1e-11,10.0,0.9986754555235299,0.9987397432060975,0.9990391765138074,0.0012641370879138913
0.3,1e-11,20.0,0.999748223670454,0.9997482271517516,0.9997750225289612,0.0002518052482607783
