x,stage,time_tau,n,open_count,simulated_open,predicted_open,standard_error,z,mean_blockers
0.0,ambient,0.0,1000000,1000000,1.0,1.0,0.0,0.0,0.0
0.0,launched,0.1,1000000,94749,0.094749,0.09516258196404043,0.0002934393718606583,-1.4094290122622646,0.905251
0.0,launched,0.5,1000000,394194,0.394194,0.3934693402873666,0.000488519414702416,1.4833795563168009,0.6058060000000001
0.0,launched,1.0,1000000,632369,0.632369,0.6321205588285577,0.0004822283255210437,0.5151940653296431,0.36763100000000004
0.0,launched,3.0,1000000,949918,0.949918,0.950212931632136,0.00021750474981295831,-1.3559778919294079,0.050082
0.0,launched,5.0,1000000,993318,0.993318,0.9932620530009145,8.180798903116365e-05,0.6838818524703948,0.0066820000000000004
0.1,ambient,0.0,1000000,905006,0.905006,0.9048374180372162,0.00029343937185892467,0.5745035566149126,0.09967
0.1,launched,0.1,1000000,85796,0.085796,0.08610666495808592,0.0002805214915258399,-1.1074551058320672,1.0047659999999998
0.1,launched,0.5,1000000,355328,0.355328,0.35602578194223305,0.0004788229574014331,-1.4572858954381231,0.706904
0.1,launched,1.0,1000000,571719,0.571719,0.5719663343381722,0.0004947937415953504,-0.4998736188028214,0.467923
0.1,launched,3.0,1000000,859654,0.859654,0.8597882156424612,0.0003472066241948932,-0.3865584153885579,0.14998499999999998
0.1,launched,5.0,1000000,898422,0.898422,0.8987406714704523,0.00030167180331494824,-1.0563515282188465,0.107138
0.3,ambient,0.0,1000000,741122,0.741122,0.7408182206848044,0.0004381855595363736,0.6932663767308008,0.299318
0.3,launched,0.1,1000000,70501,0.070501,0.07049817464634434,0.00025598473004825477,0.011037196066834468,1.204276
0.3,launched,0.5,1000000,292319,0.292319,0.2914892565652329,0.00045444831375226894,1.8258257532437867,0.905824
0.3,launched,1.0,1000000,468628,0.468628,0.468286427648423,0.0004989932357544552,0.6845230097369155,0.6672609999999999
0.3,launched,3.0,1000000,703997,0.703997,0.7039350532806239,0.00045651998208559184,0.13569333612319165,0.349565
0.3,launched,5.0,1000000,735629,0.735629,0.7358266267748282,0.0004408920526659625,-0.4482429965186816,0.307336
1.0,ambient,0.0,1000000,368445,0.368445,0.3678794411765514,0.00048222832552244344,1.1728029929305488,0.998934
1.0,launched,0.1,1000000,34815,0.034815,0.035008357473802695,0.00018380090418925892,-1.051994138198566,1.9053440000000001
1.0,launched,0.5,1000000,144707,0.144707,0.1447492810242318,0.00035184787432525404,-0.12016847995137547,1.6048310000000001
1.0,launched,1.0,1000000,232437,0.232437,0.23254415793601774,0.00042245398867314085,-0.25365587470081125,1.369204
1.0,launched,3.0,1000000,349577,0.349577,0.34956380228294986,0.00047683220362768763,0.027677906294405072,1.050179
1.0,launched,5.0,1000000,365322,0.365322,0.36540068899481015,0.00048154234027438143,-0.16341033431314753,1.007038
3.0,ambient,0.0,1000000,49752,0.049752,0.04978706836993825,0.0002175047498172519,-0.1612303637861582,2.9985259999999996
3.0,launched,0.1,1000000,4709,0.004709,0.004737865974484749,6.866890563051496e-05,-0.42036456267510225,3.903241
3.0,launched,0.5,1000000,19455,0.019455,0.01958968494604048,0.0001385854580746312,-0.9718548245368636,3.6055660000000005
3.0,launched,1.0,1000000,31210,0.03121,0.03147142947961213,0.00017458802538009854,-1.4974078493812264,3.3686170000000004
3.0,launched,3.0,1000000,47358,0.047358,0.04730831619129572,0.0002122975256813892,0.2340291463351444,3.050553
3.0,launched,5.0,1000000,49556,0.049556,0.04945160573997531,0.00021680900449407852,0.48150334100879655,3.007981
5.0,ambient,0.0,1000000,6804,0.006804,0.006737946999553347,8.180798903398467e-05,0.8074150364362744,5.00333
5.0,launched,0.1,1000000,651,0.000651,0.0006412004336101186,2.531381629889213e-05,0.3871232323950412,5.907363999999999
5.0,launched,0.5,1000000,2724,0.002724,0.0026511755607330607,5.142126825428592e-05,1.4162318771838023,5.60791
5.0,launched,1.0,1000000,4268,0.004268,0.004259194822527913,6.512337584916544e-05,0.13520763254781368,5.3680699999999995
5.0,launched,3.0,1000000,6385,0.006385,0.0064024843712050875,7.975896542133405e-05,-0.21921512036577467,5.0531310000000005
5.0,launched,5.0,1000000,6749,0.006749,0.006692547069326114,8.153377755906425e-05,0.692387037175974,5.004723
10.0,ambient,0.0,1000000,60,6e-05,4.539992976878996e-05,6.737794046657032e-06,2.1668917349074945,9.998564000000002
10.0,launched,0.1,1000000,7,7e-06,4.3203745377270546e-06,2.078546576839429e-06,1.2891823027355478,10.902114000000001
10.0,launched,0.5,1000000,19,1.9e-05,1.786348041424242e-05,4.226483326633374e-06,0.26890431072938403,10.608647000000001
10.0,launched,1.0,1000000,27,2.7e-05,2.869822897370543e-05,5.356995929190091e-06,-0.31701143628872996,10.36544
10.0,launched,3.0,1000000,52,5.2e-05,4.313960035580205e-05,6.5679326527213406e-06,1.3490393572362156,10.053218999999999
10.0,launched,5.0,1000000,47,4.7e-05,4.509402744202524e-05,6.715057257441242e-06,0.28383563756849084,10.01229
