x,seed,time_tau,stage,open_count,n,mean_blockers,births,deaths,predicted_open
0.0,11,0.0,ambient,200000,200000,0.0,0,0,1.0
0.0,11,0.1,launched,19035,200000,0.904825,0,19035,0.09516258196404043
0.0,11,0.5,launched,78918,200000,0.60541,0,78918,0.3934693402873666
0.0,11,1.0,launched,126437,200000,0.367815,0,126437,0.6321205588285577
0.0,11,3.0,launched,189776,200000,0.05112,0,189776,0.950212931632136
0.0,11,5.0,launched,198634,200000,0.00683,0,198634,0.9932620530009145
0.0,23,0.0,ambient,200000,200000,0.0,0,0,1.0
0.0,23,0.1,launched,19063,200000,0.904685,0,19063,0.09516258196404043
0.0,23,0.5,launched,79223,200000,0.603885,0,79223,0.3934693402873666
0.0,23,1.0,launched,126637,200000,0.366815,0,126637,0.6321205588285577
0.0,23,3.0,launched,190064,200000,0.04968,0,190064,0.950212931632136
0.0,23,5.0,launched,198660,200000,0.0067,0,198660,0.9932620530009145
0.0,37,0.0,ambient,200000,200000,0.0,0,0,1.0
0.0,37,0.1,launched,18835,200000,0.905825,0,18835,0.09516258196404043
0.0,37,0.5,launched,78651,200000,0.606745,0,78651,0.3934693402873666
0.0,37,1.0,launched,126337,200000,0.368315,0,126337,0.6321205588285577
0.0,37,3.0,launched,190040,200000,0.0498,0,190040,0.950212931632136
0.0,37,5.0,launched,198680,200000,0.0066,0,198680,0.9932620530009145
0.0,53,0.0,ambient,200000,200000,0.0,0,0,1.0
0.0,53,0.1,launched,18850,200000,0.90575,0,18850,0.09516258196404043
0.0,53,0.5,launched,78744,200000,0.60628,0,78744,0.3934693402873666
0.0,53,1.0,launched,126434,200000,0.36783,0,126434,0.6321205588285577
0.0,53,3.0,launched,190036,200000,0.04982,0,190036,0.950212931632136
0.0,53,5.0,launched,198662,200000,0.00669,0,198662,0.9932620530009145
0.0,71,0.0,ambient,200000,200000,0.0,0,0,1.0
0.0,71,0.1,launched,18966,200000,0.90517,0,18966,0.09516258196404043
0.0,71,0.5,launched,78658,200000,0.60671,0,78658,0.3934693402873666
0.0,71,1.0,launched,126524,200000,0.36738,0,126524,0.6321205588285577
0.0,71,3.0,launched,190002,200000,0.04999,0,190002,0.950212931632136
0.0,71,5.0,launched,198682,200000,0.00659,0,198682,0.9932620530009145
0.1,11,0.0,ambient,180943,200000,0.099795,500863,480904,0.9048374180372162
0.1,11,0.1,launched,17404,200000,1.00373,1997,21210,0.08610666495808592
0.1,11,0.5,launched,71366,200000,0.705695,10193,89013,0.35602578194223305
0.1,11,1.0,launched,114614,200000,0.46651,20170,146827,0.5719663343381722
0.1,11,3.0,launched,171942,200000,0.149585,60006,250048,0.8597882156424612
0.1,11,5.0,launched,179674,200000,0.107305,100327,298825,0.8987406714704523
0.1,23,0.0,ambient,180959,200000,0.09991,498733,478751,0.9048374180372162
0.1,23,0.1,launched,17200,200000,1.005305,2026,20947,0.08610666495808592
0.1,23,0.5,launched,70861,200000,0.707605,9826,88287,0.35602578194223305
0.1,23,1.0,launched,114218,200000,0.468055,19712,146083,0.5719663343381722
0.1,23,3.0,launched,171669,200000,0.151065,59805,249574,0.8597882156424612
0.1,23,5.0,launched,179521,200000,0.107885,99930,298335,0.8987406714704523
0.1,37,0.0,ambient,181088,200000,0.099185,499697,479860,0.9048374180372162
0.1,37,0.1,launched,17118,200000,1.004295,1959,20937,0.08610666495808592
