CID,z,width,bands,err
1249851,0.21552,1.1208245820312503,4,0.07046783082934845
1249956,0.44737,1.332032703125,3,0.10369084555480458
1249970,0.26866,1.233970078125,4,0.07641722094839828
1250017,0.18299,1.329015328125,3,0.08746297751384426
1250034,0.16167,1.1196388735351563,3,0.08070247475074045
1250120,0.69207,1.7729831129557292,3,0.1494009074159455
1250275,0.38423,1.361880453125,3,0.09854747156647987
1250279,0.27476,1.335572525390625,4,0.07326017362682599
1250357,0.35941,1.2860629272460935,4,0.08258791563326928
1250397,0.64442,1.5782577890624998,3,0.1303942855786986
1250435,0.49418,1.541602705078125,3,0.1004477539856589
1250454,0.7888,1.7974179166666666,3,0.21825664366256944
1250532,0.52893,1.699988997721354,3,0.12003870170825669
1250578,0.27962,1.361189526855469,4,0.07411556432874826
1250665,0.29564,1.0346562656249996,3,0.09849044464496302
1250803,0.96406,1.8663365068359372,2,0.21558391632185067
1250823,0.66553,1.6763732942708334,3,0.12463557296259219
1250852,0.77796,1.9261233333333336,3,0.12779616596116516
1250858,0.85778,1.5402883007812502,2,0.16695748421454068
1250896,0.8812,2.0116347656249998,2,0.17758529909274837
1250912,0.21995,1.2133528582763673,4,0.0714895520924203
1250916,0.6708,1.6321845052083328,3,0.1187494767708802
1250925,0.55269,1.3353538346354166,3,0.1107794640288644
1250950,0.70234,1.637726444010417,3,0.13486553726454656
1250980,0.82115,1.773101755371094,3,0.14988211159958587
1251022,0.6849,1.7707355631510417,3,0.15550108845071614
1251114,0.62692,1.744702229166667,3,0.13315090281659245
1251126,0.59845,1.7397712955729172,3,0.12192423314119206
1251390,0.43504,1.4595178958333335,3,0.1018048606640443
1251436,0.57464,1.4205590156249996,3,0.14624003347253303
1251536,0.52851,1.3481438297526045,3,0.14665011784402562
1251552,0.35592,1.3539337890625,4,0.08465308299978341
1251600,0.55887,1.551562796875,3,0.1058435200517574
1251603,0.63165,1.408254169921874,3,0.11909783137732532
1251618,0.82318,2.001699708333333,3,0.15915069707111734
1251645,0.7682,1.8013537499999999,3,0.12311091419798907
1251652,0.77295,1.8905695345052083,3,0.13319336814342672
1251975,0.44765,1.5873256054687497,3,0.09857746033667592
1252142,0.55345,1.5715533561197919,3,0.1138135703030236
1252183,0.97319,2.19131998828125,2,0.2835448275482295
1252199,0.6056,1.629433125,3,0.11916679999411685
1252313,0.59808,1.72230575,3,0.11502751104488335
1252364,0.54251,1.6063795546875002,3,0.13072404739669322
1252513,0.47821,1.2469990934244795,3,0.11377099600108363
1252521,0.43376,1.5851635625,3,0.1337099737446696
1252595,0.814,1.629765625,3,0.25666744419700804
1252620,0.95453,1.5476861821289054,2,0.18886423546485803
1252665,0.97567,1.8406144335937498,2,0.1903655038338625
1252671,0.98614,2.2037619804687507,2,0.19371755679452457
1252751,0.56173,1.5567987561848957,3,0.10336226052420198
1252810,0.5814,1.714109934895833,3,0.12995307194799313
1252829,0.45288,1.3379076276041661,3,0.09559203094991338
1252917,0.6941,1.4745066992187494,3,0.17283252503843513
1252918,0.83727,2.084870839843751,2,0.15249046295275814
1252926,0.92582,1.7283482226562499,2,0.1605191813018868
1252939,0.668,1.6968859375000003,3,0.1210258603070843
1252970,0.4625,1.6052508544921873,3,0.10218768592507706
1253046,0.50192,1.5885541875,3,0.0950963112581137
1253101,0.4544,1.8249121875000014,3,0.11524441447826987
1253119,0.3201,1.23733591796875,3,0.09337275570670485
1253131,0.40448,1.1027362500000006,3,0.12686857509561558
1253148,0.43972,1.4437504661458334,3,0.1041474092949668
1253180,0.4621,1.3626277018229167,3,0.09979371149728322
1253243,0.57842,1.2773281640625005,3,0.11868678691784044
1253358,0.71506,1.5645456197916665,3,0.1498692081846414
1253406,0.36229,1.27022899609375,2,0.1203996153576636
1253474,0.4479,1.5945752864583334,3,0.10937262878374034
1253475,0.45532,1.7882623489583338,3,0.20161430988305606
1253572,0.52092,1.7082624895833334,3,0.24858921015067972
1253816,0.90975,1.6949963745117187,2,0.16563215175991672
1253857,0.858,1.99036435546875,2,0.16948117278908384
1253871,0.8493,1.80776298828125,2,0.16008087209161964
1253895,0.49331,2.0264683359375004,2,0.2369466283178606
1253920,0.19599,1.1452227161458335,3,0.08775173397376235
1253997,0.59134,1.493538895833333,3,0.13600144995331273
1254000,0.53356,1.650598783203125,3,0.15325515007025386
1254002,0.53644,1.6449710807291666,3,0.11966527275964899
1254051,0.76214,1.7318532187499995,3,0.22188609246379123
1254070,0.49305,1.5836439192708331,3,0.1029810773304999
1254108,0.96764,1.8246786562500001,2,0.19158406889965335
1254150,0.70484,2.0182819375,3,0.12769580933379848
1254299,0.49625,1.4573338623046876,3,0.152874604271103
1254356,0.35238,1.3055617666015626,4,0.08774942013361792
1254566,0.79259,1.7223335429687499,3,0.13885829818930054
1254670,0.5055,1.3288781901041673,3,0.0980503421206035
1254671,0.47119,1.5071556149088543,3,0.10371429411730299
1254762,0.39875,1.376257080078125,3,0.10299537461504575
1254889,0.60613,1.6112537220052081,3,0.11810075864315606
1255008,0.44489,1.37057599609375,3,0.09905161900700495
1255130,0.62529,1.96241069921875,3,0.21820505560239567
1255139,0.65054,1.778360138671875,2,0.16424079063585076
1255142,0.5779,1.948953046875,3,0.176737527217649
1255169,1.04763,2.07562494140625,2,0.18670445101237898
1255312,0.35658,1.326474257324219,4,0.08305937677274305
1255382,0.58171,1.7113566725260416,3,0.12674144554482242
1255399,0.38239,1.209006254231771,3,0.09632554501750824
1255412,0.37303,1.3956903583984377,4,0.07923069240510357
1255423,0.66801,1.788929865559896,3,0.1256942797161225
1255470,0.46997,1.2716771718749995,3,0.10124718340998506
1255487,0.45131,1.595968568359375,3,0.11220773399342569
1255523,0.55665,1.3720005013020835,3,0.1643519011317155
1255545,0.60314,1.7925735351562502,3,0.12079344258937084
1255576,0.28112,1.30204454296875,4,0.0738807222577693
1255657,0.59011,1.6836945989583336,3,0.17331474166962216
1255730,0.69242,1.6018490859375,2,0.1621497609146948
1255735,0.36573,1.3303419440104165,3,0.09975953580734631
1255737,0.92049,1.8546607041015624,2,0.16450557579358446
1255824,0.82,1.665489583333333,3,0.14991239017653185
1255974,0.34358,1.4240767119140625,4,0.08443018394306086
1256028,0.95596,2.03866807421875,2,0.18366951066625564
1256332,0.47919,1.671792864583333,3,0.10351645899369448
1256335,0.6207,1.5723744401041664,3,0.12878917773117574
1256432,0.51183,1.6145871953125004,3,0.16354936562642944
1256505,0.55738,1.6689111197916666,3,0.12466297356795258
1256570,0.34601,1.173749638183594,4,0.08449852990392466
1256596,0.68203,1.776206158854167,3,0.1287905365239558
1256680,0.29546,1.333033400390625,4,0.07774253277324605
1256701,0.43749,1.3085276809895827,3,0.11981081932244124
1256764,0.55774,1.4563246354166666,3,0.14240636047770777
1256807,0.62074,1.66474055859375,2,0.16069818636991
1256817,0.481,1.3705035156249998,2,0.13568702534553587
1256819,0.58701,1.533283098958333,3,0.12053440709618689
1256823,0.44199,1.5824338177083337,3,0.10503861515530123
1256933,0.35332,1.203119982421875,4,0.08672742861377321
1257016,0.3384,1.2526587500000002,4,0.07967128338459374
1257022,0.38786,1.2825055234374998,3,0.1010299640104488
1257040,0.35277,1.3177617919921876,4,0.08543445378269224
1257102,0.47434,1.5084149153645836,3,0.12011178537725026
1257129,0.58932,1.644470231770833,3,0.1449178583748337
1257144,0.5267,1.707995625,3,0.11578591427714736
1257216,0.65557,1.9686300953776048,3,0.15072495098485375
1257335,0.48464,1.444431,3,0.10390693899923982
1257356,0.33307,1.3230459384765623,4,0.08057484425705343
1257366,0.21182,1.2015834345703122,4,0.07003150427778888
1257419,0.40412,1.4990992109374999,3,0.11276043676967275
1257496,0.59458,1.2266638854166647,3,0.12023719133171562
1257533,0.23003,1.2963363046875,3,0.08273265829991251
1257602,0.52271,1.6675954599609375,3,0.10439342698278
1257605,0.74605,1.968853255208333,3,0.12476084590088604
1257609,0.3344,1.499343046875,4,0.08061523460528479
1257646,0.84169,1.7765833808593754,2,0.1418600372832468
1257695,0.18472,1.19999178125,3,0.08883210440411099
1257775,0.47654,1.4932664296875,1,0.20363288067305288
1257839,0.64538,1.6901566171875,3,0.13319312300046615
1257905,0.61509,1.7480510224609376,3,0.13677377934297266
1257934,0.29739,1.4085677075195315,4,0.07995891974072805
1258061,0.45939,1.1960157109374994,3,0.10109179085469998
1258090,0.36757,1.20944471875,4,0.08050220694037041
1258118,0.62638,1.6085914687500003,3,0.1327703981073477
1258191,0.51814,1.451078932942708,3,0.1219578107735285
1258249,0.62237,1.405525884765625,3,0.1312857027850278
1258289,0.50629,1.753513768880209,3,0.22492086647670118
1258309,0.47736,1.9055635625000003,3,0.13612496758497872
1258330,0.52595,1.6884795703125004,3,0.1045853410047126
1258422,0.52227,1.7292035781250001,2,0.12771399732454408
1258433,0.61572,1.8180005703125,2,0.15712983978901265
1258500,0.49502,1.7251129218749999,3,0.09931745161737314
1258529,0.82542,1.7398534374999999,3,0.17606825621283428
1258591,0.5988,1.6963309635416668,3,0.12271141749976526
1258802,0.55063,1.5230194983723957,3,0.10706398390883855
1258906,0.35013,1.3794003964843753,4,0.08835052634890773
1258940,0.42694,1.4016712708333336,3,0.10439857430987064
1259006,0.52913,1.6362487421875,3,0.11021136218934559
1259246,0.2233,1.1608806396484372,4,0.07248295667074443
1259330,0.60357,1.634158932942708,3,0.16446063070318345
