bin,R_mean_kpc,stars,inferred_Jeans_proxy_km_s,ordinary_prediction_km_s,p2_coupled_prediction_km_s,p2_residual_km_s,p3_coupled_prediction_km_s,p3_residual_km_s
0,6.572151071440615,93,242.02363428908103,181.11541344724537,199.71047473117426,-42.31315955790677,200.99350061523887,-41.03013367384216
1,7.514278471291222,76,236.55853057190697,178.5700810610855,202.7125607598944,-33.845969812012584,204.06761772333348,-32.49091284857349
2,8.470122679932519,81,235.62747355152325,175.08068033093755,205.64028977127748,-29.987183780245772,207.00202575673424,-28.62544779478901
3,9.5506494595575,45,231.0558613367288,170.35848990077056,209.11121698062232,-21.944644356106494,210.39691607171164,-20.658945265017167
4,10.497191844458396,74,228.067740156688,165.8244030187082,212.57132696746962,-15.496413189218373,213.71284258474452,-14.354897571943468
5,11.366182458075798,42,232.6478616303941,161.54093422513375,216.23216087964013,-16.415700750753956,217.1809803792526,-15.466881251141501
6,12.517271362004434,37,232.39570622478772,155.89666200301954,221.9149759706118,-10.48073025417591,222.524812284162,-9.870893940625706
7,13.498434681960074,42,237.00980517622764,151.23877040384497,227.5433491345136,-9.466456041714054,227.7959756619744,-9.213829514253234
8,14.547025788004847,26,236.48630952309938,146.49760851661551,234.34029454978483,-2.14601497331455,234.15019442606632,-2.3361150970330584
9,15.392639743430234,15,230.8513247241695,142.86614867287645,240.34379984184847,9.492475117678964,239.7593642126673,8.908039488497792
10,16.42456211529457,5,223.0756248534913,138.68325380166317,248.254745522201,25.179120668709714,247.1500777510045,24.074452897513197
11,17.519629147881023,6,226.22388369891485,134.55886155652678,257.31432034233404,31.090436643419196,255.61534818203708,29.391464483122235
