pgc,name,method,distance_mpc,sigma_mag,imag,W1mag,inclination_deg,adjusted_linewidth_kms,adjusted_linewidth_error_kms,role
218,NGC7814,TRGB,13.995873225726186,0.1,9.62,9.47,90,455,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
1014,NGC55,TRGB,2.0606299132700006,0.03,,8.05,84,166,13,possible_calibration; shared_history_and_corrections_pending; not_holdout
2758,NGC247,TRGB,3.630780547701015,0.02,,9.03,73,205,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
2789,NGC253,TRGB,3.6140986263961317,0.02,,6.12,80,410,8,possible_calibration; shared_history_and_corrections_pending; not_holdout
3238,NGC300,TRGB,2.04173794466953,0.06,,8.26,53,140,19,possible_calibration; shared_history_and_corrections_pending; not_holdout
3974,UGC685,TRGB,4.698941086052153,0.02,13.10,,64,68,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
5818,M33,TRGB,0.9120108393559101,0.08,,5.64,57,175,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
5896,NGC625,TRGB,3.9264493539959964,0.04,,11.10,78,71,13,possible_calibration; shared_history_and_corrections_pending; not_holdout
6574,IC1727,TRGB,7.277798045368237,0.06,11.52,12.19,73,123,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
6699,UGC1281,TRGB,5.152286445817562,0.02,12.24,13.24,90,108,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
6793,NGC0691,CEP,36.81289736425311,0.109,11.14,11.19,53,316,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
7671,NGC784,TRGB,5.24807460249773,0.01,11.51,12.20,86,83,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
9332,NGC925,TRGB,9.332543007969917,0.06,,10.18,56,198,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
9962,ESO115-21,TRGB,4.965923214503362,0.02,,12.99,89,114,13,possible_calibration; shared_history_and_corrections_pending; not_holdout
11139,ESO154-23,TRGB,5.72796030985829,0.02,,12.53,84,113,13,possible_calibration; shared_history_and_corrections_pending; not_holdout
12460,NGC1311,TRGB,5.4200089040162425,0.02,,12.94,81,79,15,possible_calibration; shared_history_and_corrections_pending; not_holdout
12514,UGC02684,TRGB,6.918309709189362,0.11,15.49,15.40,86,77,12,possible_calibration; shared_history_and_corrections_pending; not_holdout
13163,IC1959,TRGB,6.0534087475391365,0.04,,13.21,82,119,13,possible_calibration; shared_history_and_corrections_pending; not_holdout
13179,NGC1365,TRGB,19.054607179632463,0.09,,8.69,55,371,13,possible_calibration; shared_history_and_corrections_pending; not_holdout
13602,NGC1425,CEP,21.567509598981673,0.05,,10.64,67,354,10,possible_calibration; shared_history_and_corrections_pending; not_holdout
13727,NGC1448,TRGB,18.450154191794716,0.09,,10.00,82,388,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
14814,NGC1559,CEP,19.87009758501157,0.061,,10.20,61,242,13,possible_calibration; shared_history_and_corrections_pending; not_holdout
15488,NGC1560,TRGB,2.924152377843333,0.14,,11.06,89,143,6,possible_calibration; shared_history_and_corrections_pending; not_holdout
16957,PGC016957,TRGB,3.311311214825913,0.21,,11.53,51,114,11,possible_calibration; shared_history_and_corrections_pending; not_holdout
17819,NGC2090,CEP,11.582438423173791,0.04,,10.36,71,276,9,possible_calibration; shared_history_and_corrections_pending; not_holdout
19871,UGC3600,TRGB,9.954054173515262,0.23,14.61,,81,98,8,possible_calibration; shared_history_and_corrections_pending; not_holdout
20264,UGC03698,TRGB,11.015393095414156,0.43,,15.45,55,75,9,possible_calibration; shared_history_and_corrections_pending; not_holdout
21102,NGC2366,TRGB,3.206269324505467,0.03,,11.64,69,90,8,possible_calibration; shared_history_and_corrections_pending; not_holdout
21396,NGC2403,TRGB,3.1188895840939352,0.05,7.88,8.28,58,241,10,possible_calibration; shared_history_and_corrections_pending; not_holdout
22277,UGC4115,TRGB,7.691304402866094,0.03,13.79,14.46,67,71,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
22721,NGC2525,CEP,25.715797663727407,0.099,,10.86,50,212,10,possible_calibration; shared_history_and_corrections_pending; not_holdout
23110,NGC2541,CEP,11.061142822180791,0.05,11.39,11.77,62,188,8,possible_calibration; shared_history_and_corrections_pending; not_holdout
24111,NGC2608,CEP,33.29660852068808,0.154,11.63,11.73,56,206,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
24930,NGC2683,TRGB,9.594006315159332,0.38,8.90,8.82,85,426,14,possible_calibration; shared_history_and_corrections_pending; not_holdout
26512,NGC2841,CEP,13.861173512382436,0.23,8.49,8.60,69,592,12,possible_calibration; shared_history_and_corrections_pending; not_holdout
26761,NGC2915,TRGB,4.187935651179182,0.03,,12.07,58,137,15,possible_calibration; shared_history_and_corrections_pending; not_holdout
27077,NGC2903,TRGB,8.953647655495944,0.09,8.32,8.34,62,368,8,possible_calibration; shared_history_and_corrections_pending; not_holdout
28357,NGC3021,CEP,31.102836686851404,0.158,11.60,11.57,58,241,6,possible_calibration; shared_history_and_corrections_pending; not_holdout
28378,UGC5288,TRGB,11.27197456175511,0.13,13.45,,45,88,8,possible_calibration; shared_history_and_corrections_pending; not_holdout
29230,UGC05427,TRGB,7.516228940182051,0.06,14.03,,52,71,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
30197,NGC3198,CEP,13.608178583624555,0.08,10.04,10.29,74,296,6,possible_calibration; shared_history_and_corrections_pending; not_holdout
30895,NGC3254,CEP,29.25499309897075,0.076,11.17,11.43,77,393,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
31671,NGC3319,CEP,13.115957477555467,0.09,11.06,11.67,63,195,8,possible_calibration; shared_history_and_corrections_pending; not_holdout
32192,NGC3368,TRGB,10.91440336448757,0.09,8.53,8.64,52,336,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
32207,NGC3370,CEP,26.54605561975536,0.051,11.57,11.71,56,271,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
32250,ESO318-013,TRGB,6.760829753919814,0.04,,14.07,85,53,16,possible_calibration; shared_history_and_corrections_pending; not_holdout
32643,NGC3432,TRGB,8.912509381337454,0.19,10.93,11.34,85,239,20,possible_calibration; shared_history_and_corrections_pending; not_holdout
34695,NGC3627,TRGB,11.015393095414156,0.1,8.20,8.19,64,362,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
37466,NGC3972,CEP,21.232444620002216,0.089,11.72,11.88,79,258,8,possible_calibration; shared_history_and_corrections_pending; not_holdout
38148,NGC4068,TRGB,4.285485203974395,0.02,12.46,13.12,53,61,8,possible_calibration; shared_history_and_corrections_pending; not_holdout
38643,NGC4138,SBF,13.957254577067674,0.26,10.55,10.68,59,291,7,possible_calibration; shared_history_and_corrections_pending; not_holdout
38688,NGC4144,TRGB,6.729766562843179,0.04,11.15,11.74,86,150,11,possible_calibration; shared_history_and_corrections_pending; not_holdout
39393,NGC4237,SBF,18.827818367346747,0.23,11.04,11.08,52,231,6,possible_calibration; shared_history_and_corrections_pending; not_holdout
39422,NGC4244,TRGB,4.207266283844443,0.07,9.68,10.16,88,192,7,possible_calibration; shared_history_and_corrections_pending; not_holdout
39423,NGC4242,TRGB,7.447319739059888,0.1,10.61,11.16,50,116,8,possible_calibration; shared_history_and_corrections_pending; not_holdout
39461,NGC4248,TRGB,6.950243175887971,0.14,11.89,12.44,73,96,15,possible_calibration; shared_history_and_corrections_pending; not_holdout
39600,NGC4258,MASER,7.585775750291832,0.03,7.71,7.88,73,429,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
39950,NGC4298,TRGB,14.521116175877413,0.2,10.62,10.72,56,224,9,possible_calibration; shared_history_and_corrections_pending; not_holdout
40033,NGC4307,SBF,15.878153642056166,0.15,11.16,11.13,86,311,13,possible_calibration; shared_history_and_corrections_pending; not_holdout
40095,NGC4312,SBF,16.099040762157053,0.16,11.10,11.24,80,212,8,possible_calibration; shared_history_and_corrections_pending; not_holdout
40105,NGC4313,SBF,17.013748158991977,0.16,10.94,10.95,84,257,9,possible_calibration; shared_history_and_corrections_pending; not_holdout
40306,NGC4351,SBF,15.588344677043889,0.22,12.05,12.55,52,94,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
40507,NGC4380,SBF,15.878153642056166,0.15,10.86,11.00,60,262,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
40563,UGC07512,TRGB,11.587773561551263,0.08,14.57,,64,51,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
40644,NGC4402,SBF,16.323000728189953,0.14,10.99,10.74,83,251,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
40692,NGC4414,CEP,17.450183572026464,0.05,9.46,9.27,59,378,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
40809,NGC4424,TRGB,15.848931924611133,0.09,10.96,11.34,65,55,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
41020,UGC7599,TRGB,4.613175745603794,0.07,14.35,15.44,65,69,6,possible_calibration; shared_history_and_corrections_pending; not_holdout
41024,NGC4450,SBF,16.62646796893536,0.15,9.30,9.51,55,300,6,possible_calibration; shared_history_and_corrections_pending; not_holdout
41066,NGC4455,TRGB,6.456542290346557,0.09,12.34,13.08,78,116,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
41093,KK149,TRGB,8.317637711026714,0.15,14.65,,52,78,15,possible_calibration; shared_history_and_corrections_pending; not_holdout
41314,PGC041314,TRGB,8.01678063387679,0.07,14.75,,71,59,10,possible_calibration; shared_history_and_corrections_pending; not_holdout
41522,UGC07678,TRGB,8.871560120379604,0.07,13.31,14.47,73,54,16,possible_calibration; shared_history_and_corrections_pending; not_holdout
41618,NGC4517,TRGB,8.165823713585919,0.12,9.87,9.69,89,295,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
41812,NGC4535,CEP,14.784273904006696,0.05,9.40,9.64,52,264,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
42002,NGC4559,TRGB,8.629785477669701,0.08,9.57,9.99,72,230,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
42038,NGC4565,TRGB,11.803206356517292,0.02,8.77,8.43,89,503,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
42336,NGC4592,TRGB,8.669618757582173,0.09,,12.07,79,187,6,possible_calibration; shared_history_and_corrections_pending; not_holdout
42407,M104,TRGB,9.120108393559102,0.08,7.23,7.19,87,733,17,possible_calibration; shared_history_and_corrections_pending; not_holdout
42408,NGC4605,TRGB,5.4200089040162425,0.02,9.75,10.09,79,147,20,possible_calibration; shared_history_and_corrections_pending; not_holdout
42741,NGC4639,CEP,23.035625001175365,0.084,10.98,11.21,52,275,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
43451,NGC4725,CEP,12.18428362708399,0.06,8.56,8.77,53,384,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
43690,PGC043690,CEP,38.3707245492279,0.123,,12.76,54,221,18,possible_calibration; shared_history_and_corrections_pending; not_holdout
44182,M64,TRGB,4.30526610491711,0.03,7.76,7.88,61,306,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
44536,NGC4861,TRGB,9.727472237769655,0.04,12.42,13.25,79,74,6,possible_calibration; shared_history_and_corrections_pending; not_holdout
44982,UGCA319,TRGB,5.623413251903491,0.07,,14.32,56,104,13,possible_calibration; shared_history_and_corrections_pending; not_holdout
45849,NGC5023,TRGB,5.915616341754738,0.06,11.76,12.37,90,168,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
46127,UGC8331,TRGB,4.30526610491711,0.05,13.71,14.66,76,54,6,possible_calibration; shared_history_and_corrections_pending; not_holdout
46153,NGC5055,TRGB,8.830799004185629,0.02,7.89,7.90,60,368,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
47368,NGC5204,TRGB,4.487453899331325,0.24,11.07,11.80,54,109,8,possible_calibration; shared_history_and_corrections_pending; not_holdout
47788,NGC5229,TRGB,8.749837752274363,0.08,13.07,,87,113,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
49448,UGC8837,TRGB,7.079457843841379,0.02,12.66,13.41,79,89,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
51344,NGC5584,CEP,22.615177461083604,0.052,11.27,,47,186,11,possible_calibration; shared_history_and_corrections_pending; not_holdout
52142,UGC09405,TRGB,5.675446054085469,0.02,13.76,14.54,61,82,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
52521,NGC5728,CEP,41.57191206752184,0.205,,10.50,50,393,19,possible_calibration; shared_history_and_corrections_pending; not_holdout
53641,UGC9660,TRGB,10.519618738232223,0.12,13.52,14.25,69,79,11,possible_calibration; shared_history_and_corrections_pending; not_holdout
54097,NGC5861,CEP,27.83556237577426,0.099,,10.91,55,321,7,possible_calibration; shared_history_and_corrections_pending; not_holdout
54470,NGC5907,TRGB,16.90440931643265,0.05,9.66,9.14,89,469,8,possible_calibration; shared_history_and_corrections_pending; not_holdout
60921,NGC6503,TRGB,6.109420249055719,0.07,,9.70,78,238,12,possible_calibration; shared_history_and_corrections_pending; not_holdout
62836,NGC6744,TRGB,9.162204901219992,0.1,,8.15,49,315,13,possible_calibration; shared_history_and_corrections_pending; not_holdout
64181,IC4951,TRGB,8.994975815300352,0.14,,13.95,86,112,13,possible_calibration; shared_history_and_corrections_pending; not_holdout
65603,IC5052,TRGB,5.370317963702524,0.06,,11.18,88,173,7,possible_calibration; shared_history_and_corrections_pending; not_holdout
67045,NGC7090,TRGB,9.289663867799362,0.06,,10.56,87,198,13,possible_calibration; shared_history_and_corrections_pending; not_holdout
68535,NGC7250,CEP,21.164109507708655,0.125,12.25,12.52,73,142,11,possible_calibration; shared_history_and_corrections_pending; not_holdout
70795,NGC7541,CEP,31.622776601683793,0.119,11.01,,75,416,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
71464,ESO347-017,TRGB,8.241381150130017,0.08,,14.13,79,61,16,possible_calibration; shared_history_and_corrections_pending; not_holdout
73049,NGC7793,TRGB,3.548133892335755,0.08,,9.20,57,162,13,possible_calibration; shared_history_and_corrections_pending; not_holdout
1599237,PGC1599237,TRGB,8.128305161640995,0.09,16.00,,66,40,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
5072711,PISCESB,TRGB,8.629785477669701,0.11,16.60,,68,35,5,possible_calibration; shared_history_and_corrections_pending; not_holdout
