galaxy,fold,model,galaxies,points,log_speed_rmse_dex,rmse_kms,mean_abs_fraction
NGC5005,0,ordinary,1,18,0.05826684477719896,32.137765803626486,0.10271891853608552
NGC5005,0,power,1,18,0.04142355724501271,24.523854623666804,0.08553439180959795
NGC5005,0,cliff5,1,18,0.04137080231112496,24.57234811236059,0.08838205463513074
NGC5005,0,cliff3,1,18,0.041357421113454126,24.580781086625368,0.08801276581948039
NGC5005,0,RAR,1,18,0.028356184413409685,16.31232579750979,0.05586974621842254
NGC2915,1,ordinary,1,30,0.5016978946281219,53.359949869592675,0.6681083826636486
NGC2915,1,power,1,30,0.23660150445117842,31.785141400301548,0.4533850163158109
NGC2915,1,cliff5,1,30,0.21303846275078886,28.92509989238006,0.41958020753183184
NGC2915,1,cliff3,1,30,0.213964178439548,29.033777802025888,0.4205916982398397
NGC2915,1,RAR,1,30,0.2121175652759109,29.095753285091813,0.4078592489448472
UGC07524,2,ordinary,1,31,0.32576595192259306,34.28871958325588,0.5202726504080146
UGC07524,2,power,1,31,0.05701018921617029,7.028429907668616,0.1066424957562076
UGC07524,2,cliff5,1,31,0.08052919955690224,10.151730619751618,0.15584359241302942
UGC07524,2,cliff3,1,31,0.08082129299632661,10.24479758501168,0.15751226223584086
UGC07524,2,RAR,1,31,0.05129867454943844,6.349804361302345,0.09642839556981997
UGCA442,3,ordinary,1,8,0.3706825211720193,27.598673456836995,0.5606267241190854
UGCA442,3,power,1,8,0.055970274871490915,6.5411571426080295,0.09716098599607942
UGCA442,3,cliff5,1,8,0.03257674926931445,2.8795121012128084,0.06490656908650061
UGCA442,3,cliff3,1,8,0.03411915415928078,3.0676590902154124,0.06879217747446252
UGCA442,3,RAR,1,8,0.04520890375371751,5.404361112614375,0.07915422612715683
UGC07577,4,ordinary,1,9,0.14859092305752503,2.444233288569486,0.20066912489424316
UGC07577,4,power,1,9,0.26862106194774094,9.475690990976387,0.8469556956346991
UGC07577,4,cliff5,1,9,0.24428524695189413,8.828366504823789,0.7468052918493115
UGC07577,4,cliff3,1,9,0.24440297431064686,8.911537108973,0.7475752934194806
UGC07577,4,RAR,1,9,0.2850966365242467,10.202480998802042,0.9204933656293623
DDO168,0,ordinary,1,10,0.2501090238661399,21.018874222272622,0.39423590636931555
DDO168,0,power,1,10,0.08286855983592363,5.873755383481317,0.1671308113228569
