galaxy,fold,model,galaxies,points,log_speed_rmse_dex,rmse_kms,mean_abs_fraction
DDO168,0,cliff5,1,10,0.06649310332489371,4.697593114308591,0.13150777042010092
DDO168,0,cliff3,1,10,0.06885345417096021,4.882824835903189,0.13480285967930117
DDO168,0,RAR,1,10,0.07739501160264287,5.421454469503467,0.15262942319249365
NGC5907,1,ordinary,1,19,0.22064315056244416,86.48374825501512,0.3883669887123202
NGC5907,1,power,1,19,0.04118850433128642,19.14944671410256,0.07363702259123839
NGC5907,1,cliff5,1,19,0.038321257723819814,16.991140076967746,0.04684657931308323
NGC5907,1,cliff3,1,19,0.037255156645639595,16.74266542343385,0.0482420949025114
NGC5907,1,RAR,1,19,0.0675478707607779,30.93039785301842,0.1259059972968982
UGC01281,2,ordinary,1,23,0.36240514618801645,23.06268165472958,0.5647761904891511
UGC01281,2,power,1,23,0.060238798669155144,5.758531295025713,0.12295264021362233
UGC01281,2,cliff5,1,23,0.07920047612194092,7.237511124388692,0.16021263953977324
UGC01281,2,cliff3,1,23,0.0781044682920621,7.071601783473914,0.1577466710313513
UGC01281,2,RAR,1,23,0.05712111904475865,4.937465214772164,0.11322607099222579
NGC6503,3,ordinary,1,31,0.310082887567461,56.83404358118103,0.47093730374299686
NGC6503,3,power,1,31,0.05577069244295173,13.692491951563765,0.11587462197170073
NGC6503,3,cliff5,1,31,0.030610305198962306,7.083754278398988,0.056746082196994736
NGC6503,3,cliff3,1,31,0.030886057159688958,7.164385252088036,0.057399621022094886
NGC6503,3,RAR,1,31,0.05450295706488773,13.096820044201792,0.11171099651358216
UGC08490,4,ordinary,1,30,0.38726358085546864,44.87123580471808,0.5807981893196411
UGC08490,4,power,1,30,0.10884726095248069,16.72856569205462,0.21995970985472507
UGC08490,4,cliff5,1,30,0.09128101550745803,13.739038039794373,0.1826874993888437
UGC08490,4,cliff3,1,30,0.09233891448647513,13.906586545536738,0.1843897248363522
UGC08490,4,RAR,1,30,0.10631152755270258,16.071393230916627,0.21258595985446818
UGC07866,0,ordinary,1,7,0.24742557186367606,11.076678549661342,0.4325979672823818
UGC07866,0,power,1,7,0.0553394318096213,3.511309780928207,0.12825644623201496
UGC07866,0,cliff5,1,7,0.03738837967799052,2.541103952055912,0.08135551069868677
UGC07866,0,cliff3,1,7,0.0459551020121601,2.968304100055136,0.10017480686745295
UGC07866,0,RAR,1,7,0.062369763550135224,4.005997301041112,0.14783362273979758
NGC2841,1,ordinary,1,50,0.270542659705947,130.51149487715648,0.42488913660566785
NGC2841,1,power,1,50,0.10837445525291277,64.09431386840203,0.20787804242358868
NGC2841,1,cliff5,1,50,0.09142788123211766,55.86711049673501,0.1823610599270121
NGC2841,1,cliff3,1,50,0.09170794596550269,55.98724998134785,0.1826710784715502
NGC2841,1,RAR,1,50,0.13956640065308698,82.65237654958756,0.27324527887466565
UGC07151,2,ordinary,1,11,0.23252616317441846,27.222430951846494,0.409380126611121
UGC07151,2,power,1,11,0.03654110901707822,4.413487999345791,0.061261484670126425
UGC07151,2,cliff5,1,11,0.03885515312616695,4.960998572117297,0.06485259843382994
UGC07151,2,cliff3,1,11,0.03991890521958805,5.147051860421094,0.06890031803898111
UGC07151,2,RAR,1,11,0.04568777191171069,5.934463382914991,0.08330778508348208
NGC0247,3,ordinary,1,26,0.312617542433193,44.33874452179441,0.5112759300007591
NGC0247,3,power,1,26,0.05573508924762648,8.6401177685925,0.10547225175354472
NGC0247,3,cliff5,1,26,0.07474158394962857,10.710961175763188,0.12546095036417085
NGC0247,3,cliff3,1,26,0.07514717024293666,10.792321050772246,0.1263555483971883
NGC0247,3,RAR,1,26,0.05468539051618709,8.30742743402355,0.1019267705912458
D631-7,4,ordinary,1,16,0.32989479952482986,26.330096093973044,0.45468115875816423
D631-7,4,power,1,16,0.13716654990415653,9.138872010456117,0.28951707562230267
D631-7,4,cliff5,1,16,0.1206943209776612,7.41465766903658,0.24451140978351202
D631-7,4,cliff3,1,16,0.12052054574663966,7.410038950240189,0.2442150600939824
D631-7,4,RAR,1,16,0.13437719758775743,8.431735172363467,0.2786266302142314
IC2574,0,ordinary,1,34,0.2948701456375381,23.78354699928544,0.48556265575802693
IC2574,0,power,1,34,0.0778300669986529,4.966678536597505,0.14987426673217688
IC2574,0,cliff5,1,34,0.05834116159658678,3.6786558904570343,0.10331532095520753
IC2574,0,cliff3,1,34,0.05892952708233794,3.8310579509402487,0.10483098922446106
IC2574,0,RAR,1,34,0.09180102252304959,6.521174485779669,0.19381795259009837
ESO444-G084,1,ordinary,1,7,0.4481622519588978,33.349804034715035,0.6309543089824768
ESO444-G084,1,power,1,7,0.17931354262360572,18.205585992640405,0.3263195214021035
ESO444-G084,1,cliff5,1,7,0.16307564397004043,15.97111417842589,0.31061293423678654
ESO444-G084,1,cliff3,1,7,0.16530890264462866,16.177142620464124,0.31449567291972513
ESO444-G084,1,RAR,1,7,0.1670896672381526,17.04730450632634,0.3133857052540355
UGCA444,2,ordinary,1,36,0.3650388825174462,14.471300240102812,0.5384467264329355
UGCA444,2,power,1,36,0.06406837976747459,2.231995849696754,0.08469938845422685
UGCA444,2,cliff5,1,36,0.07473286588157024,1.9177606779336618,0.09404256781048766
UGCA444,2,cliff3,1,36,0.07232192482234906,1.9218118583348522,0.09156109791840267
UGCA444,2,RAR,1,36,0.049226561422621634,1.8674616351424687,0.07015876108610057
NGC7814,3,ordinary,1,18,0.1915097553036533,73.62545163519991,0.30191178777614297
NGC7814,3,power,1,18,0.0627360599842416,29.7943138641641,0.12272800634031472
NGC7814,3,cliff5,1,18,0.0469785424364845,23.52440292630965,0.09631288944173778
NGC7814,3,cliff3,1,18,0.04716737813197909,23.59515348548285,0.09658715600091473
NGC7814,3,RAR,1,18,0.07924837928020916,35.95369284236446,0.15090425289751186
NGC3109,4,ordinary,1,25,0.4336653129424642,32.07944925871144,0.6262229514669894
NGC3109,4,power,1,25,0.09377299182952777,11.068899601033513,0.17446874889522707
NGC3109,4,cliff5,1,25,0.09569437755255976,10.959552095103001,0.17777891407356453
NGC3109,4,cliff3,1,25,0.09794945071617399,11.222692866868737,0.1803822781234659
NGC3109,4,RAR,1,25,0.08261420784578138,9.70771393263986,0.16205724272340707
UGC07559,0,ordinary,1,7,0.19701202103119989,9.818827026724065,0.34903664371429854
UGC07559,0,power,1,7,0.11822518223384637,5.798010070566879,0.28810123678223476
UGC07559,0,cliff5,1,7,0.08945527483945394,3.888129657869544,0.20017867988023316
UGC07559,0,cliff3,1,7,0.09053239995430219,3.9769749981607307,0.20396839536672742
UGC07559,0,RAR,1,7,0.12447697492287677,6.271811481680344,0.3090687764175644
NGC3741,1,ordinary,1,21,0.4615203182371469,25.903475084314856,0.6315749570536675
NGC3741,1,power,1,21,0.12827469070335473,10.782739087648684,0.23893520274331856
NGC3741,1,cliff5,1,21,0.10722324050698334,9.135487349712978,0.19839971087523325
NGC3741,1,cliff3,1,21,0.10950639278379024,9.28432803923404,0.20079025321110233
NGC3741,1,RAR,1,21,0.09009066590742534,7.906817585581443,0.1766765304638186
NGC6946,2,ordinary,1,58,0.1326665594529221,42.1498963264843,0.2299726669087572
NGC6946,2,power,1,58,0.041327343365455196,15.677839029414995,0.08007842038920791
NGC6946,2,cliff5,1,58,0.051495771163209844,20.0694239212613,0.11808762586570154
NGC6946,2,cliff3,1,58,0.05112766253616079,19.909969547780356,0.11679507936273108
NGC6946,2,RAR,1,58,0.020299904332809916,7.692413597094265,0.030424708176385724
NGC3992,3,ordinary,1,9,0.23926807358913119,105.26043069104034,0.41531093566335936
NGC3992,3,power,1,9,0.05711338573753423,30.965771229559472,0.11973216227337614
NGC3992,3,cliff5,1,9,0.047817585430027794,25.483945662723276,0.08227827945384816
NGC3992,3,cliff3,1,9,0.047601304921524826,25.414638327347422,0.08226806816786626
NGC3992,3,RAR,1,9,0.07600048111315949,40.6188189720563,0.15442927674645668
UGC04483,4,ordinary,1,8,0.23325792868990627,8.382655992936533,0.4095577628837111
UGC04483,4,power,1,8,0.06605503891469032,2.2060365189455347,0.14029271438950458
UGC04483,4,cliff5,1,8,0.052552100953476,2.191029793655005,0.11183188626291898
UGC04483,4,cliff3,1,8,0.05240760521182265,2.1798791956909884,0.11102662722903539
UGC04483,4,RAR,1,8,0.07285498504011056,2.552064431764812,0.16025595544818316
NGC3198,0,ordinary,1,43,0.23263573157035639,56.1001892582356,0.3860068275460655
NGC3198,0,power,1,43,0.0751045741424581,10.686841787881741,0.10835244411284588
NGC3198,0,cliff5,1,43,0.07352272947348946,9.651156014099222,0.0995315537134995
NGC3198,0,cliff3,1,43,0.07359617540612111,9.758345324527712,0.10141619175562562
NGC3198,0,RAR,1,43,0.06774212608350867,11.860529061402449,0.11439335087647588
NGC0300,1,ordinary,1,25,0.3478981981600051,46.47895971603302,0.5393162574621997
NGC0300,1,power,1,25,0.10196872820546257,18.130695622492603,0.1978991632003973
NGC0300,1,cliff5,1,25,0.08387493135999466,14.754529102835575,0.16592228698630404
NGC0300,1,cliff3,1,25,0.08596538002602606,15.087002588514009,0.16841258104676865
NGC0300,1,RAR,1,25,0.0976049470160667,17.159535571151853,0.19243294366812214
NGC0891,2,ordinary,1,18,0.09370427801371356,42.48873191442031,0.17499668521814543
NGC0891,2,power,1,18,0.07219986950560502,40.70905718479549,0.14045757713141813
NGC0891,2,cliff5,1,18,0.07911214824653491,44.63820913138607,0.1716353098748756
NGC0891,2,cliff3,1,18,0.07869260540934732,44.37949410319715,0.17094265106478512
NGC0891,2,RAR,1,18,0.04518822207186695,23.84919133908133,0.07768285469507874
CamB,3,ordinary,1,9,0.1455517913576161,3.355606872172602,0.32745631848291545
CamB,3,power,1,9,0.3893560167585523,11.845738072719364,1.4332274633039197
CamB,3,cliff5,1,9,0.37614220430757606,12.01338854933005,1.366300409105832
CamB,3,cliff3,1,9,0.3758491674796643,12.018599036113205,1.3650625922530673
CamB,3,RAR,1,9,0.3981454231532609,12.275121005343735,1.4871333376460307
NGC4068,4,ordinary,1,6,0.14135172498206136,9.428676806463027,0.23037835015190825
NGC4068,4,power,1,6,0.18952571373246624,7.173307075520577,0.47820881893621986
NGC4068,4,cliff5,1,6,0.16061748472935633,5.05254400629613,0.3637684829461194
NGC4068,4,cliff3,1,6,0.162009093197134,5.500906350207011,0.38104579188684035
NGC4068,4,RAR,1,6,0.19529156082406532,7.387686543380256,0.4971116354138841
NGC2976,0,ordinary,1,27,0.1174601255062425,14.26004044856577,0.23044177331751506
NGC2976,0,power,1,27,0.0927241293966147,4.384676752539474,0.15856686668947545
NGC2976,0,cliff5,1,27,0.07598119729583676,2.854086180218565,0.10631265462976563
NGC2976,0,cliff3,1,27,0.07601650133583314,2.851121584129968,0.10611886062019936
NGC2976,0,RAR,1,27,0.08307590703301139,4.155738384843813,0.1291796685125946
D564-8,1,ordinary,1,6,0.35113907209400913,11.653064328205572,0.5307531276765379
D564-8,1,power,1,6,0.07444788851557725,2.2273685785005957,0.13600874090299117
D564-8,1,cliff5,1,6,0.062304966522564044,1.8032183127770873,0.11501264986021549
D564-8,1,cliff3,1,6,0.06158665850477046,1.7654715102271965,0.11196489996645705
D564-8,1,RAR,1,6,0.09462181774778784,2.9452630720959427,0.18916059739288515
UGC08837,2,ordinary,1,8,0.1675999111845267,12.285290390769424,0.2922558654590716
UGC08837,2,power,1,8,0.1578424284009512,8.234073538578057,0.3881118745903207
UGC08837,2,cliff5,1,8,0.12961284032780884,6.0813506249699865,0.29596240704797294
UGC08837,2,cliff3,1,8,0.1281181647738691,5.752217881276076,0.28681223210055273
UGC08837,2,RAR,1,8,0.16737344566201642,8.724231899437084,0.417165882533548
DDO154,3,ordinary,1,12,0.3689790156314818,23.71217692693497,0.5539281699226162
DDO154,3,power,1,12,0.05645347652627958,4.23992751632812,0.11416446991198048
DDO154,3,cliff5,1,12,0.03952465930724716,2.4677456313488384,0.07053902946566448
DDO154,3,cliff3,1,12,0.03949580249640436,2.6285972622992575,0.07137282147055475
DDO154,3,RAR,1,12,0.05038887425172352,3.1959656211200165,0.09462893293472929
NGC2683,4,ordinary,1,11,0.21578287788641085,63.99459888504825,0.3586756266760123
NGC2683,4,power,1,11,0.021867377923324587,8.896280328992901,0.04084836435000831
NGC2683,4,cliff5,1,11,0.02471679187478275,9.515775019739197,0.04551606644160202
NGC2683,4,cliff3,1,11,0.025012054403741008,9.659988949914819,0.04711295610373616
NGC2683,4,RAR,1,11,0.03418518587570267,14.579017425457513,0.06159383517100394
NGC5055,0,ordinary,1,28,0.16623399501716427,53.47664009693142,0.23102995029887996
NGC5055,0,power,1,28,0.05622719558247534,26.454130242307656,0.11661627905444939
NGC5055,0,cliff5,1,28,0.06377620986704535,29.9881081218775,0.1527767896427378
NGC5055,0,cliff3,1,28,0.06382754838025824,29.989349338204505,0.1528727507699948
NGC5055,0,RAR,1,28,0.024413169333259568,10.358230990160644,0.048836016812883284
NGC0055,1,ordinary,1,21,0.2093371711483004,30.10483924708385,0.3668914264579519
NGC0055,1,power,1,21,0.04795166593736555,5.180447817486637,0.07529089698002651
NGC0055,1,cliff5,1,21,0.04049077876290007,5.441037173419036,0.08135021041165051
NGC0055,1,cliff3,1,21,0.04062992148668847,5.45692639101254,0.08092280388532451
NGC0055,1,RAR,1,21,0.04075262094690997,4.362740224918418,0.06561371353204921
NGC2403,2,ordinary,1,73,0.24779126682684044,50.70104801512085,0.39069680652901073
NGC2403,2,power,1,73,0.05805077547819765,15.713533745705618,0.09961587644823061
NGC2403,2,cliff5,1,73,0.045056250350450994,11.764073395719068,0.08940108510016619
NGC2403,2,cliff3,1,73,0.04522731870345975,11.809455636873249,0.08958472330716301
NGC2403,2,RAR,1,73,0.07106540049402599,17.674306270002322,0.14238039989685486
NGC7793,3,ordinary,1,46,0.15977666704196639,26.405674329250765,0.30044336360623897
NGC7793,3,power,1,46,0.08212413467601264,6.502200593240929,0.1203679110388139
NGC7793,3,cliff5,1,46,0.07941960247067244,5.962666238191938,0.11484189084673208
NGC7793,3,cliff3,1,46,0.07925190950270067,5.964878537755873,0.11480790526020565
NGC7793,3,RAR,1,46,0.08223915393398483,9.093325261870364,0.13976378233579864
UGC08286,4,ordinary,1,17,0.39544138545663454,44.67728634232997,0.5956751258562981
UGC08286,4,power,1,17,0.12952039299610948,18.57133943893451,0.24614309937439252
UGC08286,4,cliff5,1,17,0.13577120079348023,18.254904369438346,0.2456433982445234
UGC08286,4,cliff3,1,17,0.13779568278957025,18.653757725347027,0.2502219744568079
UGC08286,4,RAR,1,17,0.12576535118968843,17.93149746819107,0.2373512128026181
NGC0024,0,ordinary,1,29,0.3227821655013713,47.18129248016706,0.5110760237026537
NGC0024,0,power,1,29,0.14080477500946778,24.7129075077929,0.26881819936400353
NGC0024,0,cliff5,1,29,0.15373264584413154,25.486794208997253,0.2835226566094844
NGC0024,0,cliff3,1,29,0.1535272012369881,25.449180115285994,0.2831614520068975
NGC0024,0,RAR,1,29,0.16320414704456657,27.74258478220649,0.30310897896633615
NGC7331,1,ordinary,1,36,0.13191481932483043,59.354351789327744,0.21528747008928312
NGC7331,1,power,1,36,0.057952457777561917,36.11469865637773,0.11896532989928027
NGC7331,1,cliff5,1,36,0.06007352264333935,37.517483710522534,0.12608801981109868
NGC7331,1,cliff3,1,36,0.06031114439542064,37.670955256886735,0.12640354658231545
NGC7331,1,RAR,1,36,0.03575460926669419,19.662901315434315,0.06857148866237936
