radius_kpc,baryon_projected_mass_Msun,field_equivalent_projected_mass_Msun,baryon_surface_density_Msun_kpc2,field_equivalent_surface_density_Msun_kpc2,sigma_Msun_kpc2,delta_sigma_Msun_kpc2,alpha_rad,theta_arcsec,beta_arcsec,kappa,gamma_t,reduced_shear_t,lambda_t,lambda_r,signed_magnification
1.0,462554471.53981715,1622254921.8509774,147157343.69772536,516362223.94577616,663519567.6435015,95873.08161997795,3.99067195912938e-07,1.0313240300000002,0.9654732158032432,0.06384152677424787,9.224571822213419e-06,9.85364346532912e-06,0.9361492486539299,0.9361676977975744,1.141041013850677
1.0255021264139186,486434176.48982555,1706048873.2031884,147149242.72679883,516360410.38253003,663509653.1093289,100835.08945798874,4.0924120382287594e-07,1.057624985786772,0.9900953397757865,0.06384057283252602,9.701998821645326e-06,1.0363618140342339e-05,0.9361497251686524,0.9361691291662957,1.141038688433581
1.0516546112794685,511545959.9841607,1794170851.0446486,147140721.95801225,516358503.1545075,663499225.1125197,106054.22921419144,4.1967443057331015e-07,1.0845966718728248,1.0153454198685334,0.06383956948722928,1.0204166152847798e-05,1.0900018650925662e-05,0.9361502263466179,0.9361706346789236,1.141036242594046
1.0784740401200976,537953313.9956708,1886844384.2566593,147131759.5634046,516356497.4249978,663488256.9884024,111543.88111710548,4.3037346792585824e-07,1.112256193307041,1.0412394734116215,0.0638385141727764,1.0732361214503446e-05,1.1464219984461305e-05,0.9361507534660091,0.9361722181884381,1.1410336700792856
1.10597742142537,565722994.1521966,1984304544.4526978,147122332.57214975,516354388.1075877,663476720.6797374,117318.12652385235,4.41345074260128e-07,1.140621091353421,1.067793926456364,0.06383740418959818,1.1287938865431097e-05,1.2057669165535866e-05,0.9361513078715364,0.9361738837492672,1.141030964310055
1.1341821974374993,594925186.6171247,2086798541.8363194,147112416.80987117,516352169.85332584,663464586.663197,123391.78528153896,4.5259617870559345e-07,1.1697093546154975,1.095025624217857,0.0638362366970635,1.1872325019367146e-05,1.2681889093292473e-05,0.9361518909779172,0.9361756356279558,1.141028118363424
1.163106255212966,625633683.40856,2194586351.797236,147101986.83464396,516349837.0371366,663451823.8717806,129780.45505917072,4.6413388536943683e-07,1.1995394304444447,1.1229518417854423,0.06383500870601445,1.248702042934433e-05,1.3338482581029362e-05,0.9361525042735562,0.9361774783144149,1.1410251249546015
1.1927679379662266,657926066.5735931,2307941373.830354,147091015.86949107,516347383.7436236,663438399.6131147,136500.55291736126,4.759654776622781e-07,1.2301302366381188,1.151590295107953,0.0638337170709055,1.313360468738349e-05,1.4029136625483693e-05,0.9361531493244071,0.9361794165337819,1.1410219764177945
1.2231860567027102,691883901.6535562,2427151124.4413643,147079475.73117355,516344803.75205046,663424279.483224,143569.3590937853,4.880984227232621e-07,1.2615011734384476,1.180959152260912,0.06383235848150674,1.3813740437376337e-05,1.4755626903499908e-05,0.9361538277780559,0.9361814552589307,1.1410186646860094
1.2543799021484852,727592940.8963585,2552517965.790358,147067336.75505686,516342090.5206015,663409427.2756584,151005.0632584095,5.00540375946349e-07,1.2936721358347814,1.2110770450029889,0.06383092945416045,1.4529177825601631e-05,1.551982252215436e-05,0.9361545413680139,0.9361835997236652,1.141015181269767
