radius_kpc,baryon_projected_mass_Msun,field_equivalent_projected_mass_Msun,baryon_surface_density_Msun_kpc2,field_equivalent_surface_density_Msun_kpc2,sigma_Msun_kpc2,delta_sigma_Msun_kpc2,alpha_rad,theta_arcsec,beta_arcsec,kappa,gamma_t,reduced_shear_t,lambda_t,lambda_r,signed_magnification
1.0,771021175.9894793,2933240688.601694,245319039.26807612,933647337.8914548,1178966377.1595309,136795.35344171524,7.090573363281729e-07,1.0313240300000002,0.9143211708635142,0.11343601184314729,1.3161969360388459e-05,1.484604556040214e-05,0.8865508261874924,0.8865771501262131,1.2722715833383897
1.0253593217584172,810604413.5783432,3083891572.6540427,245308270.25054458,933644033.2446693,1178952303.495214,143842.45525670052,7.270342168657907e-07,1.0574777079139577,0.9375084505562102,0.11343465772450315,1.384001679281016e-05,1.5610825432548238e-05,0.886551502258704,0.8865791822922897,1.2722676968967772
1.0513617387168812,852218840.9860468,3242279573.037717,245296945.02198333,933640558.8897307,1178937503.911714,151253.47685813904,7.454666401590256e-07,1.084294625361301,0.9612837998318025,0.11343323376045998,1.4553079311332556e-05,1.6415096826898748e-05,0.8865522131602287,0.8865813193188513,1.2722636100134401
1.0780235593334917,895968585.6146781,3408802020.920541,245285034.67666554,933636906.1126966,1178921940.7893622,159047.34074044228,7.643661319480535e-07,1.1117916016467608,0.9856621361113723,0.11343173633138515,1.5302977572033502e-05,1.7260912892042695e-05,0.8865529606910428,0.8865835666461869,1.2722593123029857
1.1053615056377837,941963102.0683707,3583876648.7078733,245272508.7866245,933633065.7523205,1178905574.538945,167243.96641778946,7.837445081772096e-07,1.1399858826012268,1.0106587554550368,0.11343016162814328,1.609162816073777e-05,1.8150434928272858e-05,0.886553746743696,0.8865859300000175,1.2722547928365364
1.1333927237186208,990317443.5428106,3767942637.2132626,245259335.3191542,933629028.1770996,1178888363.4962537,175864.3245792389,8.03613882190342e-07,1.1688951513981645,1.0362893421910462,0.11342850564195031,1.6921048803632006e-05,1.9085938259140884e-05,0.886554573309246,0.8865884154068534,1.2722500401126537
1.16213479447805,1041152546.9165924,3961461716.5433826,245245480.54955274,933624783.2612149,1178870263.8107677,184930.49446249008,8.239866720956982e-07,1.1985375396443243,1.0625699787912006,0.11342676415366283,1.7793363887567015e-05,2.0069818451694158e-05,0.8865554424824496,0.8865910292102247,1.2722450420266498
1.191605744657871,1094595532.222725,4164919323.4466925,245230908.96879718,933620320.3590736,1178851229.3278708,194465.72439956665,8.448756083032629e-07,1.2289316387517064,1.0895171559990628,0.1134249327224455,1.871081028555109e-05,2.110459788025306e-05,0.8865563564672689,0.8865937780878401,1.2722397858381174
1.2218240581458282,1150780017.21063,4378825818.020843,245215583.1858166,933615628.2787659,1178831211.4645824,204494.49616909027,8.662937412383155e-07,1.26009651159791,1.1171477832174816,0.11342300667381422,1.9675743548500257e-05,2.2192932702530932e-05,0.8865573175826373,0.8865966690697343,1.2722342581366777
1.2528086875685231,1209846447.742395,4603717762.814793,245199463.82399082,933610695.2539442,1178810159.077935,215042.59294581413,8.882544492338329e-07,1.2920517044821804,1.1454791991622977,0.11342098108697193,2.0690644443104146e-05,2.3337620225291915e-05,0.8865583282685849,0.8865997095574711,1.2722284448057017
1.2845790661783139,1271942444.801821,4840159267.523826,245182509.41148692,933605508.914451,1178788018.325938,226137.1715335846,9.107714466055062e-07,1.3248172593846554,1.1745291827891162,0.11341885078143107,2.175812590182836e-05,2.454160673391932e-05,0.8865593910926671,0.8866029073444708,1.2722223309839917
1.3171551200416567,1337223168.9309974,5088743402.632045,245164676.26499403,933600056.25528,1178764732.5202742,237806.83882045746,9.338587919120465e-07,1.3584137265364953,1.2043159645003891,0.11341661030284048,2.2880940379157747e-05,2.580799577913754e-05,0.8865605087567804,0.8866062706375387,1.2722159010251923
