radius_kpc,baryon_projected_mass_Msun,field_equivalent_projected_mass_Msun,baryon_surface_density_Msun_kpc2,field_equivalent_surface_density_Msun_kpc2,sigma_Msun_kpc2,delta_sigma_Msun_kpc2,alpha_rad,theta_arcsec,beta_arcsec,kappa,gamma_t,reduced_shear_t,lambda_t,lambda_r,signed_magnification
1.0,1045271923.4195037,4854161918.822164,332564309.03389037,1545066502.6312215,1877630811.665112,217303.20763587952,1.1292497666025085e-06,1.0313240300000002,0.8449844427729508,0.18065905450353756,2.090815286380472e-05,2.5518257056146346e-05,0.8193200373435987,0.8193618536493262,1.4896034959270301
1.0266631489629123,1101727582.0608177,5116456385.9219055,332547396.1128211,1545059886.06424,1877607282.177061,229089.12042689323,1.1593518710143952e-06,1.0588223762409212,0.867515585232504,0.18065679057868192,2.2042152076034017e-05,2.690222097721643e-05,0.819321167269242,0.8193652515733941,1.4895952642082353
1.054037221438443,1161230838.8811588,5392923301.293237,332529561.9525857,1545052912.0082252,1877582473.960811,241516.75917601585,1.1902559952407077e-06,1.0870539149838976,0.8906475774249684,0.18065440361908164,2.3237895910327494e-05,2.8361531462389242e-05,0.819322358485008,0.8193688342768287,1.4895865852104138
1.0821411728861103,1223946031.1081297,5684328369.710844,332510755.94657457,1545045561.1512465,1877556317.0978212,254621.3512890339,1.2219834743943956e-06,1.1160381954498302,0.9143964480248974,0.1806518868974199,2.4498773824177264e-05,2.9900323723708977e-05,0.8193236143287559,0.8193726118764043,1.489577434486079
1.1109944641776732,1290046337.5837529,5991478657.530738,332490924.6595076,1545037813.1384351,1877528737.7979426,268440.09055018425,1.254556208372473e-06,1.1457952881034086,0.9387786537545736,0.18064923331386715,2.5828364473116615e-05,3.1522963696707735e-05,0.8193249383216598,0.8193765950506059,1.4895677862350019
1.1406170750730134,1359714252.2000437,6315224826.092727,332470011.6637154,1545029646.515651,1877499658.1793664,283012.2506406307,1.2879966765755388e-06,1.1763457985511128,0.9638110908531141,0.18064643537490882,2.7230446633069892e-05,3.323406134875319e-05,0.8193263341784581,0.8193807950717242,1.4895576132274344
1.1710295180553263,1433142082.4282413,6656463485.626874,332447957.36529547,1545021038.6703098,1877468996.0356052,298379.30584716797,1.3223279529915037e-06,1.207710881809777,0.9895111068560413,0.18064348517092488,2.8709010814520827e-05,3.503848482917082e-05,0.8193278058182606,0.8193852238398897,1.489546886722824
1.2022528525352028,1510532474.242059,7016139676.151499,332424698.81943476,1545011965.7687438,1877436664.5881786,314585.0589838028,1.357573721650187e-06,1.2399122569556011,1.015896512694102,0.18064037435239416,3.026827157067866e-05,3.694137546349713e-05,0.8193293573760352,0.8193898939191766,1.4895355763835474
1.2343086994334351,1592098964.7990663,7395249482.2055025,332400169.53414094,1545002402.6903384,1877402572.2244792,331675.7774794102,1.3937582924565605e-06,1.272972222163749,1.042985595120194,0.18063709410467269,3.191268059135532e-05,3.8948163703461737e-05,0.8193309932147359,0.8193948185759187,1.4895236501834954
1.2672192561526472,1678066564.3109384,7794842788.620864,332374299.26155645,1544992322.9581337,1877366622.21969,349700.338054657,1.4309066174096994e-06,1.3069136701489505,1.0707971294736482,0.18063363512123767,3.364694062327187e-05,4.106458608201527e-05,0.8193327179381391,0.8194000118193856,1.4895110743111106
1.301007311948116,1768672368.602521,8216026184.927671,332347013.77595586,1544981698.665598,1877328712.4415538,368710.3805208206,1.469044307214412e-06,1.3417601040177982,1.0993503927914103,0.18062998757528137,3.547602026804165e-05,4.329670323552521e-05,0.8193345364044506,0.8194054884449866,1.4894978130664653
1.3356962637084266,1864166203.9317899,8659966026.394463,332318234.63746494,1544970500.3995996,1877288735.0370646,388760.4715862274,1.5081976482929567e-06,1.3775356535437173,1.128665177275875,0.1806261410895656,3.7405169743051576e-05,4.5650919096676145e-05,0.8193364537406913,0.8194112640801775,1.4894838287520533
1.37131013215689,1964811305.7176402,9127891660.129927,332287878.94043,1544958697.1590335,1877246576.0994635,409908.279075861,1.548393620203259e-06,1.4142650918758763,1.1587618041295862,0.18062208470438137,3.94399376442621e-05,4.8134001305164287e-05,0.8193384753579743,0.8194173552332629,1.489469081556744
1.4078735784849399,2070885032.9002354,9621098825.130999,332255859.0452947,1544946256.269263,1877202115.3145578,432214.7577302456,1.589659913471003e-06,1.4519738526936097,1.189661137767151,0.18061780684351883,4.1586188823124425e-05,5.07531029725252e-05,0.8193406069676581,0.8194237793453043,1.4894535294325528
1.4454119214290322,2182679619.739192,10140953235.630636,332222082.29271984,1544933143.2918043,1877155225.5845242,455744.34714460373,1.6320249478416864e-06,1.490688047818233,1.2213846004152524,0.18061329527807093,4.3850123431592355e-05,5.35157858663005e-05,0.8193428545984975,0.8194305548453606,1.4894371279635947
1.4839511548028637,2300502966.9383564,10688894357.606024,332186450.6985711,1544919321.92929,1877105772.627861,480565.1830701828,1.6755178909594518e-06,1.5304344852944434,1.253954187111819,0.18060853708794236,4.623829725279525e-05,5.643004515627695e-05,0.8193452246148049,0.8194377012093105,1.4894198302267603
