radius_kpc,baryon_projected_mass_Msun,field_equivalent_projected_mass_Msun,baryon_surface_density_Msun_kpc2,field_equivalent_surface_density_Msun_kpc2,sigma_Msun_kpc2,delta_sigma_Msun_kpc2,alpha_rad,theta_arcsec,beta_arcsec,kappa,gamma_t,reduced_shear_t,lambda_t,lambda_r,signed_magnification
1.0,394228097.7816402,1725902288.4698315,125443995.6400494,549360756.5701213,674804752.2101707,53709.73233127594,4.058282214639818e-07,1.0313240300000002,0.9643575665043256,0.06492734767207622,5.167762160869894e-06,5.526588921197103e-06,0.9350674845657629,0.9350778200900847,1.1436925415000796
1.0260878380002123,415058050.60361534,1817125089.6356835,125439475.9300459,549359593.313343,674799069.2433889,56553.67670869827,4.1641365056796345e-07,1.0582290442203661,0.9895158595402438,0.06492680087693459,5.441396519176008e-06,5.819219847471923e-06,0.9350677577265463,0.9350786405195846,1.1436912039287161
1.05285625129195,436988185.52409565,1913169377.3576288,125434716.63211551,549358368.5790879,674793085.2112033,59548.355889201164,4.2727508975099807e-07,1.0858359520931065,1.0153305012962086,0.06492622511433524,5.729534051820831e-06,6.127360434765057e-06,0.9350680453516129,0.9350795044197167,1.1436897954998477
1.0803229946131652,460076565.8982241,2014289974.6918945,125429705.00691724,549357079.1187339,674786784.1256511,62701.78923022747,4.3841972818415343e-07,1.1141630645061178,1.0418186163617362,0.0649256188459724,6.0329463532649724e-06,6.4518357842499925e-06,0.9350683482076744,0.9350804141003809,1.1436883124509127
1.1085062858845378,484384314.5054457,2120755171.229033,125424427.63347876,549355721.5120578,674780149.1455365,66022.42534291744,4.498549416752091e-07,1.1432291700387738,1.0689977762205511,0.06492498045144525,6.3524463192550225e-06,6.793515158090655e-06,0.9350686671022355,0.9350813719948741,1.1436867508185837
1.1374248182929108,509975774.2151698,2232847434.6176376,125418870.37225825,549354292.1581442,674773162.5304024,69519.16535806656,4.615882974638316e-07,1.1730535474238626,1.0968860109212646,0.06492430822382922,6.688890385392448e-06,7.1533143725369865e-06,0.9350690028857854,0.9350823806665561,1.143685106427942
1.167097772689957,536918677.0306928,2350864159.668216,125413018.32615168,549352787.2658929,674765805.5920446,73201.38757002354,4.736275591359753e-07,1.2036559783346303,1.1255018210534822,0.06492360036501081,7.043180898283073e-06,7.5321983327056555e-06,0.935069356454091,0.9350834428158875,1.143683374881072
1.1975448303143013,565284321.9417583,2475118457.0188723,125406855.79932871,549351202.843909,674758058.6432377,77078.97333192825,4.85980691659862e-07,1.2350567605054115,1.1548641900374377,0.0649228549807542,7.41626860708609e-06,7.931183696007721e-06,0.9350697287506387,0.9350845612878529,1.1436815515450023
1.2287861858455327,595147762.0375048,2605939983.452369,125400366.25376633,549349534.6899819,674749900.9437482,81162.33453452587,4.986558665465209e-07,1.2672767211945437,1.1849925967353598,0.06492207007550684,7.809155307429227e-06,8.351341698397064e-06,0.9350701207691857,0.9350857390798005,1.1436796315390059
1.2608425607987697,626588001.3539023,2743675816.0608907,125393532.26334722,549347778.3799622,674741310.6433095,85462.44257390499,5.116614671373269e-07,1.300337230998507,1.2159070283931024,0.06492124354691264,8.222896628582967e-06,8.79380113368612e-06,0.9350705335564587,0.935086979349716,1.1436776097211911
