n,R,T,x,y,z,potential_per_GM,ax_per_GM,ay_per_GM,az_per_GM
8,1.0,0.05,0.1,0.0,0.0,-1.7794556427217816,-0.3325241314173324,-0.18534748508680712,3.593341669226741e-18
8,1.0,0.05,1.0,0.0,0.0,-1.1088187956396518,-0.9241833622290333,-0.04404654411518146,-2.1336194994151508e-19
8,1.0,0.05,1.0,0.0,1.0,-0.6990256403432141,-0.30823042923096544,-0.009318414383109132,-0.3630181422102591
8,1.0,0.05,0.0,1.0,1.0,-0.6898453332702724,-0.0034188080884935135,-0.31234195951547855,-0.34052068103857064
8,1.0,0.05,3.0,0.0,0.0,-0.33670661758423215,-0.11452051621994486,-0.0006365168904922346,2.073832060594478e-20
8,1.0,0.1,0.1,0.0,0.0,-1.7347163164978179,-0.2693001099012936,0.014494491126007612,-7.58267065252368e-21
8,1.0,0.1,1.0,0.0,0.0,-1.122747288195862,-1.052329309024587,-0.07795490923545725,-5.79645169945865e-19
8,1.0,0.1,1.0,0.0,1.0,-0.6990188290636932,-0.30480058219045325,0.0010650570782373139,-0.3703306923357232
8,1.0,0.1,0.0,1.0,1.0,-0.6882493312695133,0.0020034091470483,-0.30452826025722923,-0.34338220274755504
8,1.0,0.1,3.0,0.0,0.0,-0.337051248263799,-0.11488799770293227,0.0001065996500565458,-6.6343845076017935e-21
8,1.0,0.25,0.1,0.0,0.0,-1.7077577953075613,-0.34083228746825295,0.07595089832739135,8.489794099075649e-18
8,1.0,0.25,1.0,0.0,0.0,-1.0892246807184645,-1.0704610925328677,-0.057313911323625163,1.7460862585006473e-18
8,1.0,0.25,1.0,0.0,1.0,-0.6978302695481132,-0.30562534624896426,0.0002751848010069671,-0.3677133053715838
8,1.0,0.25,0.0,1.0,1.0,-0.6897224758749809,0.0004449045821470032,-0.303986560660643,-0.34784794066613156
8,1.0,0.25,3.0,0.0,0.0,-0.3366332356162634,-0.11443153612107179,1.087349173175099e-05,-5.259615390070145e-22
8,3.0,0.05,0.1,0.0,0.0,-0.6599328392494485,-0.025295424058856427,0.007075292965535252,2.6465662733542903e-19
8,3.0,0.05,1.0,0.0,0.0,-0.5383171942020526,-0.13852491140409245,-0.05229827333241027,-3.2884430873885273e-19
8,3.0,0.05,1.0,0.0,1.0,-0.4622141287612496,-0.10162309215040989,-0.001912507882928022,-0.07662218869690135
8,3.0,0.05,0.0,1.0,1.0,-0.46278945703839114,-0.010471854825738605,-0.07106240160824648,-0.08864706625707341
8,3.0,0.05,3.0,0.0,0.0,-0.35401799223973973,-0.03575323857588366,-0.00504437611366155,3.8358488343068697e-19
8,3.0,0.1,0.1,0.0,0.0,-0.6368762549960992,0.009953271996479787,-0.0007384069315935584,-1.6227306947886345e-18
8,3.0,0.1,1.0,0.0,0.0,-0.5379753192798994,-0.14468412058378616,-0.0028926638760003133,-7.945266633700789e-19
8,3.0,0.1,1.0,0.0,1.0,-0.4578947276109402,-0.08229316974424779,0.005219817207583157,-0.08983938845597637
8,3.0,0.1,0.0,1.0,1.0,-0.47016353179234427,-0.017977340747160602,-0.05986152875509152,-0.07252011616201338
8,3.0,0.1,3.0,0.0,0.0,-0.3479465653998711,-0.08592525598858931,0.007277267966687526,-1.8557919612763447e-19
8,3.0,0.25,0.1,0.0,0.0,-0.6060780551363303,-0.0033715707140423478,0.017597800971910445,7.300898334881714e-20
8,3.0,0.25,1.0,0.0,0.0,-0.5218325763896654,-0.12547929506606362,-0.025762187337949088,1.366924986592555e-19
8,3.0,0.25,1.0,0.0,1.0,-0.45893107918238774,-0.08111841111429803,-0.0036866826786413243,-0.07646075973322163
8,3.0,0.25,0.0,1.0,1.0,-0.4620459811958314,-0.011610761186637628,-0.06479399627592922,-0.06647864860904416
8,3.0,0.25,3.0,0.0,0.0,-0.347567970172685,-0.09105084373951383,0.005288401357975007,5.374537104275816e-19
12,1.0,0.05,0.1,0.0,0.0,-1.7844683313801195,-0.17080288595786922,-0.10219856335886791,-3.877020904909218e-18
12,1.0,0.05,1.0,0.0,0.0,-1.1035868754039473,-0.8498046749453857,-0.15074502030429984,1.71086584616661e-18
12,1.0,0.05,1.0,0.0,1.0,-0.6989874404772864,-0.3082373178717466,-0.00937862428157941,-0.3628311703782016
12,1.0,0.05,0.0,1.0,1.0,-0.6897367593243221,-0.003512063947173412,-0.3118841157345272,-0.34021611404863356
12,1.0,0.05,3.0,0.0,0.0,-0.33669957243029064,-0.11451191911261162,-0.0006314048809983905,1.1569626383168889e-21
12,1.0,0.1,0.1,0.0,0.0,-1.7388124825195006,-0.23030083540794463,-0.05744937444495766,1.327274099140893e-18
12,1.0,0.1,1.0,0.0,0.0,-1.116193197646505,-0.824261761853403,-0.007704791091810493,-4.420134347465333e-18
