galaxy,shared_flux_W_m2,no_loss_arrival_S_flux_gain,no_loss_arrival_1_flux_gain,shared_combined_shortfall,no_loss_arrival_S_combined_shortfall,no_loss_arrival_1_combined_shortfall,full_conversion_shortfall,constant_present_luminosity_100pct_supply_time_yr
IC2574,1.009087758755415e-11,1.0019569315034413,1.0058877674371267,1072850481.0175432,1071356515.0525277,1068368163.1767534,9628.986223400952,96289862234009.53
NGC0289,5.26558792563833e-12,1.0037187014545554,1.011206697094486,518493734.95468926,518110738.9746434,517341250.5692975,11605.69388950318,116056938895031.8
NGC0300,7.570293173793767e-12,1.0026060037273032,1.0078424066992593,1641320413.3537974,1639460330.1810448,1635735468.9992118,8649.655556500798,86496555565007.98
NGC0891,6.365025084766305e-12,1.0030869524699262,1.009292247032456,432267744.25456697,432200572.26073986,432065608.37680435,1963.9325106879412,19639325106879.41
NGC2403,8.93980344720707e-12,1.002207464417089,1.0066418838225986,1321255976.7570477,1320189983.0485778,1318053773.4616916,10963.78706521652,109637870652165.2
NGC2841,7.953655456781045e-12,1.002470158217261,1.007431797515532,1113506657.2508776,1113035091.4725897,1112089095.1191561,21568.793109207796,215687931092077.97
NGC2915,8.188763868458262e-12,1.0024098635289385,1.0072518744986958,3050967005.189704,3044948029.970203,3032925934.5950356,42974.37647911985,429743764791198.5
NGC2976,1.4996528168278618e-11,1.0013166393623476,1.0039613948286732,1444955055.5331569,1444376358.8983939,1443215320.8896391,1188.908659934471,11889086599344.709
NGC3198,9.040810062087594e-12,1.0021831862047526,1.0065672239516579,672847614.0208546,672351230.6934524,671356656.2972964,11300.472022980475,113004720229804.75
NGC3521,1.0090720132571382e-11,1.0019471663721407,1.0058568204432887,791400610.5423162,791234179.8853651,790900220.2987388,3969.045646015615,39690456460156.15
NGC3953,9.347127449365208e-12,1.0021112165331563,1.0063506054239,421840885.12572235,421781017.2856301,421660852.0944805,1788.173704183202,17881737041832.02
NGC4013,1.0216800801487729e-11,1.0019309936593244,1.005808362262022,690936224.1779073,690637340.043572,690037971.2453023,6963.548566349511,69635485663495.11
NGC4051,1.0050901007277004e-11,1.0019643777653577,1.005908590740155,155996717.67271608,155979201.53194582,155944043.29373387,508.5965845505811,5085965845505.811
NGC4100,9.347192431600789e-12,1.002109938130815,1.00634720623569,679871342.985808,679612824.4294289,679094249.8036188,4760.1943595275425,47601943595275.42
NGC4138,1.0199982487828272e-11,1.0019371825268237,1.0058266415827324,901675305.9457971,901259897.9103435,900426999.7799659,5543.591624544353,55435916245443.53
NGC4183,1.0055402060263827e-11,1.0019653939243116,1.0059115879452951,1022742456.7672848,1021782738.8192415,1019861208.5503843,10383.226729412483,103832267294124.83
NGC4217,9.679075302003032e-12,1.002036863090257,1.0061269989003967,425579636.3161764,425493794.9197649,425321525.1047126,1991.60743068142,19916074306814.2
NGC4559,1.0416086561894e-11,1.0018965776194517,1.0057049101497693,564215640.4443843,563895839.5743028,563254772.2499146,4256.2843211580575,42562843211580.58
NGC5033,1.0138752947732768e-11,1.0019449276170396,1.0058499021910094,578420268.3640121,578201774.4879246,577763586.2653105,8072.180258636979,80721802586369.78
NGC5055,9.699845338772798e-12,1.0020298135185073,1.006105758162802,281243530.06792814,281155233.82856303,280978098.8729663,4580.158278052484,45801582780524.84
NGC5907,7.270627876608937e-12,1.0027053141933062,1.0081402819200396,558260849.4048102,558054219.9238234,557639563.9273493,8208.677057890038,82086770578900.38
NGC6946,7.071886995508529e-12,1.0027795463016327,1.008364693597427,371291277.4613309,371206578.3364966,371036502.9241792,2080.813946107872,20808139461078.723
NGC7331,5.384218149756092e-12,1.003633489256141,1.01094214699818,417258961.28390455,417185577.3035018,417038045.7168714,4014.859588738218,40148595887382.18
NGC7793,7.101867528340188e-12,1.0027764514745603,1.008356286388453,1028821808.6698766,1028082912.5546641,1026601158.1261665,2754.8878144371797,27548878144371.797
UGC04483,1.005140625466159e-11,1.0019644961704246,1.0059107299263608,1374666574.3488646,1372149880.9203384,1367122151.658408,6320.327387831145,63203273878311.445
UGC07089,1.0528710270431116e-11,1.001877578128675,1.005647406068714,1088056919.7670076,1086981678.593073,1084829198.4777815,5311.728719908643,53117287199086.43
