bin,R_mean_kpc,stars,inferred_Jeans_proxy_km_s,ordinary_prediction_km_s,p2_outer100_km_s,p3_outer100_km_s,p2_outer200_km_s,p3_outer200_km_s
0,6.572151071440615,93,242.02363428908103,181.11541344724537,212.38399823313765,220.41801092928745,212.38447599988294,220.41815428201042
1,7.514278471291222,76,236.55853057190697,178.5700810610855,216.4699980357128,224.55325658124872,216.47050938802167,224.55340123150677
2,8.470122679932519,81,235.62747355152325,175.08068033093755,219.90955100757816,227.6485039559775,219.91007358805,227.6486439295564
3,9.5506494595575,45,231.0558613367288,170.35848990077056,223.18206562832353,230.09733606465196,223.18257172697108,230.09746397467137
4,10.497191844458396,74,228.067740156688,165.8244030187082,225.71216905027106,231.54869819629064,225.7126324019733,231.54880865728887
5,11.366182458075798,42,232.6478616303941,161.54093422513375,227.9008075188885,232.49711202208533,227.90120837916453,232.497201518094
6,12.517271362004434,37,232.39570622478772,155.89666200301954,230.72732241168487,233.36402257839873,230.72760589605483,233.36407720856525
7,13.498434681960074,42,237.00980517622764,151.23877040384497,233.13531290464627,233.86489124487304,233.1354649848209,233.86490880566103
8,14.547025788004847,26,236.48630952309938,146.49760851661551,235.73663648876231,234.23479203182546,235.73661639149606,234.23476217623775
9,15.392639743430234,15,230.8513247241695,142.86614867287645,237.85660034369465,234.444896027824,237.85641973040654,234.44482333360338
10,16.42456211529457,5,223.0756248534913,138.68325380166317,240.465024092143,234.61678875007595,240.4646209593356,234.6166567562141
11,17.519629147881023,6,226.22388369891485,134.55886155652678,243.24626127397786,234.71327625472242,243.24558959465094,234.71307299615708
