source_n,layers,R,T,x,y,z,potential,ax,ay,az
6,64,1.0,0.05,0.1,0.0,0.0,-1.882857584427484,-0.28353689375330093,-0.014190888961544298,1.734723475976807e-18
6,64,1.0,0.05,1.0,0.0,0.0,-1.1046435736735976,-1.0470591769334696,-0.1479412037684497,0.0
6,64,1.0,0.05,1.0,0.0,1.0,-0.6995938103927115,-0.3107622616448612,-0.008195234758641654,-0.36393533155067925
6,64,1.0,0.05,0.0,1.0,1.0,-0.6909658165516246,-0.0034272113942290074,-0.31392470981811105,-0.3426378669720534
6,64,1.0,0.05,3.0,0.0,0.0,-0.33650650769377544,-0.11431349931030463,-0.0005951431215718794,0.0
6,64,1.0,0.1,0.1,0.0,0.0,-1.9220921236608244,-0.33713475789097447,-0.03946943644977109,-3.469446951953614e-18
6,64,1.0,0.1,1.0,0.0,0.0,-1.1306234472530163,-1.2468670709699867,-0.01477749974900036,-3.469446951953614e-18
6,64,1.0,0.1,1.0,0.0,1.0,-0.6980475380127901,-0.3044080716405929,0.0003163872267625858,-0.3675778241960513
6,64,1.0,0.1,0.0,1.0,1.0,-0.6900820768135099,0.00019725477665672838,-0.30644748398071325,-0.3475020450640648
6,64,1.0,0.1,3.0,0.0,0.0,-0.3367123758291256,-0.11455375622120342,9.640800818615293e-05,0.0
6,64,1.0,0.25,0.1,0.0,0.0,-2.131314708478846,-0.5860866274906651,0.051954780291210714,-8.673617379884035e-19
6,64,1.0,0.25,1.0,0.0,0.0,-1.0763940687471694,-1.204091497664566,-0.013348261349912065,0.0
6,64,1.0,0.25,1.0,0.0,1.0,-0.6967948964622535,-0.31203348556286997,-0.0010392588252414576,-0.35893274813109993
6,64,1.0,0.25,0.0,1.0,1.0,-0.6955594666100663,-0.0014228604078733364,-0.3137801065894794,-0.355904869490258
6,64,1.0,0.25,3.0,0.0,0.0,-0.3354433476326657,-0.11325457138179243,-8.890084118964991e-05,0.0
6,64,3.0,0.05,0.1,0.0,0.0,-0.7001907165459402,-0.050193137407153796,-0.009807339865205803,0.0
6,64,3.0,0.05,1.0,0.0,0.0,-0.5556516642765018,-0.14093032333041633,-0.06549068904966629,-4.336808689942018e-19
6,64,3.0,0.05,1.0,0.0,1.0,-0.47398931348859336,-0.06877228900289975,-0.00954991025122673,-0.10011101694572554
6,64,3.0,0.05,0.0,1.0,1.0,-0.4764261746805258,-0.008604275956418932,-0.06798386069436828,-0.10145527229031823
6,64,3.0,0.05,3.0,0.0,0.0,-0.3553581803074736,-0.11935694528182211,-0.014596999004688496,0.0
6,64,3.0,0.1,0.1,0.0,0.0,-0.6837343332034564,-0.050347384254493754,-0.0245640490094329,0.0
6,64,3.0,0.1,1.0,0.0,0.0,-0.5638919353342577,-0.14713252042126657,-0.020302139872038643,0.0
6,64,3.0,0.1,1.0,0.0,1.0,-0.47543655640643695,-0.07035503711842761,0.001482300261180452,-0.11332482336857763
6,64,3.0,0.1,0.0,1.0,1.0,-0.48771033621767923,-0.0023661843903353026,-0.05691093881059593,-0.12216833395755619
6,64,3.0,0.1,3.0,0.0,0.0,-0.3477981161193386,-0.11425043109325367,0.0023521874896162785,0.0
6,64,3.0,0.25,0.1,0.0,0.0,-0.7179547871907285,-0.0362892907123524,-0.0039054589085040035,0.0
6,64,3.0,0.25,1.0,0.0,0.0,-0.6037203730092096,-0.1561685725229256,-0.02902166476514423,-5.421010862427522e-20
6,64,3.0,0.25,1.0,0.0,1.0,-0.5113868439679501,-0.08305506030132744,-0.006803944711450672,-0.127385448825732
6,64,3.0,0.25,0.0,1.0,1.0,-0.5194036868302612,-0.007818901857518979,-0.07120748449663676,-0.13532674064099764
6,64,3.0,0.25,3.0,0.0,0.0,-0.3553214937321406,-0.1278999976574478,0.0032043045094950224,1.0842021724855044e-19
6,128,1.0,0.05,0.1,0.0,0.0,-1.8875606781601024,-0.26832758343849306,-0.03224005360523083,4.336808689942018e-19
6,128,1.0,0.05,1.0,0.0,0.0,-1.1049041362282637,-1.0486436027931698,-0.14941290948631025,0.0
6,128,1.0,0.05,1.0,0.0,1.0,-0.6995929983452669,-0.31064724498894375,-0.00816537113287089,-0.3640468614657416
6,128,1.0,0.05,0.0,1.0,1.0,-0.6908975549855392,-0.0033925552072453626,-0.3137983297746986,-0.3425851525197994
6,128,1.0,0.05,3.0,0.0,0.0,-0.3365220660141981,-0.11432926565896448,-0.0005947412753196971,0.0
6,128,1.0,0.1,0.1,0.0,0.0,-1.9224479452738568,-0.3595461728898346,-0.04379099437835168,0.0
6,128,1.0,0.1,1.0,0.0,0.0,-1.131637736779687,-1.2188945317195887,-0.018078589534156517,3.469446951953614e-18
6,128,1.0,0.1,1.0,0.0,1.0,-0.697892866557169,-0.30397628679513505,0.0002778271406671863,-0.36745019080528835
6,128,1.0,0.1,0.0,1.0,1.0,-0.6899584129977889,0.00019810032790703582,-0.30605149953969807,-0.3474683919689917
6,128,1.0,0.1,3.0,0.0,0.0,-0.3367304658774874,-0.11457236584391756,9.256972581760666e-05,0.0
6,128,1.0,0.25,0.1,0.0,0.0,-2.0951922245474517,-0.54829914052951,0.038294360877050085,0.0
6,128,1.0,0.25,1.0,0.0,0.0,-1.0752017499167326,-1.167722337683247,-0.010195860685960132,0.0
6,128,1.0,0.25,1.0,0.0,1.0,-0.6961504582284831,-0.31117640154182924,-0.001099124485387266,-0.35762357407193224
6,128,1.0,0.25,0.0,1.0,1.0,-0.6956237904096443,-0.0014656126485304178,-0.31331473715940156,-0.35638598300172214
6,128,1.0,0.25,3.0,0.0,0.0,-0.33540119510340877,-0.11321331424872307,-9.525601898813886e-05,0.0
6,128,3.0,0.05,0.1,0.0,0.0,-0.7020992741358985,-0.05114951065519391,-0.009477427077649214,0.0
6,128,3.0,0.05,1.0,0.0,0.0,-0.5557866463806949,-0.13863957563273754,-0.06630632199495065,-1.0842021724855044e-19
6,128,3.0,0.05,1.0,0.0,1.0,-0.47411805056377754,-0.06889186281553175,-0.009567308436680728,-0.10024008215774104
6,128,3.0,0.05,0.0,1.0,1.0,-0.4764914375122996,-0.008556143002497388,-0.06796427251586157,-0.10154641404092347
6,128,3.0,0.05,3.0,0.0,0.0,-0.35525642953007375,-0.12098303734468693,-0.014810836112942791,0.0
6,128,3.0,0.1,0.1,0.0,0.0,-0.6849043298348791,-0.049201769957416736,-0.024152236990577516,-2.168404344971009e-19
6,128,3.0,0.1,1.0,0.0,0.0,-0.5638190597134906,-0.14584331645283063,-0.020340704542180066,2.168404344971009e-19
6,128,3.0,0.1,1.0,0.0,1.0,-0.47547961995806726,-0.07027229345721875,0.0015316611860355296,-0.11326114422771934
6,128,3.0,0.1,0.0,1.0,1.0,-0.4876698792418381,-0.0023036323207024827,-0.056945126703339746,-0.12240079609976608
6,128,3.0,0.1,3.0,0.0,0.0,-0.34762837058727325,-0.11563595693733282,0.002285082669009831,0.0
6,128,3.0,0.25,0.1,0.0,0.0,-0.7126646649331754,-0.03775182252931118,-0.011297822082290198,0.0
6,128,3.0,0.25,1.0,0.0,0.0,-0.6020250949361982,-0.15305977288425227,-0.02822057025553057,-5.421010862427522e-20
6,128,3.0,0.25,1.0,0.0,1.0,-0.5108420646183711,-0.08351873718634727,-0.006031557369122551,-0.12653359058893968
6,128,3.0,0.25,0.0,1.0,1.0,-0.5190010662107248,-0.007817053865026189,-0.0714038088140506,-0.13416729699050295
