name,ra_deg,dec_deg,distance_mpc,method,status,inside_nominal_11mpc,exposure
UGC12894,0.09375,39.495555555555555,8.47,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
WLM,0.49208333333333343,-15.46111111111111,0.97,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
And XVIII,0.5604166666666667,45.08888888888889,1.36,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
ESO409-015,1.3824999999999998,-28.098055555555554,7.7,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
AGC748778,1.6433333333333333,15.510833333333334,5.4,h',excluded_redshift_distance,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
And XX,1.8779166666666667,35.132222222222225,0.8,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC00064,1.9333333333333333,40.87555555555556,9.6,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
ESO349-031,2.0554166666666664,-34.57833333333333,3.21,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC0024,2.485,-24.96333333333333,9.9,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC0045,3.51625,-23.182222222222222,9.2,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC0055,3.7854166666666664,-39.22027777777778,2.13,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC0059,3.8545833333333333,-21.44388888888889,5.3,SBF,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
ESO410-005,3.880833333333334,-32.18,1.92,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
And XIX,4.88375,35.04361111111111,0.93,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
IC0010,5.102083333333333,59.291666666666664,0.66,Cep,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
And XXVI,5.94,47.91611111111111,0.76,HB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
Sc22,5.965416666666667,-24.705,4.21,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
Cetus,6.545833333333333,-11.044444444444444,0.78,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
ESO294-010,6.63875,-41.855555555555554,1.92,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
UGC00288,7.266666666666667,43.431666666666665,6.73,BS,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
And XXV,7.537083333333333,46.85194444444445,0.81,HB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
ESO473-024,7.84375,-22.765833333333333,9.9,TF,pending_calibration_or_membership,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
NGC0147,8.298333333333334,48.507777777777775,0.76,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
And III,8.890833333333333,36.49777777777778,0.75,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
And XXX,9.145416666666666,49.64666666666667,0.68,TRGB,indicator_candidate,True,distance_and_position_viewed; no_velocity_requested; not_certified_fresh
